id,type,weights,costStamina,specialFish,weightRange,selfWeights,pointReward,itemReward,unlockReward,sort,activityId
490101,1,70,1,0,"[500,1000]","[100,100,10]",1,"[[1002,2]]","[[1002,50]]",1,9001
490102,1,20,1,0,"[500,1000]","[100,100,10]",1,"[[1002,2]]","[[1002,50]]",2,9001
490103,1,10,1,1,"[1800,2000]","[100,100,10]",1,"[[1002,2]]","[[1002,100]]",3,9001
490104,2,70,2,0,"[1000,2000]","[100,100,5]",1.1,"[[1002,2]]","[[1002,100]]",4,9001
490105,2,20,2,0,"[1000,2000]","[100,100,5]",1.1,"[[1002,2]]","[[1002,100]]",5,9001
490106,2,10,2,1,"[4000,5000]","[100,100,5]",1.1,"[[1002,2]]","[[1002,200]]",6,9001
490107,5,70,5,0,"[3000,5000]","[200,100,5]",1.2,"[[1003,0.015],[1002,1.5]]","[[1002,200]]",7,9001
490108,5,20,5,0,"[3000,5000]","[200,100,5]",1.2,"[[1003,0.015],[1002,1.5]]","[[1002,200]]",8,9001
490109,5,10,5,1,"[8000,10000]","[200,100,5]",1.2,"[[1003,0.015],[1002,1.5]]","[[1002,500]]",9,9001
490110,10,70,10,0,"[7000,10000]","[300,100,5]",1.3,"[[1003,0.015],[1002,1.5]]","[[1002,500]]",10,9001
490111,10,20,10,0,"[7000,10000]","[300,100,5]",1.3,"[[1003,0.015],[1002,1.5]]","[[1002,500]]",11,9001
490112,10,10,10,1,"[18000,20000]","[200,100,5]",1.3,"[[1003,0.015],[1002,1.5]]","[[1002,1000]]",12,9001
490113,20,70,20,0,"[15000,20000]","[500,100,5]",1.4,"[[1003,0.015],[1002,1.5]]","[[1002,1000]]",13,9001
490114,20,20,20,0,"[15000,20000]","[500,100,5]",1.4,"[[1003,0.015],[1002,1.5]]","[[1002,1000]]",14,9001
490115,20,10,20,1,"[25000,30000]","[500,100,5]",1.4,"[[1003,0.015],[1002,1.5]]","[[1002,2000]]",15,9001
490201,1,70,1,0,"[500,1000]","[100,100,10]",1,"[[1002,2]]","[[1002,50]]",1,9002
490202,1,20,1,0,"[500,1000]","[100,100,10]",1,"[[1002,2]]","[[1002,50]]",2,9002
490203,1,10,1,1,"[1800,2000]","[100,100,10]",1,"[[1002,2]]","[[1002,100]]",3,9002
490204,2,70,2,0,"[1000,2000]","[100,100,5]",1.1,"[[1002,2]]","[[1002,100]]",4,9002
490205,2,20,2,0,"[1000,2000]","[100,100,5]",1.1,"[[1002,2]]","[[1002,100]]",5,9002
490206,2,10,2,1,"[4000,5000]","[100,100,5]",1.1,"[[1002,2]]","[[1002,200]]",6,9002
490207,5,70,5,0,"[3000,5000]","[200,100,5]",1.2,"[[1003,0.015],[1002,1.5]]","[[1002,200]]",7,9002
490208,5,20,5,0,"[3000,5000]","[200,100,5]",1.2,"[[1003,0.015],[1002,1.5]]","[[1002,200]]",8,9002
490209,5,10,5,1,"[8000,10000]","[200,100,5]",1.2,"[[1003,0.015],[1002,1.5]]","[[1002,500]]",9,9002
490210,10,70,10,0,"[7000,10000]","[300,100,5]",1.3,"[[1003,0.015],[1002,1.5]]","[[1002,500]]",10,9002
490211,10,20,10,0,"[7000,10000]","[300,100,5]",1.3,"[[1003,0.015],[1002,1.5]]","[[1002,500]]",11,9002
490212,10,10,10,1,"[18000,20000]","[200,100,5]",1.3,"[[1003,0.015],[1002,1.5]]","[[1002,1000]]",12,9002
490213,20,70,20,0,"[15000,20000]","[500,100,5]",1.4,"[[1003,0.015],[1002,1.5]]","[[1002,1000]]",13,9002
490214,20,20,20,0,"[15000,20000]","[500,100,5]",1.4,"[[1003,0.015],[1002,1.5]]","[[1002,1000]]",14,9002
490215,20,10,20,1,"[25000,30000]","[500,100,5]",1.4,"[[1003,0.015],[1002,1.5]]","[[1002,2000]]",15,9002
490301,1,70,1,0,"[500,1000]","[100,100,10]",1,"[[1002,2]]","[[1002,50]]",1,9003
490302,1,20,1,0,"[500,1000]","[100,100,10]",1,"[[1002,2]]","[[1002,50]]",2,9003
490303,1,10,1,1,"[1800,2000]","[100,100,10]",1,"[[1002,2]]","[[1002,100]]",3,9003
490304,2,70,2,0,"[1000,2000]","[100,100,5]",1.1,"[[1002,2]]","[[1002,100]]",4,9003
490305,2,20,2,0,"[1000,2000]","[100,100,5]",1.1,"[[1002,2]]","[[1002,100]]",5,9003
490306,2,10,2,1,"[4000,5000]","[100,100,5]",1.1,"[[1002,2]]","[[1002,200]]",6,9003
490307,5,70,5,0,"[3000,5000]","[200,100,5]",1.2,"[[1003,0.015],[1002,1.5]]","[[1002,200]]",7,9003
490308,5,20,5,0,"[3000,5000]","[200,100,5]",1.2,"[[1003,0.015],[1002,1.5]]","[[1002,200]]",8,9003
490309,5,10,5,1,"[8000,10000]","[200,100,5]",1.2,"[[1003,0.015],[1002,1.5]]","[[1002,500]]",9,9003
490310,10,70,10,0,"[7000,10000]","[300,100,5]",1.3,"[[1003,0.015],[1002,1.5]]","[[1002,500]]",10,9003
490311,10,20,10,0,"[7000,10000]","[300,100,5]",1.3,"[[1003,0.015],[1002,1.5]]","[[1002,500]]",11,9003
490312,10,10,10,1,"[18000,20000]","[200,100,5]",1.3,"[[1003,0.015],[1002,1.5]]","[[1002,1000]]",12,9003
490313,20,70,20,0,"[15000,20000]","[500,100,5]",1.4,"[[1003,0.015],[1002,1.5]]","[[1002,1000]]",13,9003
490314,20,20,20,0,"[15000,20000]","[500,100,5]",1.4,"[[1003,0.015],[1002,1.5]]","[[1002,1000]]",14,9003
490315,20,10,20,1,"[25000,30000]","[500,100,5]",1.4,"[[1003,0.015],[1002,1.5]]","[[1002,2000]]",15,9003
490401,1,70,1,0,"[500,1000]","[100,100,10]",1,"[[1002,2]]","[[1002,50]]",1,9004
490402,1,20,1,0,"[500,1000]","[100,100,10]",1,"[[1002,2]]","[[1002,50]]",2,9004
490403,1,10,1,1,"[1800,2000]","[100,100,10]",1,"[[1002,2]]","[[1002,100]]",3,9004
490404,2,70,2,0,"[1000,2000]","[100,100,5]",1.1,"[[1002,2]]","[[1002,100]]",4,9004
490405,2,20,2,0,"[1000,2000]","[100,100,5]",1.1,"[[1002,2]]","[[1002,100]]",5,9004
490406,2,10,2,1,"[4000,5000]","[100,100,5]",1.1,"[[1002,2]]","[[1002,200]]",6,9004
490407,5,70,5,0,"[3000,5000]","[200,100,5]",1.2,"[[1003,0.015],[1002,1.5]]","[[1002,200]]",7,9004
490408,5,20,5,0,"[3000,5000]","[200,100,5]",1.2,"[[1003,0.015],[1002,1.5]]","[[1002,200]]",8,9004
490409,5,10,5,1,"[8000,10000]","[200,100,5]",1.2,"[[1003,0.015],[1002,1.5]]","[[1002,500]]",9,9004
490410,10,70,10,0,"[7000,10000]","[300,100,5]",1.3,"[[1003,0.015],[1002,1.5]]","[[1002,500]]",10,9004
490411,10,20,10,0,"[7000,10000]","[300,100,5]",1.3,"[[1003,0.015],[1002,1.5]]","[[1002,500]]",11,9004
490412,10,10,10,1,"[18000,20000]","[200,100,5]",1.3,"[[1003,0.015],[1002,1.5]]","[[1002,1000]]",12,9004
490413,20,70,20,0,"[15000,20000]","[500,100,5]",1.4,"[[1003,0.015],[1002,1.5]]","[[1002,1000]]",13,9004
490414,20,20,20,0,"[15000,20000]","[500,100,5]",1.4,"[[1003,0.015],[1002,1.5]]","[[1002,1000]]",14,9004
490415,20,10,20,1,"[25000,30000]","[500,100,5]",1.4,"[[1003,0.015],[1002,1.5]]","[[1002,2000]]",15,9004
490501,1,70,1,0,"[500,1000]","[100,100,10]",1,"[[1002,2]]","[[1002,50]]",1,9005
490502,1,20,1,0,"[500,1000]","[100,100,10]",1,"[[1002,2]]","[[1002,50]]",2,9005
490503,1,10,1,1,"[1800,2000]","[100,100,10]",1,"[[1002,2]]","[[1002,100]]",3,9005
490504,2,70,2,0,"[1000,2000]","[100,100,5]",1.1,"[[1002,2]]","[[1002,100]]",4,9005
490505,2,20,2,0,"[1000,2000]","[100,100,5]",1.1,"[[1002,2]]","[[1002,100]]",5,9005
490506,2,10,2,1,"[4000,5000]","[100,100,5]",1.1,"[[1002,2]]","[[1002,200]]",6,9005
490507,5,70,5,0,"[3000,5000]","[200,100,5]",1.2,"[[1003,0.015],[1002,1.5]]","[[1002,200]]",7,9005
