id,sceneId,obstacleId,recommend,dragonType,maxDragonNum,lastTime,sweepWard,
1,10001,1900000,5,1,6,15,"[[2201,7,9],[2100,3,4],[1000,8,10]]",
2,10002,1900001,5,2,6,15,"[[2202,7,9],[2100,3,4],[1000,8,10]]",
3,10003,1900002,5,3,6,15,"[[2203,7,9],[2100,3,4],[1000,8,10]]",
4,10004,1900003,5,4,6,15,"[[2204,7,9],[2100,3,4],[1000,8,10]]",
5,10005,1900004,15,1,6,15,"[[2201,12,15],[2100,3,5],[1000,25,30]]",
6,10006,1900005,15,2,6,15,"[[2202,12,15],[2100,3,5],[1000,25,30]]",
7,10007,1900006,15,3,6,15,"[[2203,12,15],[2100,3,5],[1000,25,30]]",
8,10008,1900007,15,4,6,15,"[[2204,12,15],[2100,3,5],[1000,25,30]]",
9,10009,1900008,25,1,6,15,"[[2201,21,25],[2100,4,5],[1000,42,50]]",
10,10010,1900009,25,2,6,15,"[[2202,21,25],[2100,4,5],[1000,42,50]]",
11,10011,1900010,25,3,6,15,"[[2203,21,25],[2100,4,5],[1000,42,50]]",
12,10012,1900011,25,4,6,15,"[[2204,21,25],[2100,4,5],[1000,42,50]]",
13,10013,1900012,40,1,6,15,"[[2201,34,40],[2100,5,6],[1000,68,80]]",
14,10014,1900013,40,2,6,15,"[[2202,34,40],[2100,5,6],[1000,68,80]]",
15,10015,1900014,40,3,6,15,"[[2203,34,40],[2100,5,6],[1000,68,80]]",
16,10016,1900015,40,4,6,15,"[[2204,34,40],[2100,5,6],[1000,68,80]]",
17,10017,1900016,60,1,6,15,"[[2201,45,54],[2100,6,7],[1000,102,120]]",
18,10018,1900017,60,2,6,15,"[[2202,45,54],[2100,6,7],[1000,102,120]]",
19,10019,1900018,60,3,6,15,"[[2203,45,54],[2100,6,7],[1000,102,120]]",
20,10020,1900019,60,4,6,15,"[[2204,45,54],[2100,6,7],[1000,102,120]]",
21,10021,1900020,100,1,6,15,"[[2201,59,70],[2100,8,9],[1000,170,200]]",
22,10022,1900021,100,2,6,15,"[[2202,59,70],[2100,8,9],[1000,170,200]]",
23,10023,1900022,100,3,6,15,"[[2203,59,70],[2100,8,9],[1000,170,200]]",
24,10024,1900023,100,4,6,15,"[[2204,59,70],[2100,8,9],[1000,170,200]]",
25,10025,1900024,180,1,6,15,"[[2201,107,126],[2100,10,12],[1000,306,360]]",
26,10026,1900025,180,2,6,15,"[[2202,107,126],[2100,10,12],[1000,306,360]]",
27,10027,1900026,180,3,6,15,"[[2203,107,126],[2100,10,12],[1000,306,360]]",
28,10028,1900027,180,4,6,15,"[[2204,107,126],[2100,10,12],[1000,306,360]]",
