id,MissionType,taskNeed,point,unlockLevel,unlockTask,weight,activityId
3001,3,[5],[100],10,,60,
3002,3,[7],[150],10,,30,
3003,3,[10],[200],10,,10,
11001,11,"[3004,2,3,5]","[32,48,80]",1,,100,
11002,11,"[3006,2,3,5]","[32,48,80]",8,,100,
11003,11,"[3005,1,2,3]","[10,20,30]",8,,100,
11004,11,"[3016,1,2,3]","[29,58,87]",10,,100,
11005,11,"[3017,1,2,3]","[27,54,81]",11,,100,
11006,11,"[3009,2,3,5]","[30,45,75]",10,,100,
11007,40,"[3007,30]",[30],9,,100,
11008,40,"[3001,30]",[30],9,,100,
11009,40,"[3008,30]",[30],14,,100,
11010,40,"[3010,30]",[30],12,,100,
11011,11,"[3020,1,2,3]","[30,60,90]",12,,100,
11012,40,"[3002,30]",[30],13,,100,
11013,11,"[3021,1,2,3]","[25,50,75]",13,,100,
11015,40,"[3003,30]",[30],12,,100,
11016,11,"[3024,2,3,5]","[34,51,85]",15,,100,
11017,11,"[3015,2,3,5]","[20,32,40]",16,,100,
11018,11,"[3031,2,3,5]","[30,45,75]",16,,100,
11019,11,"[3011,2,3,5]","[40,60,100]",16,,100,
11020,11,"[3035,1,2,3]","[26,52,78]",17,,100,
11021,11,"[3018,1,2]","[38,76]",17,,100,
11022,11,"[3022,1]",[60],18,,100,
11023,11,"[3042,1,2,3]","[26,52,78]",13,,100,
11024,11,"[3012,1,2,3]","[30,60,90]",99,,100,
11025,11,"[3033,1]",[75],99,,100,
11026,11,"[3041,1,2]","[44,88]",19,,100,
11027,11,"[3019,2,3,5]","[24,36,60]",99,,100,
11028,11,"[3013,2,3,5]","[25,40,50]",20,,100,
11030,11,"[3052,1]",[79],21,,100,
11031,11,"[3014,2,3,5]","[25,40,50]",22,,100,
11032,11,"[3023,2,3,5]","[34,51,85]",22,,100,
11033,11,"[3029,1]",[65],24,,100,
11034,11,"[3028,1,2]","[40,80]",25,,100,
11035,11,"[3025,2,3,5]","[34,51,85]",25,,100,
11036,11,"[3030,1]",[97],26,,100,
11037,11,"[3026,2,3,5]","[34,51,85]",99,,100,
11038,11,"[3054,1]",[79],99,,100,
11039,11,"[3027,1,2]","[45,90]",99,,100,
11040,11,"[3053,1]",[79],27,,100,
11041,11,"[3040,1]",[90],28,,100,
11045,11,"[3038,1,2]","[40,80]",99,,100,
11048,11,"[3044,1]",[100],99,,100,
27001,44,[1],[60],11,,60,
27002,44,[2],[120],11,,30,
27003,44,[3],[200],11,,10,
39001,3,[1],[100],10,,60,
39002,3,[1],[150],10,,30,
40001,40,"[5009,20]",[8],5,,100,
40002,40,"[5016,20]",[8],6,,100,
40003,40,"[5018,20]",[8],7,,100,
40004,40,"[5001,20]",[8],7,,100,
40005,40,"[5011,30]",[10],13,,100,
40006,40,"[5012,50]",[20],12,,100,
40007,40,"[5006,30]",[10],13,,100,
40008,40,"[5002,30]",[5],14,,100,
40009,40,"[5005,50]",[15],12,,100,
40010,40,"[5013,80]",[30],14,,100,
40011,40,"[5008,30]",[10],15,,100,
40012,40,"[5015,30]",[10],16,,100,
40013,40,"[5014,90]",[45],17,,100,
40014,40,"[5010,30]",[15],19,,100,
40015,40,"[5007,45]",[30],18,,100,
40016,40,"[5017,30]",[7],22,,100,
40017,40,"[5003,30]",[7],20,,100,
40018,40,"[5004,30]",[15],99,,100,
40019,40,"[5019,90]",[45],99,,100,
40020,40,"[5022,120]",[60],99,,100,
40021,40,"[5020,80]",[40],99,,100,
40022,40,"[5021,60]",[30],99,,100,
40030,40,"[5009,30]",[10],15,,100,
40031,40,"[5016,30]",[10],15,,100,
40032,40,"[5018,30]",[10],15,,100,
40033,40,"[5001,30]",[10],15,,100,
41001,41,[1],[100],10,,100,
45001,45,"[43004,1,2,3]","[30,60,90]",11,,100,8020
45002,45,"[43005,1,2]","[50,100]",11,,100,8020
45003,45,"[43006,1]",[90],18,,100,8020
45004,45,"[43007,1]",[100],13,,100,8020
45005,45,"[43004,1,2,3]","[30,60,90]",11,,100,8030
45006,45,"[43005,1,2]","[50,100]",11,,100,8030
45007,45,"[43006,1]",[90],18,,100,8030
45008,45,"[43007,1]",[100],13,,100,8030
45009,45,"[43004,1,2,3]","[30,60,90]",11,,100,8040
45010,45,"[43005,1,2]","[50,100]",11,,100,8040
45011,45,"[43006,1]",[90],18,,100,8040
45012,45,"[43007,1]",[100],13,,100,8040
45013,45,"[43004,1,2,3]","[30,60,90]",11,,100,8010
45014,45,"[43005,1,2]","[50,100]",11,,100,8010
45015,45,"[43006,1]",[90],18,,100,8010
45016,45,"[43007,1]",[100],13,,100,8010
