id,level,smallBpId,exp,normalType,normalReward,vipType,vipReward,payLabel,
1,0,110,500,0,"[1003,30]",1,[1],[],
2,1,110,300,0,"[1002,500]",0,"[1001,3]",[],
3,2,110,200,0,"[1003,50]",0,"[42000,10]",[],
4,3,110,500,0,"[1001,3]",0,"[11001,2]",[],
5,4,110,500,0,"[42000,3]",0,"[1003,100]",[],
6,5,110,500,0,"[11001,1]",0,"[15000,10]",[],
7,6,110,500,0,"[1002,1000]",0,"[1001,5]",[],
8,7,110,500,0,"[15000,3]",0,"[34011,20]",[],
9,8,110,500,0,"[1001,5]",0,"[11001,2]",[],
10,9,110,500,0,"[1003,60]",0,"[15000,20]",[],
11,10,110,500,0,"[11001,1]",0,"[34011,40]",[],
12,11,110,1000,0,"[1002,1500]",0,"[1002,3000]",[],
13,12,110,1000,0,"[15000,5]",0,"[42000,20]",[],
14,13,110,1000,0,"[1003,80]",2,"[144101,1]",[],
15,14,110,1000,0,"[42000,5]",0,"[11001,2]",[],
16,15,110,-1,0,"[1003,300]",0,"[1001,20]",[],
17,0,111,500,0,"[1003,30]",1,[1],[],
18,1,111,300,0,"[1002,500]",0,"[1001,3]",[],
19,2,111,200,0,"[1003,50]",0,"[42000,10]",[],
20,3,111,500,0,"[1001,3]",0,"[11001,2]",[],
21,4,111,500,0,"[42000,3]",0,"[1003,100]",[],
22,5,111,500,0,"[11001,1]",0,"[15000,10]",[],
23,6,111,500,0,"[1002,1000]",0,"[83003,20]",[],
24,7,111,500,0,"[15000,3]",0,"[34012,20]",[],
25,8,111,500,0,"[1001,5]",0,"[11001,2]",[],
26,9,111,500,0,"[1003,60]",0,"[15000,20]",[],
27,10,111,500,0,"[11001,1]",0,"[34012,40]",[],
28,11,111,1000,0,"[1002,1500]",0,"[1002,3000]",[],
29,12,111,1000,0,"[15000,5]",0,"[42000,20]",[],
30,13,111,1000,0,"[1003,80]",2,"[303001,1]",[],
31,14,111,1000,0,"[42000,5]",0,"[11001,2]",[],
32,15,111,-1,0,"[1003,300]",0,"[1001,20]",[],
33,0,112,500,0,"[1003,30]",1,[1],[],
34,1,112,300,0,"[1002,500]",0,"[1001,3]",[],
35,2,112,200,0,"[1003,50]",0,"[42000,10]",[],
36,3,112,500,0,"[1001,3]",0,"[11001,2]",[],
37,4,112,500,0,"[42000,3]",0,"[1003,100]",[],
38,5,112,500,0,"[11001,1]",0,"[15000,10]",[],
39,6,112,500,0,"[1002,1000]",0,"[83002,20]",[],
40,7,112,500,0,"[15000,3]",0,"[34013,20]",[],
41,8,112,500,0,"[1001,5]",0,"[11001,2]",[],
42,9,112,500,0,"[1003,60]",0,"[15000,20]",[],
43,10,112,500,0,"[11001,1]",0,"[34013,40]",[],
44,11,112,1000,0,"[1002,1500]",0,"[1002,3000]",[],
45,12,112,1000,0,"[15000,5]",0,"[42000,20]",[],
46,13,112,1000,0,"[1003,80]",2,"[302001,1]",[],
47,14,112,1000,0,"[42000,5]",0,"[11001,2]",[],
48,15,112,-1,0,"[1003,300]",0,"[1001,20]",[],
65,0,114,500,0,"[1003,30]",1,[1],[],
66,1,114,300,0,"[1002,500]",0,"[1001,3]",[],
67,2,114,200,0,"[1003,50]",0,"[42000,10]",[],
68,3,114,500,0,"[1001,3]",0,"[11001,2]",[],
69,4,114,500,0,"[42000,3]",0,"[1003,100]",[],
70,5,114,500,0,"[11001,1]",0,"[15000,10]",[],
71,6,114,500,0,"[1002,1000]",0,"[83007,20]",[],
72,7,114,500,0,"[15000,3]",0,"[34015,20]",[],
73,8,114,500,0,"[1001,5]",0,"[11001,2]",[],
74,9,114,500,0,"[1003,60]",0,"[15000,20]",[],
75,10,114,500,0,"[11001,1]",0,"[34015,40]",[],
76,11,114,1000,0,"[1002,1500]",0,"[1002,3000]",[],
77,12,114,1000,0,"[15000,5]",0,"[42000,20]",[],
78,13,114,1000,0,"[1003,80]",2,"[307001,1]",[],
79,14,114,1000,0,"[42000,5]",0,"[11001,2]",[],
80,15,114,-1,0,"[1003,300]",0,"[1001,20]",[],
81,0,115,500,0,"[1003,30]",1,[1],[],
82,1,115,300,0,"[1002,500]",0,"[1001,3]",[],
83,2,115,200,0,"[1003,50]",0,"[42000,10]",[],
84,3,115,500,0,"[1001,3]",0,"[11001,2]",[],
85,4,115,500,0,"[42000,3]",0,"[1003,100]",[],
86,5,115,500,0,"[11001,1]",0,"[90021,3]",[],
87,6,115,500,0,"[1002,1000]",0,"[83006,20]",[],
88,7,115,500,0,"[15000,3]",0,"[34016,20]",[],
89,8,115,500,0,"[1001,5]",0,"[11001,2]",[],
90,9,115,500,0,"[1003,60]",0,"[90021,6]",[],
91,10,115,500,0,"[11001,1]",0,"[34016,40]",[],
92,11,115,1000,0,"[1002,1500]",0,"[90021,10]",[],
93,12,115,1000,0,"[15000,5]",0,"[42000,20]",[],
94,13,115,1000,0,"[1003,80]",2,"[306001,1]",[],
95,14,115,1000,0,"[42000,5]",0,"[11001,2]",[],
96,15,115,-1,0,"[1003,300]",0,"[1001,20]",[],
97,0,116,200,0,"[1003,10]",2,"[309001,1]",[],
98,1,116,200,0,"[1003,10]",1,[1],[],
99,2,116,300,0,"[1003,10]",0,"[1003,50]",[],
100,3,116,300,0,"[1003,10]",0,"[1003,50]",[],
101,4,116,400,0,"[1003,10]",0,"[1003,50]",[],
102,5,116,400,0,"[1003,15]",0,"[1003,80]",[],
103,6,116,500,0,"[1003,15]",0,"[1003,80]",[],
104,7,116,500,0,"[1003,15]",0,"[1003,80]",[],
105,8,116,500,0,"[1003,20]",0,"[1003,100]",[],
106,9,116,600,0,"[1003,20]",0,"[1003,100]",[],
107,10,116,600,0,"[1003,20]",0,"[1003,100]",[],
108,11,116,800,0,"[1003,30]",0,"[1003,200]",[],
109,12,116,800,0,"[1003,30]",0,"[1003,200]",[],
110,13,116,1000,0,"[1003,30]",0,"[1003,200]",[],
111,14,116,1000,0,"[1003,60]",0,"[11001,4]",[],
112,15,116,-1,0,"[1003,100]",0,"[1003,800]",[],
129,0,119,500,0,"[1003,30]",1,[1],[],
130,1,119,300,0,"[1002,500]",0,"[1001,3]",[],
131,2,119,200,0,"[1003,50]",0,"[42000,10]",[],
132,3,119,500,0,"[1001,3]",0,"[11001,2]",[],
133,4,119,500,0,"[42000,3]",0,"[1003,100]",[],
134,5,119,500,0,"[11001,1]",0,"[15000,10]",[],
135,6,119,500,0,"[1002,1000]",0,"[83012,20]",[],
136,7,119,500,0,"[15000,3]",0,"[34019,20]",[],
137,8,119,500,0,"[1001,5]",0,"[11001,2]",[],
138,9,119,500,0,"[1003,60]",0,"[15000,20]",[],
139,10,119,500,0,"[11001,1]",0,"[34019,40]",[],
140,11,119,1000,0,"[1002,1500]",0,"[1002,3000]",[],
141,12,119,1000,0,"[15000,5]",0,"[42000,20]",[],
142,13,119,1000,0,"[1003,80]",2,"[312001,1]",[],
143,14,119,1000,0,"[42000,5]",0,"[11001,2]",[],
144,15,119,-1,0,"[1003,300]",0,"[1001,20]",[],
161,0,105,500,0,"[1003,30]",1,[1],[],
162,1,105,300,0,"[1002,500]",0,"[1001,3]",[],
163,2,105,200,0,"[1003,50]",0,"[42000,10]",[],
164,3,105,500,0,"[1001,3]",0,"[11001,2]",[],
165,4,105,500,0,"[42000,3]",0,"[1003,100]",[],
