id,type,obstacleId,productItem,unlockLevel,unlockConsume,scene,extraProduction,maxProduction,factoryCenterId,partnerAttribute,fairytalePower,
7,1,30006,"[[3013,20],[3014,22],[3023,22]]",20,[],,[],[],,[],[],
9,1,30008,"[[3029,24],[3028,25],[3030,26],[3040,28]]",24,[],,[],[],,[],[],
10,1,30007,"[[3027,27],[3037,28],[3036,29],[3038,30],[3043,31],[3044,33]]",27,[],,[],[],,[],[],
1,1,30000,"[[3004,1],[3005,8],[3006,8],[3007,9],[3016,10],[3017,11],[3008,14],[3032,14],[3064,15],[3018,17],[3019,20],[3036,29],[3038,30]]",1,[],,[],[],1001,[],[],
11,1,30000,"[[3004,1],[3005,8],[3006,8],[3007,9],[3016,10],[3017,11],[3008,14],[3032,14],[3064,15],[3018,17],[3019,20],[3036,29],[3038,30]]",12,[],,[],[],1001,[],[],
12,1,30000,"[[3004,1],[3005,8],[3006,8],[3007,9],[3016,10],[3017,11],[3008,14],[3032,14],[3064,15],[3018,17],[3019,20],[3036,29],[3038,30]]",1,"[1001,150]",,[],[],1001,[],[],
13,1,30000,"[[3004,1],[3005,8],[3006,8],[3007,9],[3016,10],[3017,11],[3008,14],[3032,14],[3064,15],[3018,17],[3019,20],[3036,29],[3038,30]]",16,[],,[],[],1001,[],[],
2,1,30001,"[[3001,9],[3003,12],[3002,13],[3042,13],[3015,16],[3031,16],[3035,17],[3041,19],[3052,21],[3053,27]]",9,[],,[],[],1002,[],[],
14,1,30001,"[[3001,9],[3003,12],[3002,13],[3042,13],[3015,16],[3031,16],[3035,17],[3041,19],[3052,21],[3053,27]]",14,[],,[],[],1002,[],[],
15,1,30001,"[[3001,9],[3003,12],[3002,13],[3042,13],[3015,16],[3031,16],[3035,17],[3041,19],[3052,21],[3053,27]]",9,"[1001,150]",,[],[],1002,[],[],
