id,level,activityId,exp,normalType,normalItem,vipType,vipItem,diamondCost,specialReward,
244,0,1,50,0,"[1003,40]",3,[1],30,1,
245,1,1,50,0,"[1002,100]",5,[30],30,1,
246,2,1,70,0,"[1003,30]",1,[1],30,1,
247,3,1,70,0,"[1001,3]",0,"[1002,300]",30,0,
248,4,1,100,0,"[2007,5]",0,"[15000,20]",30,0,
249,5,1,100,0,"[1002,200]",2,[10],30,1,
250,6,1,100,0,"[13001,5]",0,"[1001,20]",30,0,
251,7,1,100,0,"[15000,5]",0,"[1002,500]",30,0,
252,8,1,100,0,"[1002,300]",0,"[2007,20]",30,0,
253,9,1,120,0,"[2002,10]",0,"[11001,1]",30,0,
254,10,1,120,0,"[1003,40]",0,"[1003,100]",30,0,
255,11,1,120,0,"[1001,10]",0,"[1001,30]",30,0,
256,12,1,150,0,"[1003,60]",0,"[1003,300]",30,0,
257,13,1,150,0,"[1002,400]",0,"[1002,700]",30,0,
258,14,1,200,0,"[30000,5]",0,"[30000,15]",30,0,
259,15,1,200,0,"[11001,1]",6,[24001],30,1,
260,16,1,200,0,"[2007,10]",0,"[2008,15]",30,0,
261,17,1,200,0,"[16000,5]",0,"[16000,25]",30,0,
262,18,1,200,0,"[2002,5]",0,"[2002,30]",30,0,
263,19,1,400,0,"[1002,500]",0,"[1002,1000]",30,0,
264,20,1,400,0,"[1003,80]",0,"[1003,300]",30,1,
265,21,1,400,0,"[2005,5]",0,"[2005,20]",30,0,
266,22,1,600,0,"[1003,100]",0,"[42000,10]",30,0,
267,23,1,600,0,"[11001,1]",4,[27202],30,1,
268,24,1,800,0,"[1002,600]",0,"[1002,1300]",30,0,
269,25,1,1200,0,"[42000,1]",0,"[11001,2]",30,0,
270,26,1,-1,0,"[1001,10]",0,"[1001,50]",30,0,
300,0,2,50,0,"[1003,40]",3,[1],30,1,
301,1,2,50,0,"[1002,100]",5,[30],30,1,
302,2,2,70,0,"[1003,30]",1,[1],30,1,
303,3,2,70,0,"[1001,3]",0,"[1002,300]",30,0,
304,4,2,100,0,"[2007,5]",0,"[15000,20]",30,0,
305,5,2,100,0,"[1002,200]",2,[10],30,1,
306,6,2,100,0,"[13001,5]",0,"[1001,20]",30,0,
307,7,2,100,0,"[15000,5]",0,"[1002,500]",30,0,
308,8,2,100,0,"[1002,300]",0,"[2007,20]",30,0,
309,9,2,120,0,"[2002,10]",0,"[11001,1]",30,0,
310,10,2,120,0,"[1003,40]",0,"[1003,100]",30,0,
311,11,2,120,0,"[1001,10]",0,"[1001,30]",30,0,
312,12,2,150,0,"[1003,60]",0,"[1003,300]",30,0,
313,13,2,150,0,"[1002,400]",0,"[1002,700]",30,0,
314,14,2,200,0,"[30000,5]",0,"[30000,15]",30,0,
315,15,2,200,0,"[11001,1]",6,[24002],30,1,
316,16,2,200,0,"[2007,10]",0,"[2008,15]",30,0,
317,17,2,200,0,"[16000,5]",0,"[16000,25]",30,0,
318,18,2,200,0,"[2002,5]",0,"[2002,30]",30,0,
319,19,2,400,0,"[1002,500]",0,"[1002,1000]",30,0,
320,20,2,400,0,"[1003,80]",0,"[1003,300]",30,1,
321,21,2,400,0,"[2005,5]",0,"[2005,20]",30,0,
322,22,2,600,0,"[1003,100]",0,"[42000,10]",30,0,
323,23,2,600,0,"[11001,1]",4,[27203],30,1,
324,24,2,800,0,"[1002,600]",0,"[1002,1300]",30,0,
325,25,2,1200,0,"[42000,1]",0,"[11001,2]",30,0,
326,26,2,-1,0,"[1001,10]",0,"[1001,50]",30,0,
400,0,3,50,0,"[1003,40]",3,[1],30,1,
401,1,3,50,0,"[1002,100]",5,[30],30,1,
402,2,3,70,0,"[1003,30]",1,[1],30,1,
403,3,3,70,0,"[1001,3]",0,"[1002,300]",30,0,
404,4,3,100,0,"[2007,5]",0,"[15000,20]",30,0,
405,5,3,100,0,"[1002,200]",2,[10],30,1,
406,6,3,100,0,"[13001,5]",0,"[1001,20]",30,0,
407,7,3,100,0,"[15000,5]",0,"[1002,500]",30,0,
408,8,3,100,0,"[1002,300]",0,"[2007,20]",30,0,
409,9,3,120,0,"[2002,10]",0,"[11001,1]",30,0,
410,10,3,120,0,"[1003,40]",0,"[1003,100]",30,0,
411,11,3,120,0,"[1001,10]",0,"[1001,30]",30,0,
412,12,3,150,0,"[1003,60]",0,"[1003,300]",30,0,
413,13,3,150,0,"[1002,400]",0,"[1002,700]",30,0,
414,14,3,200,0,"[30000,5]",0,"[30000,15]",30,0,
415,15,3,200,0,"[11001,1]",6,[24003],30,1,
416,16,3,200,0,"[2007,10]",0,"[2008,15]",30,0,
417,17,3,200,0,"[16000,5]",0,"[16000,25]",30,0,
418,18,3,200,0,"[2002,5]",0,"[2002,30]",30,0,
419,19,3,400,0,"[1002,500]",0,"[1002,1000]",30,0,
420,20,3,400,0,"[1003,80]",0,"[1003,300]",30,1,
421,21,3,400,0,"[2005,5]",0,"[2005,20]",30,0,
422,22,3,600,0,"[42000,2]",0,"[42000,10]",30,0,
423,23,3,600,0,"[11001,1]",4,[27207],30,1,
424,24,3,800,0,"[1002,600]",0,"[1002,1300]",30,0,
425,25,3,1200,0,"[1003,100]",0,"[11001,2]",30,0,
426,26,3,-1,0,"[1001,10]",0,"[1001,50]",30,0,
500,0,4,50,0,"[1003,40]",7,"[92011,1]",30,0,
501,1,4,50,0,"[1002,100]",5,[30],30,1,
502,2,4,70,0,"[1003,30]",1,[1],30,1,
