id,icon_way,MissionType,taskNeed,unlockLevel,unlockTask,num,
10000,task,22,[600],6,,[600],
10001,task,22,[500],6,,[500],
10002,item,2,"[2002,100]",6,,[100],
10003,item,2,"[2003,100]",6,,[100],
10004,item,2,"[2004,100]",6,,[100],
10005,task,3,[10],6,,[10],
10006,task,3,[70],6,,[70],
10007,task,11,"[3004,4]",1,,[4],
10008,task,11,"[3004,20]",1,,[20],
10009,task,11,"[3006,6]",8,,[6],
10010,task,11,"[3006,25]",8,,[25],
10011,task,11,"[3017,2]",11,,[2],
10012,task,11,"[3017,10]",11,,[10],
10013,task,11,"[3016,2]",10,,[2],
10014,task,11,"[3016,10]",10,,[10],
10015,task,11,"[3009,4]",10,,[4],
10016,item,11,"[3020,2]",12,,[2],
10017,item,11,"[3020,10]",12,,[10],
10018,task,11,"[3032,2]",14,,[2],
10019,item,11,"[3024,16]",15,,[16],
10020,item,11,"[3011,16]",16,,[16],
10021,task,14,[20],6,,[20],
10022,task,15,"[5018,40]",0,,[40],
10023,task,15,"[5009,24]",0,,[24],
10024,task,18,"[""city"",30]",6,,[30],
10025,task,18,"[""city"",150]",6,,[150],
10027,task,22,[3000],6,,[3000],
10028,task,23,[10],6,,[10],
10030,task,62,[3],6,,[3],
10031,task,62,[2],6,,[2],
10032,task,26,[2],14,,[2],
10033,task,27,[1],7,,[1],
10034,item,15,"[5002,24]",15,,[24],
10035,item,15,"[5005,8]",14,,[8],
10036,item,15,"[5010,12]",60,,[12],
10037,item,15,"[5007,4]",60,,[4],
10038,item,15,"[5017,12]",60,,[12],
10039,item,11,"[3021,3]",13,,[3],
10040,item,11,"[3021,15]",13,,[15],
10041,item,11,"[3012,2]",18,,[2],
10042,item,11,"[3012,10]",18,,[10],
10043,item,11,"[3019,4]",20,,[4],
10044,item,11,"[3023,3]",22,,[3],
10045,item,11,"[3023,15]",22,,[15],
10046,item,11,"[3035,15]",17,,[15],
10047,item,11,"[3022,7]",18,,[7],
10048,item,11,"[3033,6]",18,,[6],
10049,item,11,"[3041,9]",19,,[9],
10050,item,11,"[3052,5]",21,,[5],
10051,item,11,"[3054,5]",60,,[5],
10052,item,11,"[3053,5]",27,,[5],
10053,task,11,"[3037,3]",60,,[3],
10054,item,11,"[3038,10]",60,,[10],
10055,item,11,"[3043,2]",60,,[2],
10056,item,11,"[3044,4]",60,,[4],
10057,task,26,[10],14,,[10],
10058,task,27,[5],7,,[5],
10059,task,49,[80],7,,[80],
10060,task,50,[2],7,,[2],
10061,task,49,[200],7,,[200],
10062,task,50,[5],7,,[5],
10063,task,49,[400],7,,[400],
10064,task,50,[8],7,,[8],
10065,task,51,[80],10,,[80],
10066,task,52,[1],10,,[1],
10067,task,51,[200],10,,[200],
10068,task,52,[2],10,,[2],
10069,task,51,[400],10,,[400],
10070,task,52,[3],10,,[3],
10071,task,53,[20],10,,[20],
10072,task,54,[1],10,,[1],
10073,task,53,[50],10,,[50],
10074,task,54,[2],10,,[2],
10075,task,53,[100],10,,[100],
10076,task,54,[3],10,,[3],
10077,task,22,[400],6,,[400],
10078,task,11,"[3016,4]",10,,[4],
10079,task,11,"[3032,2]",14,,[2],
10080,item,11,"[3012,5]",18,,[5],
10081,item,11,"[3035,5]",17,,[5],
10082,item,11,"[3033,3]",60,,[3],
10083,item,11,"[3052,2]",21,,[2],
10084,item,11,"[3053,2]",27,,[2],
10085,task,11,"[3037,2]",60,,[2],
10086,item,11,"[3043,2]",60,,[2],
10087,task,95,[1],14,,[1],
10088,task,26,[1],14,,[1],
10089,task,23,[1],6,,[1],
10090,task,95,[1],14,,[1],
10091,task,22,[180],6,,[180],
10092,task,11,"[3004,3]",1,,[3],
10093,task,11,"[3016,2]",10,,[2],
10094,item,11,"[3020,3]",12,,[3],
10095,item,11,"[3021,3]",13,,[3],
10096,item,11,"[3012,3]",18,,[3],
10097,item,11,"[3019,3]",20,,[3],
10098,item,11,"[3023,3]",22,,[3],
10099,task,3,[10],6,,[10],
10100,task,14,[5],6,,[5],
10101,task,18,"[""city"",12]",6,,[12],
10102,item,2,"[2002,20]",6,,[20],
10103,item,2,"[2003,20]",6,,[20],
10104,item,2,"[2004,20]",6,,[20],
10105,item,15,"[5002,3]",14,,[3],
10106,item,15,"[5005,4]",14,,[4],
10107,item,15,"[5010,2]",60,,[2],
10108,item,15,"[5007,2]",60,,[2],
10109,item,15,"[5017,4]",60,,[4],
10110,task,15,"[5018,10]",0,,[10],
10111,task,15,"[5009,10]",0,,[10],
10112,task,27,[1],7,,[1],
10113,task,3,[20],6,,[20],
10114,task,32,[2],7,,[2],
10115,task,32,[5],7,,[5],
10116,task,32,[8],7,,[8],
10117,item,91,"[38,50]",8,,[50],
10118,item,91,"[38,100]",8,,[100],
10119,item,91,"[38,150]",8,,[150],
