id,type,dragonId,breedDragonId,productLevel,productNeedItem,orderType,productTime,timeValue,sellCoin,price,expValue,orderNumLimit,orderNormalWeight,orderDifficultWeight,timeOrderItem,timeOrderNumLimit,limittime,canUse,funcType,funcParam,itemLimit,sceneId,itemConvert,
1000,9,0,,0,[],0,0,0,0,0,0,0,0,0,0,[],-1,1,0,[],-1,,[],
1001,1,0,,0,[],0,0,0,0,0,0,0,0,0,0,[],-1,1,0,[],-1,,[],
1002,1,0,,0,[],0,0,0,0,0,0,0,0,0,0,[],-1,1,0,[],-1,,[],
1003,1,0,,0,[],0,0,0,0,0,0,0,0,0,0,[],-1,1,0,[],9999999,,[],
1004,1,0,,0,[],0,0,0,0,0,0,0,0,0,0,[],-1,1,0,[],-1,,[],
1005,4,0,,0,[],0,0,0,0,0,0,0,0,0,0,[],-1,1,0,[],-1,,[],
1006,1,0,,0,[],0,0,0,0,0,0,0,0,0,0,[],-1,1,0,[],9999999,,[],
2001,2,0,,0,[],2,0,2,3,2,2,-1,200,200,1,"[50,40,60]",-1,1,0,[],99999,,[],
2002,2,0,,0,[],2,0,3,3,2,2,-1,0,200,1,"[30,30,30]",-1,1,0,[],99999,,[],
2003,2,0,,0,[],2,0,3,3,2,2,-1,100,200,1,"[30,30,30]",-1,1,0,[],99999,,[],
2004,2,0,,0,[],2,0,3,3,2,2,-1,100,200,1,"[40,40,40]",-1,1,0,[],99999,,[],
2005,2,0,,0,[],2,0,6,3,2,2,-1,0,200,1,"[30,30,30]",-1,1,0,[],99999,,[],
2006,18,0,,0,[],0,0,0,1,2,0,0,0,0,0,[],-1,0,3,[900],9999,,[],
2007,18,0,,0,[],0,0,0,1,5,0,0,0,0,0,[],-1,0,3,[3600],9999,,[],
2008,18,0,,0,[],0,0,0,1,10,0,0,0,0,0,[],-1,0,3,[14400],9999,,[],
2009,18,0,,0,[],0,0,0,1,20,0,0,0,0,0,[],-1,0,3,[28800],9999,,[],
2020,2,0,,6,[],2,0,3,3,1,2,0,0,0,1,[],-1,1,0,[],9999,,[],
2021,2,0,,6,[],2,0,3,3,1,2,0,0,0,1,[],-1,1,0,[],9999,,[],
2022,2,0,,6,[],2,0,3,3,1,2,0,0,0,1,[],-1,1,0,[],9999,,[],
2023,2,0,,6,[],2,0,3,3,1,2,0,0,0,1,[],-1,1,0,[],9999,,[],
2100,2,0,,0,[],0,0,60,0,80,0,0,0,0,0,[],-1,1,0,[],-1,,[],
2200,2,0,,0,[],0,0,0,0,1,0,0,0,0,0,[],-1,1,0,[],-1,,[],
2201,2,0,,0,[],0,0,0,0,1,0,0,0,0,0,[],-1,1,0,[],-1,,[],
2202,2,0,,0,[],0,0,0,0,1,0,0,0,0,0,[],-1,1,0,[],-1,,[],
2203,2,0,,0,[],0,0,0,0,1,0,0,0,0,0,[],-1,1,0,[],-1,,[],
2204,2,0,,0,[],0,0,0,0,1,0,0,0,0,0,[],-1,1,0,[],-1,,[],
2300,2,0,,0,[],0,0,0,0,80,0,0,0,0,0,[],-1,1,0,[],-1,,[],
2400,2,0,,0,[],0,0,0,0,80,0,0,0,0,0,[],-1,1,0,[],-1,-1,[],
2401,2,0,,0,[],0,0,0,0,80,0,0,0,0,0,[],-1,1,0,[],-1,-2,[],
2402,2,0,,0,[],0,0,0,0,80,0,0,0,0,0,[],-1,1,0,[],-1,-3,[],
2403,2,0,,0,[],0,0,0,0,80,0,0,0,0,0,[],-1,1,0,[],-1,-4,[],
2500,4,0,,0,[],0,0,0,0,2,0,0,0,0,0,[],-1,1,0,[],9999,,[],
2501,4,0,,0,[],0,0,0,0,2,0,0,0,0,0,[],-1,1,0,[],9999,,[],
2502,4,0,,0,[],0,0,0,0,2,0,0,0,0,0,[],-1,1,0,[],9999,,[],
2503,4,0,,0,[],0,0,0,0,2,0,0,0,0,0,[],-1,1,0,[],9999,,[],
5001,5,104001,,0,[],1,0,3,1,2,1,-1,100,200,0,"[50,40,60]",-1,1,0,[],99999,,[],
5002,5,107001,,0,[],1,0,8,5,3,3,-1,100,200,0,"[50,40,60]",-1,1,0,[],99999,,[],
5003,5,116001,,0,[],0,0,10,10,5,7,-1,100,200,0,"[50,40,60]",-1,1,0,[],99999,,[],
5004,5,118001,,0,[],0,0,20,18,10,13,-1,100,200,0,"[50,40,60]",-1,1,0,[],99999,,[],
5005,5,110001,,0,[],1,0,15,14,8,10,-1,100,200,0,"[50,40,60]",-1,1,0,[],99999,,[],
5006,5,108001,,0,[],1,0,15,14,8,10,-1,100,200,0,"[50,40,60]",-1,1,0,[],99999,,[],
5007,5,114001,,0,[],0,0,30,25,15,18,-1,100,200,0,"[50,40,60]",-1,1,0,[],99999,,[],
5008,5,106001,,0,[],3,0,10,10,5,7,-1,100,200,0,"[50,40,60]",-1,1,0,[],99999,,[],
5009,5,102001,,0,[],1,0,5,5,3,3,-1,100,200,0,"[50,40,60]",-1,1,0,[],99999,,[],
5010,5,115001,,0,[],0,0,10,10,5,7,-1,100,200,0,"[50,40,60]",-1,1,0,[],99999,,[],
5011,5,111001,,0,[],3,0,20,18,10,13,-1,100,200,0,"[50,40,60]",-1,1,0,[],99999,,[],
5012,5,105001,,0,[],1,0,30,25,15,18,-1,100,200,0,"[50,40,60]",-1,1,0,[],99999,,[],
5013,5,109001,,0,[],0,0,50,37,25,27,-1,100,200,0,"[50,40,60]",-1,1,0,[],99999,,[],
5014,5,113001,,0,[],0,0,60,45,30,33,-1,100,200,0,"[50,40,60]",-1,1,0,[],99999,,[],
5015,5,112001,,0,[],1,0,10,10,5,7,-1,100,200,0,"[50,40,60]",-1,1,0,[],99999,,[],
5016,5,101001,,0,[],1,0,3,5,1,3,-1,200,200,0,"[50,40,60]",-1,1,0,[],99999,,[],
5017,5,117001,,0,[],0,0,10,10,5,7,-1,100,200,0,"[50,40,60]",-1,1,0,[],99999,,[],
5018,5,103001,,0,[],1,0,3,3,2,2,-1,100,200,0,"[50,40,60]",-1,1,0,[],99999,,[],
5019,5,119001,,0,[],0,0,60,45,30,33,-1,100,200,0,"[50,40,60]",-1,1,0,[],99999,,[],
5020,5,120001,,0,[],0,0,50,37,25,27,-1,100,200,0,"[50,40,60]",-1,1,0,[],99999,,[],
5021,2,0,,0,[],0,0,0,0,20,22,0,100,200,0,"[50,40,60]",-1,1,0,[],99999,,[],
5022,2,0,,0,[],0,0,0,0,45,45,0,100,200,0,"[50,40,60]",-1,1,0,[],99999,,[],
3001,3,0,206001,1,"[[5001,9]]",3,180,30,18,6,13,8,100,0,0,"[50,40,60]",-1,1,0,[],9999,,[],
3002,3,0,202001,1,"[[5006,6]]",3,300,15,100,46,75,8,100,0,0,"[50,40,60]",-1,1,0,[],9999,,[],
3003,3,0,207001,1,"[[5005,5],[5018,1]]",3,300,15,89,40,66,8,100,0,0,"[50,40,60]",-1,1,0,[],9999,,[],
3004,3,0,,2,"[[5016,5],[2001,10]]",3,180,33,64,29,48,8,100,500,0,"[50,40,60]",-1,1,0,[],9999,,[],
3005,3,0,,1,"[[2002,5],[5018,2]]",3,300,20,37,13,27,8,30,500,0,"[50,40,60]",-1,1,0,[],9999,,[],
3006,3,0,,1,"[[2004,5]]",3,300,20,31,10,23,8,100,500,0,"[50,40,60]",-1,1,0,[],9999,,[],
3007,3,0,201001,1,"[[5009,5]]",3,300,15,41,15,30,8,100,0,0,"[50,40,60]",-1,1,0,[],9999,,[],
3008,3,0,208001,1,"[[5011,9]]",3,600,20,138,63,103,8,100,0,0,"[50,40,60]",-1,1,0,[],9999,,[],
3009,3,0,,1,"[[2005,5]]",3,900,30,56,15,42,8,30,500,0,"[50,40,60]",-1,1,0,[],9999,,[],
3010,3,0,203001,1,"[[5012,5]]",3,1200,20,180,77,135,8,100,500,0,"[50,40,60]",-1,1,0,[],9999,,[],
3011,3,0,209001,1,"[[5013,5]]",0,2400,40,285,131,213,8,100,500,0,"[50,40,60]",-1,1,0,[],9999,,[],
3012,3,0,210001,2,"[[5014,5]]",0,3600,60,375,152,281,8,100,500,0,"[50,40,60]",-1,1,0,[],9999,,[],
3013,3,0,,1,"[[5007,5]]",0,600,10,155,72,116,8,100,200,0,"[50,40,60]",-1,1,0,[],9999,,[],
3014,3,0,,1,"[[5007,10]]",0,600,10,280,131,210,8,100,200,0,"[50,40,60]",-1,1,0,[],9999,,[],
3015,3,0,,1,"[[3001,1],[5008,6]]",3,300,8,94,37,70,8,100,0,0,"[50,40,60]",-1,1,0,[],9999,,[],
3016,3,0,,2,"[[2003,5],[3004,1]]",3,600,58,109,40,81,8,100,200,0,"[50,40,60]",-1,1,0,[],9999,,[],
3017,3,0,,2,"[[3005,2]]",3,900,55,115,33,86,8,20,200,0,"[50,40,60]",-1,1,0,[],9999,,[],
3018,3,0,,6,"[[5015,5],[3004,2]]",0,600,76,208,80,156,8,100,200,0,"[50,40,60]",-1,1,0,[],9999,,[],
3019,3,0,,1,"[[5010,5],[3007,2]]",0,900,25,173,60,129,8,100,200,0,"[50,40,60]",-1,1,0,[],9999,,[],
3020,3,0,,2,"[[3009,1],[5018,2]]",3,1800,60,142,32,106,8,20,200,0,"[50,40,60]",-1,1,0,[],9999,,[],
3021,3,0,,2,"[[3010,1],[5018,1]]",3,1800,50,263,92,197,8,100,200,0,"[50,40,60]",-1,1,0,[],9999,,[],
3022,3,0,,3,"[[3009,3],[5018,3]]",3,1800,120,257,62,192,8,10,200,0,"[50,40,60]",-1,1,0,[],9999,,[],
3023,3,0,,2,"[[3014,2]]",0,900,35,601,242,450,8,100,200,0,"[50,40,60]",-1,1,0,[],9999,,[],
3024,3,0,,2,"[[5002,9],[3003,3]]",3,1200,35,367,132,275,8,100,200,0,"[50,40,60]",-1,1,0,[],9999,,[],
3025,3,0,,2,"[[5003,9],[3003,3]]",0,1200,35,412,151,309,8,100,200,0,"[50,40,60]",-1,1,0,[],9999,,[],
3026,3,0,,2,"[[5004,9],[3003,3]]",0,1200,0,484,189,363,0,100,200,0,"[50,40,60]",-1,1,0,[],9999,,[],
3027,3,0,,3,"[[3012,1],[5018,5]]",0,1800,90,460,171,345,8,100,200,0,"[50,40,60]",-1,1,0,[],9999,,[],
3028,3,0,,3,"[[3013,5]]",0,1800,80,855,316,641,8,100,200,0,"[50,40,60]",-1,1,0,[],9999,,[],
3029,3,0,,3,"[[3023,2]]",0,3600,130,1352,466,1014,8,100,200,0,"[50,40,60]",-1,1,0,[],9999,,[],
3030,3,0,,3,"[[3023,3]]",0,5400,195,2023,599,1517,8,100,200,0,"[50,40,60]",-1,1,0,[],9999,,[],
3031,3,0,,1,"[[3015,1]]",0,600,30,124,42,93,8,100,200,0,"[50,40,60]",-1,1,0,[],9999,,[],
3032,3,0,,4,"[[3016,4],[3020,2]]",3,1800,382,800,208,600,5,20,200,0,"[50,40,60]",-1,1,0,[],9999,,[],
3033,3,0,,3,"[[3020,1],[3021,1],[5018,1]]",0,2400,150,508,132,381,5,20,200,0,"[50,40,60]",-1,1,0,[],9999,,[],
3034,3,0,,4,"[[3022,2],[3017,2]]",0,1800,380,824,178,618,0,20,200,0,"[50,40,60]",-1,1,0,[],9999,,[],
3035,3,0,,2,"[[3015,1],[3003,2]]",3,2400,53,372,90,279,8,100,200,0,"[50,40,60]",-1,1,0,[],9999,,[],
3036,3,0,,4,"[[3022,3],[3005,2]]",0,3600,460,995,210,746,8,20,200,0,"[50,40,60]",-1,1,0,[],9999,,[],
3037,3,0,,4,"[[3010,3],[3021,2],[3017,1]]",0,3600,275,1331,366,998,8,100,200,0,"[50,40,60]",-1,1,0,[],9999,,[],
3038,3,0,,3,"[[3019,2]]",0,1800,80,426,126,319,8,20,200,0,"[50,40,60]",-1,1,0,[],9999,,[],
3039,3,0,,4,"[[3018,1],[3027,2],[3005,2]]",0,3600,356,1352,385,1014,8,20,200,0,"[50,40,60]",-1,1,0,[],9999,,[],
3040,3,0,,3,"[[3014,2],[3023,2]]",0,5400,180,2953,594,2214,8,100,200,0,"[50,40,60]",-1,1,0,[],9999,,[],
3041,3,0,,3,"[[3035,1],[3002,3]]",3,1200,88,727,192,545,8,100,200,0,"[50,40,60]",-1,1,0,[],9999,,[],
3042,3,0,,2,"[[3001,1],[3002,1],[3003,3]]",0,1200,53,446,150,334,8,100,200,0,"[50,40,60]",-1,1,0,[],9999,,[],
3043,3,0,,4,"[[3006,9],[3038,2]]",0,5400,430,1762,316,1321,8,100,200,0,"[50,40,60]",-1,1,0,[],9999,,[],
3044,3,0,,4,"[[3008,4],[3038,1],[3005,1]]",0,3600,200,1165,337,873,8,20,200,0,"[50,40,60]",-1,1,0,[],9999,,[],
3045,3,0,,5,"[[3032,2],[3004,5],[5017,6]]",0,3600,989,2130,490,1597,8,100,200,0,"[50,40,60]",-1,1,0,[],9999,,[],
3046,3,0,,5,"[[3032,3],[3004,6],[5017,9]]",0,5400,1434,3094,603,2320,8,100,200,0,"[50,40,60]",-1,1,0,[],9999,,[],
3047,3,0,,5,"[[3036,2],[3020,5],[3017,2]]",0,5400,1420,3150,544,2362,8,100,200,0,"[50,40,60]",-1,1,0,[],9999,,[],
3048,3,0,,4,"[[3033,1],[3037,1],[5017,3]]",0,5400,515,2089,517,1566,8,100,200,0,"[50,40,60]",-1,1,0,[],9999,,[],
3049,3,0,,5,"[[3032,2],[3036,1],[3027,1]]",0,7200,1434,3315,604,2486,8,100,200,0,"[50,40,60]",-1,1,0,[],9999,,[],
3050,3,0,,4,"[[3011,2],[3034,1]]",0,5400,550,1614,383,1210,8,100,200,0,"[50,40,60]",-1,1,0,[],9999,,[],
3051,3,0,,4,"[[3012,2],[3034,1]]",0,5400,590,1794,432,1345,8,100,200,0,"[50,40,60]",-1,1,0,[],9999,,[],
3052,3,0,,3,"[[3024,1],[3042,1],[3002,2]]",3,3600,158,1163,350,872,8,100,200,0,"[50,40,60]",-1,1,0,[],9999,,[],
3053,3,0,,3,"[[3025,1],[3042,1],[3002,2]]",0,3600,158,1208,367,906,8,100,200,0,"[50,40,60]",-1,1,0,[],9999,,[],
3054,3,0,,3,"[[3026,1],[3042,1],[3002,2]]",0,3600,0,1280,370,960,0,100,200,0,"[50,40,60]",-1,1,0,[],9999,,[],
3055,3,0,,4,"[[3050,1],[5020,2],[5021,2]]",0,7200,0,2008,488,1506,0,100,200,0,"[50,40,60]",-1,1,0,[],9999,,[],
3056,3,0,,5,"[[3051,1],[5022,1],[5019,2]]",0,7200,0,2204,547,1653,0,100,200,0,"[50,40,60]",-1,1,0,[],9999,,[],
3057,3,0,,1,"[[5006,6]]",0,480,18,100,46,50,8,100,200,0,"[50,40,60]",-1,1,0,[],9999,,[],
3058,3,0,,1,"[[5006,6],[5005,6]]",0,480,18,100,70,50,8,100,200,0,"[50,40,60]",-1,1,0,[],9999,,[],
3059,3,0,,2,"[[3002,1],[3003,1]]",0,900,35,100,30,50,8,100,200,0,"[50,40,60]",-1,1,0,[],9999,,[],
3060,3,0,,2,"[[3057,1],[3003,1]]",0,900,35,100,30,50,8,100,200,0,"[50,40,60]",-1,1,0,[],9999,,[],
3061,3,0,,2,"[[3009,1]]",0,1200,40,100,30,50,8,10,200,0,"[50,40,60]",-1,1,0,[],9999,,[],
3062,3,0,,2,"[[3009,1]]",0,1200,40,100,30,50,8,10,200,0,"[50,40,60]",-1,1,0,[],9999,,[],
3063,3,0,,2,"[[3009,2]]",0,2400,60,100,80,50,8,10,200,0,"[50,40,60]",-1,1,0,[],9999,,[],
3064,3,0,,2,"[[3009,1],[3008,2]]",0,2400,60,100,160,50,8,10,200,0,"[50,40,60]",-1,1,0,[],9999,,[],
3997,4,0,,0,[],0,0,0,0,0,0,0,0,0,0,[],-1,1,0,[],9999,,[],
3998,4,0,,0,[],0,0,0,0,0,0,0,0,0,0,[],-1,1,0,[],9999,,[],
3999,4,0,,0,[],0,0,0,0,0,0,0,0,0,0,[],-1,1,0,[],9999,,[],
4000,4,0,,0,[],0,0,0,0,0,0,0,0,0,0,[],-1,1,0,[],9999,,[],
4001,4,0,,0,[],0,0,0,0,0,0,0,0,0,0,[],-1,1,0,[],9999,,[],
4002,4,0,,0,[],0,0,0,0,0,0,0,0,0,0,[],-1,1,0,[],9999,,[],
4003,4,0,,0,[],0,0,0,0,0,0,0,0,0,0,[],-1,1,0,[],9999,,[],
4004,4,0,,0,[],0,0,0,0,0,0,0,0,0,0,[],-1,1,0,[],9999,,[],
4005,4,0,,0,[],0,0,0,0,0,0,0,0,0,0,[],-1,1,0,[],9999,,[],
4006,4,0,,0,[],0,0,0,0,0,0,0,0,0,0,[],-1,1,0,[],9999,,[],
4007,4,0,,0,[],0,0,0,0,0,0,0,0,0,0,[],-1,1,0,[],9999,,[],
4008,4,0,,0,[],0,0,0,0,0,0,0,0,0,0,[],-1,1,0,[],9999,,[],
4009,4,0,,0,[],0,0,0,0,0,0,0,0,0,0,[],-1,1,0,[],9999,,[],
4010,4,0,,0,[],0,0,0,0,0,0,0,0,0,0,[],-1,1,0,[],9999,,[],
4011,4,0,,0,[],0,0,0,0,0,0,0,0,0,0,[],-1,1,0,[],9999,,[],
4012,4,0,,0,[],0,0,0,0,0,0,0,0,0,0,[],-1,1,0,[],9999,,[],
4013,4,0,,0,[],0,0,0,0,0,0,0,0,0,0,[],-1,1,0,[],9999,,[],
4014,4,0,,0,[],0,0,0,0,0,0,0,0,0,0,[],-1,1,0,[],9999,,[],
4015,4,0,,0,[],0,0,0,0,0,0,0,0,0,0,[],-1,1,0,[],9999,,[],
4016,4,0,,0,[],0,0,0,0,0,0,0,0,0,0,[],-1,1,0,[],9999,,[],
