id,exp,energy,energyMakeUp,levelUpReward,timeOrderNum,timeOrderItem_1,timeOrderItem_2,timeOrderItem_3,timeOrderTimeMin,timeOrderTimeMax,timeOrderHome,timeOrderReward,dragonHelpNum,dragonSkillNumDay,dragonSceneNum,partnerLevelLimit,goldOrderrReward_Exp,dailyMissionExp,goldOrderReward,
1,50,50,"[12,25,100]",[],"[1000,0]","[[0,0],[1,0],[2,0],[3,0],[4,0],[5,0],[6,100],[7,0],[8,0],[9,0]]","[[0,0],[1,0],[2,0],[3,0],[4,0],[5,0],[6,100],[7,0],[8,0],[9,0]]","[[0,100],[1,0],[2,0],[3,0],[4,0],[5,0],[6,0],[7,0],[8,0],[9,0]]","[1,1,1]","[27,27,41]","[0,0,0]","[[""1001"",""1002""],[""1003"",""1004""],[""1005"",""1006""]]",5,5,3,1,0,[0],[],
2,150,51,"[12,25,100]","[[1001,3],[1002,100],[1003,20]]","[1000,0]","[[0,0],[1,0],[2,0],[3,0],[4,0],[5,0],[6,100],[7,0],[8,0],[9,0]]","[[0,0],[1,0],[2,0],[3,0],[4,0],[5,0],[6,100],[7,0],[8,0],[9,0]]","[[0,100],[1,0],[2,0],[3,0],[4,0],[5,0],[6,0],[7,0],[8,0],[9,0]]","[1,1,1]","[27,27,41]","[0,0,0]","[[""1001"",""1002""],[""1003"",""1004""],[""1005"",""1006""]]",5,5,3,2,0,[0],[],
3,400,52,"[12,25,100]","[[1001,3],[1002,150],[1003,25]]","[1000,0]","[[0,0],[1,0],[2,0],[3,0],[4,0],[5,0],[6,100],[7,0],[8,0],[9,0]]","[[0,0],[1,0],[2,0],[3,0],[4,0],[5,0],[6,100],[7,0],[8,0],[9,0]]","[[0,100],[1,0],[2,0],[3,0],[4,0],[5,0],[6,0],[7,0],[8,0],[9,0]]","[1,1,1]","[27,27,41]","[0,0,0]","[[""1001"",""1002""],[""1003"",""1004""],[""1005"",""1006""]]",5,5,3,3,0,[0],[],
4,800,53,"[12,25,100]","[[1001,3],[1002,150],[1003,25]]","[1000,0]","[[0,0],[1,0],[2,0],[3,0],[4,0],[5,0],[6,100],[7,0],[8,0],[9,0]]","[[0,0],[1,0],[2,0],[3,0],[4,0],[5,0],[6,100],[7,0],[8,0],[9,0]]","[[0,100],[1,0],[2,0],[3,0],[4,0],[5,0],[6,0],[7,0],[8,0],[9,0]]","[1,1,1]","[27,27,41]","[0,0,0]","[[""1001"",""1002""],[""1003"",""1004""],[""1005"",""1006""]]",5,5,3,4,0,[0],[],
5,1300,54,"[13,25,100]","[[1001,3],[1002,200],[1003,30]]","[1000,0]","[[0,0],[1,0],[2,0],[3,0],[4,0],[5,0],[6,100],[7,0],[8,0],[9,0]]","[[0,0],[1,0],[2,0],[3,0],[4,0],[5,0],[6,100],[7,0],[8,0],[9,0]]","[[0,100],[1,0],[2,0],[3,0],[4,0],[5,0],[6,0],[7,0],[8,0],[9,0]]","[1,1,1]","[27,27,41]","[0,0,0]","[[""1001"",""1002""],[""1003"",""1004""],[""1005"",""1006""]]",5,5,3,5,0,[0],[],
6,2000,55,"[13,25,100]","[[1001,3],[1002,200],[1003,30]]","[1000,0]","[[0,0],[1,0],[2,0],[3,0],[4,0],[5,0],[6,100],[7,0],[8,0],[9,0]]","[[0,0],[1,0],[2,0],[3,0],[4,0],[5,0],[6,100],[7,0],[8,0],[9,0]]","[[0,100],[1,0],[2,0],[3,0],[4,0],[5,0],[6,0],[7,0],[8,0],[9,0]]","[1,1,1]","[27,27,41]","[0,0,0]","[[""1001"",""1002""],[""1003"",""1004""],[""1005"",""1006""]]",5,5,3,6,0,[0],[],
7,2400,56,"[13,25,100]","[[1001,3],[1002,200],[1003,30]]","[1000,0]","[[0,0],[1,0],[2,0],[3,0],[4,0],[5,0],[6,100],[7,0],[8,0],[9,0]]","[[0,0],[1,0],[2,0],[3,0],[4,0],[5,0],[6,100],[7,0],[8,0],[9,0]]","[[0,100],[1,0],[2,0],[3,0],[4,0],[5,0],[6,0],[7,0],[8,0],[9,0]]","[1,1,1]","[27,27,41]","[0,0,0]","[[""1001"",""1002""],[""1003"",""1004""],[""1005"",""1006""]]",5,5,3,7,0,[0],[],
8,2900,57,"[13,25,100]","[[1001,3],[1002,250],[1003,35]]","[1000,0]","[[0,0],[1,0],[2,0],[3,0],[4,0],[5,0],[6,100],[7,0],[8,0],[9,0]]","[[0,0],[1,0],[2,0],[3,0],[4,0],[5,0],[6,100],[7,0],[8,0],[9,0]]","[[0,100],[1,0],[2,0],[3,0],[4,0],[5,0],[6,0],[7,0],[8,0],[9,0]]","[1,1,1]","[27,27,41]","[0,0,0]","[[""1001"",""1002""],[""1003"",""1004""],[""1005"",""1006""]]",5,5,3,8,0,[0],[],
9,3500,58,"[14,25,100]","[[1001,3],[1002,250],[1003,35]]","[1000,0]","[[0,0],[1,0],[2,0],[3,0],[4,0],[5,0],[6,100],[7,0],[8,0],[9,0]]","[[0,0],[1,0],[2,0],[3,0],[4,0],[5,0],[6,100],[7,0],[8,0],[9,0]]","[[0,100],[1,0],[2,0],[3,0],[4,0],[5,0],[6,0],[7,0],[8,0],[9,0]]","[1,1,1]","[27,27,41]","[0,0,0]","[[""1001"",""1002""],[""1003"",""1004""],[""1005"",""1006""]]",5,5,4,9,0,[0],[],
10,4000,59,"[14,25,100]","[[1001,3],[1002,250],[1003,35]]","[500,500]","[[0,0],[1,0],[2,0],[3,0],[4,0],[5,0],[6,100],[7,0],[8,0],[9,0]]","[[0,0],[1,0],[2,0],[3,0],[4,0],[5,0],[6,100],[7,0],[8,0],[9,0]]","[[0,100],[1,0],[2,0],[3,0],[4,0],[5,0],[6,0],[7,0],[8,0],[9,0]]","[1,1,1]","[8,8,18]","[0,0,0]","[[""1001"",""1002""],[""1003"",""1004""],[""1005"",""1006""]]",5,5,4,10,0,[58],[],
