id,14051,14041,14031,14001,14081,14011,14071,14061,14091,14101,14021,14181,14121,14131,14141,14151,14161,14171,14111,14191,14201,14211
1,50,100,150,200,250,300,350,400,450,500,550,600,650,700,750,800,850,900,950,1000,1050,1100
2,100,150,200,300,300,400,500,500,600,700,700,800,800,900,1000,1000,1100,1200,1200,1300,1400,1400
3,150,200,260,300,400,500,600,700,800,800,900,1000,1100,1200,1300,1400,1400,1500,1600,1700,1800,1900
4,200,250,330,400,500,700,800,900,1000,1100,1200,1300,1400,1500,1600,1800,1900,2000,2100,2200,2300,2400
5,260,300,400,600,700,900,1000,1100,1300,1400,1600,1700,1900,2000,2100,2300,2400,2600,2700,2900,3000,3100
6,320,400,600,700,900,1100,1300,1500,1700,1900,2000,2200,2400,2600,2800,3000,3200,3300,3500,3700,3900,4100
7,400,500,700,1000,1200,1400,1700,1900,2200,2400,2700,2900,3100,3400,3600,3900,4100,4300,4600,4800,5100,5300
8,500,600,900,1300,1600,1900,2200,2500,2800,3100,3500,3800,4100,4400,4700,5000,5300,5600,6000,6300,6600,6900
9,600,800,1200,1600,2000,2400,2900,3300,3700,4100,4500,4900,5300,5700,6100,6500,6900,7300,7700,8200,8600,9000
10,700,1100,1600,2100,2700,3200,3700,4200,4800,5300,5800,6400,6900,7400,8000,8500,9000,9500,10100,10600,11100,11700
11,900,1400,2100,2800,3400,4100,4800,5500,6200,6900,7600,8300,9000,9700,10300,11000,11700,12400,13100,13800,14500,15200
12,1200,1800,2700,3600,4500,5400,6300,7200,8100,9000,9900,10800,11600,12500,13400,14300,15200,16100,17000,17900,18800,19700
13,1500,2300,3500,4700,5800,7000,8200,9300,10500,11600,12800,14000,15100,16300,17500,18600,19800,21000,22100,23300,24500,25600
14,1800,3000,4500,6100,7600,9100,10600,12100,13600,15100,16700,18200,19700,21200,22700,24200,25700,27300,28800,30300,31800,33300
15,2300,3900,5900,7900,9800,11800,13800,15700,17700,19700,21700,23600,25600,27600,29500,31500,33500,35400,37400,39400,41300,43300
16,2800,4800,7300,9700,12000,14500,17000,19300,21800,24300,26700,29000,31500,34000,36300,38800,41300,43500,46000,48500,50800,53300
17,3300,5700,8700,11500,14200,17200,20200,22900,25900,28900,31700,34400,37400,40400,43100,46100,49100,51600,54600,57600,60300,63300
