id,parentLevel1,parentLevel2,product,needItem,unlockLevel,getNum,mustGet
102_103,3,3,"[[206001,1,150,3],[19004,5,9,6],[19005,20,1,4],[19001,200,150,1],[19002,500,300,5],[19003,1000,390,2]]","[2100,10,1]",0,10,0
103_104,3,3,"[[111001,1,150,3],[19004,5,9,6],[19005,20,1,4],[19001,200,150,1],[19002,500,300,5],[19003,1000,390,2]]","[2100,10,1]",0,10,0
102_110,3,3,"[[207001,1,150,3],[19004,5,9,6],[19005,20,1,4],[19001,200,150,1],[19002,500,300,5],[19003,1000,390,2]]","[2100,10,1]",0,10,0
101_104,3,3,"[[203001,1,100,3],[19004,5,9,6],[19005,20,1,4],[19001,200,150,1],[19002,500,350,5],[19003,1000,390,2]]","[2100,10,1]",14,10,0
105_107,3,3,"[[209001,1,100,3],[19004,5,9,6],[19005,20,1,4],[19001,200,150,1],[19002,500,350,5],[19003,1000,390,2]]","[2100,10,1]",15,10,0
106_108,3,3,"[[202001,1,100,3],[19004,5,9,6],[19005,20,1,4],[19001,200,150,1],[19002,500,350,5],[19003,1000,390,2]]","[2100,10,1]",16,10,0
109_112,3,3,"[[208001,1,100,3],[19004,5,9,6],[19005,20,1,4],[19001,200,150,1],[19002,500,350,5],[19003,1000,390,2]]","[2100,10,1]",17,10,0
114_115,3,3,"[[201001,1,100,3],[19004,5,9,6],[19005,20,1,4],[19001,200,150,1],[19002,500,350,5],[19003,1000,390,2]]","[2100,10,1]",20,10,0
113_116,3,3,"[[210001,1,100,3],[19004,5,9,6],[19005,20,1,4],[19001,200,150,1],[19002,500,350,5],[19003,1000,390,2]]","[2100,10,1]",21,10,0
203_206,3,3,"[[308001,1,100,3],[19004,5,9,6],[19005,20,1,4],[19001,200,150,1],[19002,500,350,5],[19003,1000,390,2]]","[2100,20,1]",15,10,0
111_201,3,3,"[[302001,1,67,3],[19004,5,9,6],[19005,20,1,4],[19001,500,100,1],[19002,1000,423,5],[19003,2000,400,2]]","[2100,20,1]",22,15,0
202_207,3,3,"[[303001,1,67,3],[19004,5,9,6],[19005,20,1,4],[19001,500,100,1],[19002,1000,423,5],[19003,2000,400,2]]","[2100,20,1]",23,15,0
208_210,3,3,"[[306001,1,67,3],[19004,5,9,6],[19005,20,1,4],[19001,500,100,1],[19002,1000,423,5],[19003,2000,400,2]]","[2100,20,1]",24,15,0
101_110,6,6,"[[307001,1,67,3],[19004,5,9,6],[19005,20,1,4],[19001,500,100,1],[19002,1000,423,5],[19003,2000,400,2]]","[2100,20,1]",25,15,0
102_112,6,6,"[[310001,1,67,3],[19004,5,9,6],[19005,20,1,4],[19001,500,100,1],[19002,1000,423,5],[19003,2000,400,2]]","[2100,20,1]",26,15,0
103_113,6,6,"[[312001,1,67,3],[19004,5,9,6],[19005,20,1,4],[19001,500,100,1],[19002,1000,423,5],[19003,2000,400,2]]","[2100,20,1]",27,15,0
104_114,6,6,"[[311001,1,67,3],[19004,5,9,6],[19005,20,1,4],[19001,500,100,1],[19002,1000,423,5],[19003,2000,400,2]]","[2100,20,1]",28,15,0
105_115,6,6,"[[314001,1,67,3],[19004,5,9,6],[19005,20,1,4],[19001,500,100,1],[19002,1000,423,5],[19003,2000,400,2]]","[2100,20,1]",29,15,0
