id,mapId,obstacleType,obstacleReward,completeReward,
4001,4,"[1,14]","[[16000,3]]","[[1001,5],[11001,1],[7005,10]]",
4002,4,"[2,5]","[[1002,800]]","[[1001,5],[11001,1],[7005,10]]",
4003,4,"[3,7]","[[10005,3]]","[[1001,5],[11001,1],[7005,10]]",
4004,4,"[4,6]","[[1001,3]]","[[1001,5],[11001,1],[7005,10]]",
5001,5,"[1,11]","[[1002,1000]]","[[1001,5],[1002,2000],[1003,50]]",
5002,5,"[2,5]","[[2007,10]]","[[1001,5],[1002,2000],[1003,50]]",
5003,5,"[3,15]","[[10005,3]]","[[1001,5],[1002,2000],[1003,50]]",
5004,5,"[4,8]","[[1001,3]]","[[1001,5],[1002,2000],[1003,50]]",
6001,6,"[1,23]","[[16000,10]]","[[1001,5],[1002,3000],[1003,60]]",
6002,6,"[2,8]","[[1002,2000]]","[[1001,5],[1002,3000],[1003,60]]",
6003,6,"[3,20]","[[2008,20]]","[[1001,5],[1002,3000],[1003,60]]",
6004,6,"[4,7]","[[1001,2]]","[[1001,5],[1002,3000],[1003,60]]",
7001,7,"[1,23]","[[1001,2]]","[[1001,3],[1002,3000],[1003,50]]",
7002,7,"[2,8]","[[7005,10]]","[[1001,3],[1002,3000],[1003,50]]",
7003,7,"[4,7]","[[2008,20]]","[[1001,3],[1002,3000],[1003,50]]",
7004,7,"[8,6]","[[25000,1]]","[[1001,3],[1002,3000],[1003,50]]",
8001,8,"[1,27]","[[16000,10]]","[[1001,5],[1002,3000],[1003,60]]",
8002,8,"[2,8]","[[1002,2000]]","[[1001,5],[1002,3000],[1003,60]]",
8003,8,"[3,20]","[[2008,20]]","[[1001,5],[1002,3000],[1003,60]]",
8004,8,"[4,7]","[[1001,2]]","[[1001,5],[1002,3000],[1003,60]]",
8005,8,"[8,7]","[[25000,1]]","[[1001,5],[1002,3000],[1003,60]]",
9007,9,"[1,25]","[[16000,10]]","[[1001,5],[1002,3000],[1003,60]]",
9008,9,"[2,8]","[[1002,2000]]","[[1001,5],[1002,3000],[1003,60]]",
9009,9,"[3,18]","[[2008,20]]","[[1001,5],[1002,3000],[1003,60]]",
9010,9,"[4,5]","[[1001,2]]","[[1001,5],[1002,3000],[1003,60]]",
9011,9,"[8,6]","[[25000,1]]","[[1001,5],[1002,3000],[1003,60]]",
10001,10,"[1,30]","[[16000,10]]","[[1001,5],[1002,3000],[1003,60]]",
10002,10,"[2,8]","[[1002,2000]]","[[1001,5],[1002,3000],[1003,60]]",
10003,10,"[3,20]","[[2008,20]]","[[1001,5],[1002,3000],[1003,60]]",
10004,10,"[4,5]","[[1001,2]]","[[1001,5],[1002,3000],[1003,60]]",
10005,10,"[8,6]","[[25000,1]]","[[1001,5],[1002,3000],[1003,60]]",
11001,11,"[1,30]","[[16000,10]]","[[1001,5],[1002,3000],[1003,60]]",
11002,11,"[2,8]","[[1002,2000]]","[[1001,5],[1002,3000],[1003,60]]",
11003,11,"[4,7]","[[1001,2]]","[[1001,5],[1002,3000],[1003,60]]",
11004,11,"[8,7]","[[25000,1]]","[[1001,5],[1002,3000],[1003,60]]",
12001,12,"[1,30]","[[16000,10]]","[[1001,5],[1002,3000],[1003,60]]",
12002,12,"[2,8]","[[1002,2000]]","[[1001,5],[1002,3000],[1003,60]]",
12003,12,"[4,6]","[[1001,2]]","[[1001,5],[1002,3000],[1003,60]]",
12004,12,"[8,7]","[[25000,1]]","[[1001,5],[1002,3000],[1003,60]]",
13001,13,"[1,30]","[[16000,10]]","[[1001,5],[1002,3000],[1003,60]]",
13002,13,"[2,8]","[[1002,2000]]","[[1001,5],[1002,3000],[1003,60]]",
13003,13,"[3,20]","[[2008,20]]","[[1001,5],[1002,3000],[1003,60]]",
13004,13,"[4,4]","[[1001,2]]","[[1001,5],[1002,3000],[1003,60]]",
13005,13,"[8,6]","[[25000,1]]","[[1001,5],[1002,3000],[1003,60]]",
