id,attribute,dragonSkillAttribute,type,obstacleType,achievementType,taskunlock,consumeType,consume,whetherHide,rewardItem,rewardItem1,probabilityRewardItem1,probabilityRewardItem2,probabilityRewardItem3,dragonReward,roleLevel,FuncParam,group4ReturnEnergy,group5ReturnEnergy,group6ReturnEnergy,group7ReturnEnergy,
1,0,0,31,0,0,Mission1_01Becarefulmove,3,[],1,[],[],[],[],[],[],1,,,,,,
2,0,0,23,0,0,Mission1_07Whereistheprince,3,[],1,[],[],[],[],[],[],1,,,,,,
3,0,0,3,1003,0,,3,[],1,[],[],[],[],[],[],1,,,,,,
4,0,0,3,1003,0,,3,[],1,[],[],[],[],[],[],1,,,,,,
5,0,0,23,0,0,,3,[],1,[],[],[],[],[],[],1,,,,,,
6,0,0,3,0,0,Mission1_08Enterthecastle,3,[],0,[],[],[],[],[],[],1,,,,,,
7,0,0,23,0,0,Mission1_10ObserveCinderella2,3,[],1,[],[],[],[],[],[],1,,,,,,
8,0,0,23,0,0,Mission1_11Discoversecrets,3,[],1,[],[],[],[],[],[],1,,,,,,
9,0,0,23,0,0,Mission1_10ObserveCinderella3,3,[],1,[],[],[],[],[],[],1,,,,,,
10,0,0,32,2,0,Mission1_11Discoversecrets,3,[],1,[],[],[],[],[],[],1,,,,,,
11,0,0,75,0,0,Mission1_06Strangeness,1,"[1003,12]",0,[],[],[],[],[],[],1,"[0,50,8001,8001,8001]",,,,,
12,0,0,1,0,0,Mission1_01Becarefulmove,1,"[1003,7]",0,"[[4100,1],[1000,1]]",[],[],[],[],[],1,,,,,,
13,0,0,1,0,0,Mission1_03Keepgoing,1,"[1003,7]",0,"[[4102,2],[1000,1]]",[],[],[],[],[],1,,,,,,
14,0,0,1,0,0,Mission1_01Becarefulmove,1,"[1003,12]",0,"[[2001,2],[1000,3]]","[[2001,0,2]]","[[7001,1,20],[7001,2,5],[7002,1,5],[-1,0,70]]",[],[],[],1,,,,,,
15,0,0,1,0,0,,1,"[1003,12]",0,"[[2004,4],[1000,3]]","[[2004,0,2]]","[[7001,1,20],[7001,2,5],[7002,1,5],[-1,0,70]]",[],[],[],1,,,,,,
16,0,0,1,0,0,Mission1_09Crystalshoes,1,"[1003,12]",0,"[[2001,2],[1000,3]]","[[2001,0,2]]","[[7001,1,20],[7001,2,5],[7002,1,5],[-1,0,70]]",[],[],[],1,,,,,,
17,0,0,1,0,0,Mission1_10ObserveCinderella1,1,"[1003,12]",0,"[[2001,2],[1000,3]]","[[2001,0,2]]","[[7001,1,20],[7001,2,5],[7002,1,5],[-1,0,70]]",[],[],[],1,,,,,,
18,0,0,1,0,0,Mission1_04Grapewine,1,"[1003,12]",0,"[[2001,2],[1000,3]]","[[2001,0,2]]","[[7001,1,20],[7001,2,5],[7002,1,5],[-1,0,70]]",[],[],[],1,,,,,,
19,0,0,1,0,0,Mission1_05Grapewine,1,"[1003,12]",0,"[[2001,2],[1000,3]]","[[2001,0,2]]","[[7001,1,20],[7001,2,5],[7002,1,5],[-1,0,70]]",[],[],[],1,,,,,,
20,0,0,1,0,0,Mission1_08Enterthecastle,1,"[1003,12]",0,"[[2001,2],[1000,3]]","[[2001,0,2]]","[[7001,1,20],[7001,2,5],[7002,1,5],[-1,0,70]]",[],[],[],1,,,,,,
21,0,0,1,0,0,Mission1_10ObserveCinderella2,1,"[1003,12]",0,"[[2001,2],[1000,3]]","[[2001,0,2]]","[[7001,1,20],[7001,2,5],[7002,1,5],[-1,0,70]]",[],[],[],1,,,,,,
22,0,0,23,2022,0,Mission2_08followthesound,3,[],1,[],[],[],[],[],[],1,,,,,,
23,0,0,1,0,0,Mission2_03CircleImprint,1,"[1003,9]",0,"[[2001,2],[1000,3]]","[[2001,0,2]]","[[7001,1,20],[7001,2,5],[7002,1,5],[-1,0,70]]",[],[],[],1,,,,,,
24,0,0,1,0,0,,1,"[1003,3]",0,"[[2001,1],[1000,1]]","[[2001,0,1]]","[[7001,1,20],[7001,2,5],[7002,1,5],[-1,0,70]]",[],[],[],1,,,,,,
25,0,0,32,1,0,,3,[],1,[],[],[],[],[],[],1,,,,,,
26,0,0,3,0,0,Mission2_01Forwarddirection,3,[],1,[],[],[],[],[],[],1,,,,,,
27,0,0,3,0,0,Mission2_02Repairbridge,3,[],1,[],[],[],[],[],[],1,,,,,,
28,0,0,3,2028,0,Mission2_04Suspicioustrace,3,[],1,[],[],[],[],[],[],1,,,,,,
29,0,0,3,2028,0,Mission2_04Suspicioustrace,3,[],1,[],[],[],[],[],[],1,,,,,,
30,0,0,3,2028,0,Mission2_04Suspicioustrace,3,[],1,[],[],[],[],[],[],1,,,,,,
31,0,0,3,0,0,Mission2_04Suspicioustrace,3,[],0,[],[],[],[],[],[],1,,,,,,
32,0,0,1,0,0,Mission2_07Powerball2,1,"[1003,9]",0,"[[2001,2],[1000,3]]","[[2001,0,2]]","[[7001,1,20],[7001,2,5],[7002,1,5],[-1,0,70]]",[],[],[],1,,,,,,
33,0,0,3,0,0,Mission2_09TheHauntingofDoris1,3,[],0,[],[],[],[],[],[],1,,,,,,
34,0,0,31,0,0,Mission2_08followthesound,3,[],1,[],[],[],[],[],[],1,,,,,,
35,0,0,32,3,0,Mission2_12magictree,3,[],1,[],[],[],[],[],[],1,,,,,,
36,0,0,75,0,0,Mission2_10TheHauntingofDoris2,1,"[1003,18]",0,[],[],[],[],[],[],1,"[0,50,8001,8001,8001]",,,,,
37,0,0,1,0,0,Mission2_03CircleImprint,1,"[1003,12]",0,"[[4104,1],[1000,3]]",[],[],[],[],[],1,,,,,,
38,0,0,1,0,0,Mission2_02Repairbridge,1,"[1003,12]",0,"[[4110,1],[1000,3]]",[],[],[],[],[],1,,,,,,
39,0,0,1,0,0,Mission2_08followthesound,1,"[1003,12]",0,"[[4111,1],[1000,3]]",[],[],[],[],[],1,,,,,,
40,0,0,1,0,0,Mission2_13buyfactory,1,"[1003,12]",0,"[[4113,1],[1000,3]]",[],[],[],[],[],1,,,,,,
41,0,0,1,0,0,Mission2_03CircleImprint,1,"[1003,9]",0,"[[2004,2],[1000,2]]",[],[],[],[],[],1,,,,,,
42,0,0,1,0,0,Mission2_03CircleImprint,1,"[1003,9]",0,"[[2004,2],[1000,2]]",[],[],[],[],[],1,,,,,,
43,0,0,1,0,0,Mission2_03CircleImprint,1,"[1003,9]",0,"[[2004,2],[1000,2]]",[],[],[],[],[],1,,,,,,
44,0,0,1,0,0,Mission2_05BtrapedDoris,1,"[1003,12]",0,"[[2001,2],[1000,3]]","[[2001,0,2]]","[[7001,1,20],[7001,2,5],[7002,1,5],[-1,0,70]]",[],[],[],1,,,,,,
45,0,0,1,0,0,Mission2_05BtrapedDoris,1,"[1003,12]",0,"[[2001,2],[1000,3]]","[[2001,0,2]]","[[7001,1,20],[7001,2,5],[7002,1,5],[-1,0,70]]",[],[],[],1,,,,,,
46,0,0,1,0,0,Mission2_10TheHauntingofDoris2,1,"[1003,12]",0,"[[2001,2],[1000,3]]","[[2001,0,2]]","[[7001,1,20],[7001,2,5],[7002,1,5],[-1,0,70]]",[],[],[],1,,,,,,
47,0,0,1,0,0,Mission2_12magicpool,1,"[1003,12]",0,"[[2001,2],[1000,3]]","[[2001,0,2]]","[[7001,1,20],[7001,2,5],[7002,1,5],[-1,0,70]]",[],[],[],1,,,,,,
48,0,0,19,0,0,,0,[],0,"[[7003,5]]",[],[],[],[],[],1,,,,,,
49,0,0,23,0,0,Mission2_05BtrapedDoris,3,[],1,[],[],[],[],[],[],1,,,,,,
50,0,0,23,2050,0,Mission2_07Powerball,3,[],1,[],[],[],[],[],[],1,,,,,,
51,0,0,23,2050,0,Mission2_07Powerball,3,[],1,[],[],[],[],[],[],1,,,,,,
52,0,0,23,2050,0,Mission2_07Powerball,3,[],1,[],[],[],[],[],[],1,,,,,,
53,0,0,3,0,0,Mission2_07Powerball,3,[],1,[],[],[],[],[],[],1,,,,,,
54,0,0,23,0,0,Mission2_11lookingforsquirrels,3,[],1,[],[],[],[],[],[],1,,,,,,
55,0,0,23,2022,0,Mission2_08followthesound,3,[],1,[],[],[],[],[],[],1,,,,,,
56,0,0,3,0,0,Mission3_001CrystalCoffin,3,[],1,"[[5016,2]]",[],[],[],[],[],1,,,,,,
57,0,0,3,0,0,Mission3_002CheckCoffin,3,[],1,[],[],[],[],[],[],1,,,,,,
58,0,0,3,0,0,Mission3_004FindDoris,3,[],1,[],[],[],[],[],[],1,,,,,,
59,0,0,3,0,0,Mission3_005RepairSpring,3,[],1,[],[],[],[],[],[],1,,,,,,
60,0,0,23,0,0,Mission3_007FairyHome,3,[],1,"[[5016,2]]",[],[],[],[],[],1,,,,,,
61,0,0,3,0,0,Mission3_008NotePiece1,3,[],1,[],[],[],[],[],[],1,,,,,,
62,0,0,39,0,0,Mission3_009NotePiece2,0,[],1,[],[],[],[],[],[],1,"[""Puzzle001"",""ui_puzzles_des"",""ui_puzzle_end""]",,,,,
63,0,0,32,4,0,Mission3_010GetNote,3,[],1,[],[],[],[],[],[],1,,,,,,
64,0,0,1,0,0,Mission3_004FindDoris,1,"[1003,10]",0,"[[4120,1],[1000,3]]",[],[],[],[],[],1,,,,,,
65,0,0,1,0,0,Mission3_005RepairSpring,1,"[1003,10]",0,"[[4121,1],[1000,3]]",[],[],[],[],[],1,,,,,,
66,0,0,1,0,0,Mission3_008NotePiece1,1,"[1003,10]",0,"[[4122,1],[1000,3]]",[],[],[],[],[],1,,,,,,
67,0,0,1,0,0,Mission3_002CheckCoffin,1,"[1003,12]",0,"[[2001,2],[1000,3]]","[[2001,0,2]]","[[7001,1,20],[7001,2,5],[7002,1,5],[-1,0,70]]",[],[],[],1,,,,,,
68,0,0,1,0,0,Mission3_005RepairSpring,1,"[1003,12]",0,"[[2001,2],[1000,3]]","[[2001,0,2]]","[[7001,1,20],[7001,2,5],[7002,1,5],[-1,0,70]]",[],[],[],1,,,,,,
69,0,0,1,0,0,Mission3_010GetNote,1,"[1003,12]",0,"[[2001,2],[1000,3]]","[[2001,0,2]]","[[7001,1,20],[7001,2,5],[7002,1,5],[-1,0,70]]",[],[],[],1,,,,,,
70,0,0,1,0,0,Mission3_006RepairBridge,1,"[1003,12]",0,"[[2001,2],[1000,3]]","[[2001,0,2]]","[[7001,1,20],[7001,2,5],[7002,1,5],[-1,0,70]]",[],[],[],1,,,,,,
71,0,0,20,15,0,Mission3_008NotePiece1,0,"[1003,5]",0,"[[8002,1],[8003,2],[8004,2],[20000,1]]","[[2006,1,2]]",[],[],[],[],1,,,,,,
76,0,0,3,0,0,Mission4_001DeadRoad,3,[],1,[],[],[],[],[],[],1,,,,,,
77,0,0,3,0,0,Mission4_003StrangeStatue,3,[],1,[],[],[],[],[],[],1,,,,,,
78,0,0,3,0,0,Mission4_005InTheFog,3,[],0,[],[],[],[],[],[],1,,,,,,
79,0,0,31,0,0,Mission4_003StrangeStatue,3,[],1,[],[],[],[],[],[],1,,,,,,
80,0,0,3,0,0,Mission4_007DollShock1,3,[],1,[],[],[],[],[],[],1,,,,,,
81,0,0,3,81,0,Mission4_008DollShock2,3,[],1,[],[],[],[],[],[],1,,,,,,
82,0,0,3,81,0,Mission4_008DollShock2,3,[],1,[],[],[],[],[],[],1,,,,,,
83,0,0,3,0,0,,3,[],1,[],[],[],[],[],[],1,,,,,,
84,0,0,23,0,0,Mission4_009VisitWitch,3,[],1,"[[5016,2]]",[],[],[],[],[],1,,,,,,
85,0,0,23,0,0,Mission4_010FindMemory,3,[],1,"[[5016,2]]",[],[],[],[],[],1,,,,,,
