id,type,star,upperlevel,upthepower,productNum,expNum,skillid,item,produceTimeReduce,
1,101,1,5,0,0,0,"[1300,1350,1400]","[[81001,5]]",0.02,
2,101,2,7,6,3,1,,"[[81001,10]]",0.03,
3,101,3,9,12,6,2,,"[[81001,15]]",0.04,
4,101,4,10,18,9,3,,"[[81001,20]]",0.05,
5,101,5,12,24,12,4,,"[[81001,25]]",0.06,
6,101,6,0,30,15,5,[9],[],0.07,
7,102,1,5,0,0,0,"[1300,1350,1400]","[[81002,5]]",0.02,
8,102,2,7,6,3,1,,"[[81002,10]]",0.03,
9,102,3,9,12,6,2,,"[[81002,15]]",0.04,
10,102,4,10,18,9,3,,"[[81002,20]]",0.05,
11,102,5,12,24,12,4,,"[[81002,25]]",0.06,
12,102,6,0,30,15,5,[9],[],0.07,
13,103,1,5,0,0,0,"[1300,1350,1400]","[[81003,5]]",0.02,
14,103,2,7,6,3,1,,"[[81003,10]]",0.03,
15,103,3,9,12,6,2,,"[[81003,15]]",0.04,
16,103,4,10,18,9,3,,"[[81003,20]]",0.05,
17,103,5,12,24,12,4,,"[[81003,25]]",0.06,
18,103,6,0,30,15,5,[9],[],0.07,
19,104,1,5,0,0,0,"[1300,1350,1400]","[[81004,5]]",0.02,
20,104,2,7,6,3,1,,"[[81004,10]]",0.03,
21,104,3,9,12,6,2,,"[[81004,15]]",0.04,
22,104,4,10,18,9,3,,"[[81004,20]]",0.05,
23,104,5,12,24,12,4,,"[[81004,25]]",0.06,
24,104,6,0,30,15,5,[9],[],0.07,
25,105,1,5,0,0,0,"[1300,1350,1400]","[[81005,5]]",0.02,
26,105,2,7,6,3,1,,"[[81005,10]]",0.03,
27,105,3,9,12,6,2,,"[[81005,15]]",0.04,
28,105,4,10,18,9,3,,"[[81005,20]]",0.05,
29,105,5,12,24,12,4,,"[[81005,25]]",0.06,
30,105,6,0,30,15,5,[9],[],0.07,
31,106,1,5,0,0,0,"[1300,1350,1400]","[[81006,5]]",0.02,
32,106,2,7,6,3,1,,"[[81006,10]]",0.03,
33,106,3,9,12,6,2,,"[[81006,15]]",0.04,
34,106,4,10,18,9,3,,"[[81006,20]]",0.05,
35,106,5,12,24,12,4,,"[[81006,25]]",0.06,
36,106,6,0,30,15,5,[9],[],0.07,
37,107,1,5,0,0,0,"[1300,1350,1400]","[[81007,5]]",0.02,
38,107,2,7,6,3,1,,"[[81007,10]]",0.03,
39,107,3,9,12,6,2,,"[[81007,15]]",0.04,
40,107,4,10,18,9,3,,"[[81007,20]]",0.05,
41,107,5,12,24,12,4,,"[[81007,25]]",0.06,
42,107,6,0,30,15,5,[9],[],0.07,
43,108,1,5,0,0,0,"[1300,1350,1400]","[[81008,5]]",0.02,
44,108,2,7,6,3,1,,"[[81008,10]]",0.03,
45,108,3,9,12,6,2,,"[[81008,15]]",0.04,
46,108,4,10,18,9,3,,"[[81008,20]]",0.05,
47,108,5,12,24,12,4,,"[[81008,25]]",0.06,
48,108,6,0,30,15,5,[9],[],0.07,
49,109,1,5,0,0,0,"[1300,1350,1400]","[[81009,5]]",0.02,
50,109,2,7,6,3,1,,"[[81009,10]]",0.03,
51,109,3,9,12,6,2,,"[[81009,15]]",0.04,
52,109,4,10,18,9,3,,"[[81009,20]]",0.05,
53,109,5,12,24,12,4,,"[[81009,25]]",0.06,
54,109,6,0,30,15,5,[9],[],0.07,
55,110,1,5,0,0,0,"[1300,1350,1400]","[[81010,5]]",0.02,
56,110,2,7,6,3,1,,"[[81010,10]]",0.03,
57,110,3,9,12,6,2,,"[[81010,15]]",0.04,
58,110,4,10,18,9,3,,"[[81010,20]]",0.05,
59,110,5,12,24,12,4,,"[[81010,25]]",0.06,
60,110,6,0,30,15,5,[9],[],0.07,
163,112,1,5,0,0,0,"[1300,1350,1400]","[[81012,5]]",0.02,
164,112,2,7,6,3,1,,"[[81012,10]]",0.03,
165,112,3,9,12,6,2,,"[[81012,15]]",0.04,
166,112,4,10,18,9,3,,"[[81012,20]]",0.05,
167,112,5,12,24,12,4,,"[[81012,25]]",0.06,
168,112,6,0,30,15,5,[9],[],0.07,
113001,113,1,5,0,0,0,"[1300,1350,1400]","[[81013,5]]",0.02,
113002,113,2,7,6,3,1,,"[[81013,10]]",0.03,
113003,113,3,9,12,6,2,,"[[81013,15]]",0.04,
113004,113,4,10,18,9,3,,"[[81013,20]]",0.05,
113005,113,5,12,24,12,4,,"[[81013,25]]",0.06,
113006,113,6,0,30,15,5,[9],[],0.07,
114001,114,1,5,0,0,0,"[1300,1350,1400]","[[81014,5]]",0.02,
114002,114,2,7,6,3,1,,"[[81014,10]]",0.03,
114003,114,3,9,12,6,2,,"[[81014,15]]",0.04,
114004,114,4,10,18,9,3,,"[[81014,20]]",0.05,
114005,114,5,12,24,12,4,,"[[81014,25]]",0.06,
114006,114,6,0,30,15,5,[9],[],0.07,
115001,115,1,5,0,0,0,"[1300,1350,1400]","[[81015,5]]",0.02,
115002,115,2,7,6,3,1,,"[[81015,10]]",0.03,
115003,115,3,9,12,6,2,,"[[81015,15]]",0.04,
115004,115,4,10,18,9,3,,"[[81015,20]]",0.05,
115005,115,5,12,24,12,4,,"[[81015,25]]",0.06,
115006,115,6,0,30,15,5,[9],[],0.07,
116001,116,1,5,0,0,0,"[1300,1350,1400]","[[81016,5]]",0.02,
116002,116,2,7,6,3,1,,"[[81016,10]]",0.03,
116003,116,3,9,12,6,2,,"[[81016,15]]",0.04,
116004,116,4,10,18,9,3,,"[[81016,20]]",0.05,
116005,116,5,12,24,12,4,,"[[81016,25]]",0.06,
116006,116,6,0,30,15,5,[9],[],0.07,
117001,117,1,5,0,0,0,"[1300,1350,1400]","[[81017,5]]",0.02,
117002,117,2,7,6,3,1,,"[[81017,10]]",0.03,
117003,117,3,9,12,6,2,,"[[81017,15]]",0.04,
117004,117,4,10,18,9,3,,"[[81017,20]]",0.05,
117005,117,5,12,24,12,4,,"[[81017,25]]",0.06,
117006,117,6,0,30,15,5,[9],[],0.07,
118001,118,1,5,0,0,0,"[1300,1350,1400]","[[81018,5]]",0.02,
118002,118,2,7,6,3,1,,"[[81018,10]]",0.03,
118003,118,3,9,12,6,2,,"[[81018,15]]",0.04,
118004,118,4,10,18,9,3,,"[[81018,20]]",0.05,
118005,118,5,12,24,12,4,,"[[81018,25]]",0.06,
118006,118,6,0,30,15,5,[9],[],0.07,
119001,119,1,5,0,0,0,"[1300,1350,1400]","[[81019,5]]",0.02,
119002,119,2,7,6,3,1,,"[[81019,10]]",0.03,
119003,119,3,9,12,6,2,,"[[81019,15]]",0.04,
119004,119,4,10,18,9,3,,"[[81019,20]]",0.05,
119005,119,5,12,24,12,4,,"[[81019,25]]",0.06,
119006,119,6,0,30,15,5,[9],[],0.07,
120001,120,1,5,0,0,0,"[1300,1350,1400]","[[81020,5]]",0.02,
120002,120,2,7,6,3,1,,"[[81020,10]]",0.03,
120003,120,3,9,12,6,2,,"[[81020,15]]",0.04,
120004,120,4,10,18,9,3,,"[[81020,20]]",0.05,
120005,120,5,12,24,12,4,,"[[81020,25]]",0.06,
120006,120,6,0,30,15,5,[9],[],0.07,
61,111,1,2,0,0,0,"[1300,1350,1400]","[[81011,10]]",0.1,
62,111,2,4,8,3,10,,"[[81011,20]]",0.12,
63,111,3,6,16,6,20,,"[[81011,30]]",0.14,
64,111,4,8,24,9,30,[10],"[[81011,40]]",0.16,
65,111,5,10,32,12,40,[10],"[[81011,50]]",0.18,
66,111,6,0,40,15,50,[11],[],0.2,
67,201,1,2,0,0,0,"[1300,1350,1400]","[[82001,10]]",0.1,
68,201,2,4,8,3,10,,"[[82001,20]]",0.12,
69,201,3,6,16,6,20,,"[[82001,30]]",0.14,
70,201,4,8,24,9,30,[10],"[[82001,40]]",0.16,
71,201,5,10,32,12,40,[10],"[[82001,50]]",0.18,
72,201,6,0,40,15,50,[11],[],0.2,
73,202,1,2,0,0,0,"[1300,1350,1400]","[[82002,10]]",0.1,
74,202,2,4,8,3,10,,"[[82002,20]]",0.12,
75,202,3,6,16,6,20,,"[[82002,30]]",0.14,
76,202,4,8,24,9,30,[10],"[[82002,40]]",0.16,
77,202,5,10,32,12,40,[10],"[[82002,50]]",0.18,
78,202,6,0,40,15,50,[11],[],0.2,
79,203,1,2,0,0,0,"[1300,1350,1400]","[[82003,10]]",0.1,
80,203,2,4,8,3,10,,"[[82003,20]]",0.12,
81,203,3,6,16,6,20,,"[[82003,30]]",0.14,
82,203,4,8,24,9,30,[10],"[[82003,40]]",0.16,
83,203,5,10,32,12,40,[10],"[[82003,50]]",0.18,
84,203,6,0,40,15,50,[11],[],0.2,
85,204,1,2,0,0,0,"[1300,1350,1400]","[[82004,10]]",0.1,
86,204,2,4,8,3,10,,"[[82004,20]]",0.12,
87,204,3,6,16,6,20,,"[[82004,30]]",0.14,
88,204,4,8,24,9,30,[10],"[[82004,40]]",0.16,
89,204,5,10,32,12,40,[10],"[[82004,50]]",0.18,
90,204,6,0,40,15,50,[11],[],0.2,
91,205,1,2,0,0,0,"[1300,1350,1400]","[[82005,10]]",0.1,
92,205,2,4,8,3,10,,"[[82005,20]]",0.12,
93,205,3,6,16,6,20,,"[[82005,30]]",0.14,
94,205,4,8,24,9,30,[10],"[[82005,40]]",0.16,
95,205,5,10,32,12,40,[10],"[[82005,50]]",0.18,
96,205,6,0,40,15,50,[11],[],0.2,
97,206,1,2,0,0,0,"[1300,1350,1400]","[[82006,10]]",0.1,
98,206,2,4,8,3,10,,"[[82006,20]]",0.12,
99,206,3,6,16,6,20,,"[[82006,30]]",0.14,
100,206,4,8,24,9,30,[10],"[[82006,40]]",0.16,
101,206,5,10,32,12,40,[10],"[[82006,50]]",0.18,
102,206,6,0,40,15,50,[11],[],0.2,
103,207,1,2,0,0,0,"[1300,1350,1400]","[[82007,10]]",0.1,
104,207,2,4,8,3,10,,"[[82007,20]]",0.12,
105,207,3,6,16,6,20,,"[[82007,30]]",0.14,
106,207,4,8,24,9,30,[10],"[[82007,40]]",0.16,
107,207,5,10,32,12,40,[10],"[[82007,50]]",0.18,
108,207,6,0,40,15,50,[11],[],0.2,
208001,208,1,2,0,0,0,"[1300,1350,1400]","[[82008,10]]",0.1,
208002,208,2,4,8,3,10,,"[[82008,20]]",0.12,
208003,208,3,6,16,6,20,,"[[82008,30]]",0.14,
208004,208,4,8,24,9,30,[10],"[[82008,40]]",0.16,
208005,208,5,10,32,12,40,[10],"[[82008,50]]",0.18,
208006,208,6,0,40,15,50,[11],[],0.2,
209001,209,1,2,0,0,0,"[1300,1350,1400]","[[82009,10]]",0.1,
209002,209,2,4,8,3,10,,"[[82009,20]]",0.12,
209003,209,3,6,16,6,20,,"[[82009,30]]",0.14,
209004,209,4,8,24,9,30,[10],"[[82009,40]]",0.16,
209005,209,5,10,32,12,40,[10],"[[82009,50]]",0.18,
209006,209,6,0,40,15,50,[11],[],0.2,
210001,210,1,2,0,0,0,"[1300,1350,1400]","[[82010,10]]",0.1,
210002,210,2,4,8,3,10,,"[[82010,20]]",0.12,
210003,210,3,6,16,6,20,,"[[82010,30]]",0.14,
210004,210,4,8,24,9,30,[10],"[[82010,40]]",0.16,
210005,210,5,10,32,12,40,[10],"[[82010,50]]",0.18,
210006,210,6,0,40,15,50,[11],[],0.2,
109,301,1,2,0,0,0,"[1300,1350,1400]","[[83001,15]]",0.2,
110,301,2,4,13,3,50,,"[[83001,30]]",0.23,
111,301,3,6,26,6,100,[12],"[[83001,45]]",0.26,
112,301,4,8,39,9,150,[13],"[[83001,60]]",0.29,
113,301,5,10,52,12,200,[13],"[[83001,75]]",0.32,
114,301,6,0,65,15,250,[14],[],0.35,
115,302,1,2,0,0,0,"[1300,1350,1400]","[[83002,15]]",0.2,
116,302,2,4,13,3,50,,"[[83002,30]]",0.23,
117,302,3,6,26,6,100,[12],"[[83002,45]]",0.26,
118,302,4,8,39,9,150,[13],"[[83002,60]]",0.29,
119,302,5,10,52,12,200,[13],"[[83002,75]]",0.32,
120,302,6,0,65,15,250,[14],[],0.35,
121,303,1,2,0,0,0,"[1300,1350,1400]","[[83003,15]]",0.2,
122,303,2,4,13,3,50,,"[[83003,30]]",0.23,
123,303,3,6,26,6,100,[12],"[[83003,45]]",0.26,
124,303,4,8,39,9,150,[13],"[[83003,60]]",0.29,
125,303,5,10,52,12,200,[13],"[[83003,75]]",0.32,
126,303,6,0,65,15,250,[14],[],0.35,
151,304,1,2,0,0,0,"[1300,1350,1400]","[[83004,15]]",0.2,
152,304,2,4,13,2,50,,"[[83004,30]]",0.23,
153,304,3,6,26,4,100,[12],"[[83004,45]]",0.26,
154,304,4,8,39,6,150,[13],"[[83004,60]]",0.29,
155,304,5,10,52,8,200,[13],"[[83004,75]]",0.32,
156,304,6,0,65,10,250,[14],[],0.35,
305001,305,1,2,0,0,0,"[1300,1350,1400]","[[83005,15]]",0.2,
305002,305,2,4,13,3,50,,"[[83005,30]]",0.23,
305003,305,3,6,26,6,100,[12],"[[83005,45]]",0.26,
305004,305,4,8,39,9,150,[13],"[[83005,60]]",0.29,
305005,305,5,10,52,12,200,[13],"[[83005,75]]",0.32,
305006,305,6,0,65,15,250,[14],[],0.35,
306001,306,1,2,0,0,0,"[1300,1350,1400]","[[83006,15]]",0.2,
306002,306,2,4,13,3,50,,"[[83006,30]]",0.23,
306003,306,3,6,26,6,100,[12],"[[83006,45]]",0.26,
306004,306,4,8,39,9,150,[13],"[[83006,60]]",0.29,
306005,306,5,10,52,12,200,[13],"[[83006,75]]",0.32,
306006,306,6,0,65,15,250,[14],[],0.35,
307001,307,1,2,0,0,0,"[1300,1350,1400]","[[83007,15]]",0.2,
307002,307,2,4,13,3,50,,"[[83007,30]]",0.23,
307003,307,3,6,26,6,100,[12],"[[83007,45]]",0.26,
307004,307,4,8,39,9,150,[13],"[[83007,60]]",0.29,
