type,spacing,bubbletext,starvationspacing,hungertext,feedingtext,upgradeabletext,countrytext,leavecountrytext,wildstroll,wildstrolltext,cultivatetext
101,"[45,60]","[""bubble_101_1""]","[45,60]","[""hungertext_101_1""]","[""feedingtext_101_1""]","[""borntext_101_1""]","[""bornwildtext_101_1""]","[""leavecountrytext_101_1""]","[20,40]","[""wildstrolltext_101_1""]","[""upgradeabletext_101_1""]"
102,"[45,60]","[""bubble_102_1""]","[45,60]","[""hungertext_102_1""]","[""feedingtext_102_1""]","[""borntext_102_1""]","[""bornwildtext_102_1""]","[""leavecountrytext_102_1""]","[35,45]","[""wildstrolltext_102_1""]","[""upgradeabletext_102_1""]"
103,"[45,60]","[""bubble_103_1""]","[45,60]","[""hungertext_103_1""]","[""feedingtext_103_1""]","[""borntext_103_1""]","[""bornwildtext_103_1""]","[""leavecountrytext_103_1""]","[25,30]","[""wildstrolltext_103_1""]","[""upgradeabletext_103_1""]"
104,"[45,60]","[""bubble_104_1""]","[45,60]","[""hungertext_104_1""]","[""feedingtext_104_1""]","[""borntext_104_1""]","[""bornwildtext_104_1""]","[""leavecountrytext_104_1""]","[15,35]","[""wildstrolltext_104_1""]","[""upgradeabletext_104_1""]"
105,"[45,60]","[""bubble_105_1""]","[45,60]","[""hungertext_105_1""]","[""feedingtext_105_1""]","[""borntext_105_1""]","[""bornwildtext_105_1""]","[""leavecountrytext_105_1""]","[20,50]","[""wildstrolltext_105_1""]","[""upgradeabletext_105_1""]"
106,"[45,60]","[""bubble_106_1""]","[45,60]","[""hungertext_106_1""]","[""feedingtext_106_1""]","[""borntext_106_1""]","[""bornwildtext_106_1""]","[""leavecountrytext_106_1""]","[40,60]","[""wildstrolltext_106_1""]","[""upgradeabletext_106_1""]"
107,"[45,60]","[""bubble_107_1""]","[45,60]","[""hungertext_107_1""]","[""feedingtext_107_1""]","[""borntext_107_1""]","[""bornwildtext_107_1""]","[""leavecountrytext_107_1""]","[30,40]","[""wildstrolltext_107_1""]","[""upgradeabletext_107_1""]"
108,"[45,60]","[""bubble_108_1""]","[45,60]","[""hungertext_108_1""]","[""feedingtext_108_1""]","[""borntext_108_1""]","[""bornwildtext_108_1""]","[""leavecountrytext_108_1""]","[16,32]","[""wildstrolltext_108_1""]","[""upgradeabletext_108_1""]"
109,"[45,60]","[""bubble_109_1""]","[45,60]","[""hungertext_109_1""]","[""feedingtext_109_1""]","[""borntext_109_1""]","[""bornwildtext_109_1""]","[""leavecountrytext_109_1""]","[22,37]","[""wildstrolltext_109_1""]","[""upgradeabletext_109_1""]"
110,"[45,60]","[""bubble_110_1""]","[45,60]","[""hungertext_110_1""]","[""feedingtext_110_1""]","[""borntext_110_1""]","[""bornwildtext_110_1""]","[""leavecountrytext_110_1""]","[28,30]","[""wildstrolltext_110_1""]","[""upgradeabletext_110_1""]"
111,"[45,60]","[""bubble_111_1""]","[45,60]","[""hungertext_111_1""]","[""feedingtext_111_1""]","[""borntext_111_1""]","[""bornwildtext_111_1""]","[""leavecountrytext_111_1""]","[30,35]","[""wildstrolltext_111_1""]","[""upgradeabletext_111_1""]"
112,"[45,60]","[""bubble_112_1""]","[45,60]","[""hungertext_112_1""]","[""feedingtext_112_1""]","[""borntext_112_1""]","[""bornwildtext_112_1""]","[""leavecountrytext_112_1""]","[35,45]","[""wildstrolltext_112_1""]","[""upgradeabletext_112_1""]"
113,"[45,60]","[""bubble_113_1""]","[45,60]","[""hungertext_113_1""]","[""feedingtext_113_1""]","[""borntext_113_1""]","[""bornwildtext_113_1""]","[""leavecountrytext_113_1""]","[22,37]","[""wildstrolltext_113_1""]","[""upgradeabletext_113_1""]"
114,"[45,60]","[""bubble_114_1""]","[45,60]","[""hungertext_114_1""]","[""feedingtext_114_1""]","[""borntext_114_1""]","[""bornwildtext_114_1""]","[""leavecountrytext_114_1""]","[15,35]","[""wildstrolltext_114_1""]","[""upgradeabletext_114_1""]"
115,"[45,60]","[""bubble_115_1""]","[45,60]","[""hungertext_115_1""]","[""feedingtext_115_1""]","[""borntext_115_1""]","[""bornwildtext_115_1""]","[""leavecountrytext_115_1""]","[20,40]","[""wildstrolltext_115_1""]","[""upgradeabletext_115_1""]"
116,"[45,60]","[""bubble_116_1""]","[45,60]","[""hungertext_116_1""]","[""feedingtext_116_1""]","[""borntext_116_1""]","[""bornwildtext_116_1""]","[""leavecountrytext_116_1""]","[20,40]","[""wildstrolltext_116_1""]","[""upgradeabletext_116_1""]"
117,"[45,60]","[""bubble_117_1""]","[45,60]","[""hungertext_117_1""]","[""feedingtext_117_1""]","[""borntext_117_1""]","[""bornwildtext_117_1""]","[""leavecountrytext_117_1""]","[20,40]","[""wildstrolltext_117_1""]","[""upgradeabletext_117_1""]"
118,"[45,60]","[""bubble_118_1""]","[45,60]","[""hungertext_118_1""]","[""feedingtext_118_1""]","[""borntext_118_1""]","[""bornwildtext_118_1""]","[""leavecountrytext_118_1""]","[20,40]","[""wildstrolltext_118_1""]","[""upgradeabletext_118_1""]"
119,"[45,60]","[""bubble_118_1""]","[45,60]","[""hungertext_118_1""]","[""feedingtext_118_1""]","[""borntext_118_1""]","[""bornwildtext_118_1""]","[""leavecountrytext_118_1""]","[20,40]","[""wildstrolltext_118_1""]","[""upgradeabletext_118_1""]"
201,"[45,60]","[""bubble_201_1""]","[45,60]","[""hungertext_201_1""]","[""feedingtext_201_1""]","[""borntext_201_1""]","[""bornwildtext_201_1""]","[""leavecountrytext_201_1""]","[37,42]","[""wildstrolltext_201_1""]","[""upgradeabletext_201_1""]"
202,"[45,60]","[""bubble_202_1""]","[45,60]","[""hungertext_202_1""]","[""feedingtext_202_1""]","[""borntext_202_1""]","[""bornwildtext_202_1""]","[""leavecountrytext_202_1""]","[40,47]","[""wildstrolltext_202_1""]","[""upgradeabletext_202_1""]"
203,"[45,60]","[""bubble_203_1""]","[45,60]","[""hungertext_203_1""]","[""feedingtext_203_1""]","[""borntext_203_1""]","[""bornwildtext_203_1""]","[""leavecountrytext_203_1""]","[20,40]","[""wildstrolltext_203_1""]","[""upgradeabletext_203_1""]"
