id,type,storyone,storyonereward,wildstrolltext,clickreward,
1,101,story_101,"[11000,11001]","[""bubble_101_1"",""upgradeabletext_101_1"",""wildstrolltext_101_1""]",[11001],
2,102,story_102,"[11000,11001]","[""bubble_102_1"",""upgradeabletext_102_1"",""wildstrolltext_102_1""]",[11001],
3,103,story_103,"[11000,11001]","[""bubble_103_1"",""upgradeabletext_103_1"",""wildstrolltext_103_1""]",[11001],
4,104,story_104,"[11000,11001]","[""bubble_104_1"",""upgradeabletext_104_1"",""wildstrolltext_104_1""]",[11001],
5,105,story_105,"[11000,11001]","[""bubble_105_1"",""upgradeabletext_105_1"",""wildstrolltext_105_1""]",[11001],
6,106,story_106,"[11000,11001]","[""bubble_106_1"",""upgradeabletext_106_1"",""wildstrolltext_106_1""]",[11001],
7,107,story_107,"[11000,11001]","[""bubble_107_1"",""upgradeabletext_107_1"",""wildstrolltext_107_1""]",[11001],
8,108,story_108,"[11000,11001]","[""bubble_108_1"",""upgradeabletext_108_1"",""wildstrolltext_108_1""]",[11001],
9,109,story_109,"[11000,11001]","[""bubble_109_1"",""upgradeabletext_109_1"",""wildstrolltext_109_1""]",[11001],
10,110,story_110,"[11000,11001]","[""bubble_110_1"",""upgradeabletext_110_1"",""wildstrolltext_110_1""]",[11001],
11,111,story_111,"[11000,11001]","[""bubble_111_1"",""upgradeabletext_111_1"",""wildstrolltext_111_1""]",[11001],
12,112,story_112,"[11000,11001]","[""bubble_112_1"",""upgradeabletext_112_1"",""wildstrolltext_112_1""]",[11001],
13,113,story_113,"[11000,11001]","[""bubble_113_1"",""upgradeabletext_113_1"",""wildstrolltext_113_1""]",[11001],
14,114,story_114,"[11000,11001]","[""bubble_114_1"",""upgradeabletext_114_1"",""wildstrolltext_114_1""]",[11001],
15,115,story_115,"[11000,11001]","[""bubble_115_1"",""upgradeabletext_115_1"",""wildstrolltext_115_1""]",[11001],
16,116,story_116,"[11000,11001]","[""bubble_116_1"",""upgradeabletext_116_1"",""wildstrolltext_116_1""]",[11001],
17,201,story_201,"[11000,11001]","[""bubble_201_1"",""upgradeabletext_201_1"",""wildstrolltext_201_1""]",[11001],
18,202,story_202,"[11000,11001]","[""bubble_202_1"",""upgradeabletext_202_1"",""wildstrolltext_202_1""]",[11001],
19,203,story_203,"[11000,11001]","[""bubble_203_1"",""upgradeabletext_203_1"",""wildstrolltext_203_1""]",[11001],
20,204,story_204,"[11000,11001]","[""bubble_204_1"",""upgradeabletext_204_1"",""wildstrolltext_204_1""]",[11001],
21,205,story_205,"[11000,11001]","[""bubble_205_1"",""upgradeabletext_205_1"",""wildstrolltext_205_1""]",[11001],
22,206,story_206,"[11000,11001]","[""bubble_206_1"",""upgradeabletext_206_1"",""wildstrolltext_206_1""]",[11001],
23,207,story_207,"[11000,11001]","[""bubble_207_1"",""upgradeabletext_207_1"",""wildstrolltext_207_1""]",[11001],
24,208,story_208,"[11000,11001]","[""bubble_208_1"",""upgradeabletext_208_1"",""wildstrolltext_208_1""]",[11001],
25,301,story_301,"[11000,11001]","[""bubble_301_1"",""upgradeabletext_301_1"",""wildstrolltext_301_1""]",[11001],
26,302,story_302,"[11000,11001]","[""bubble_302_1"",""upgradeabletext_302_1"",""wildstrolltext_302_1""]",[11001],
27,303,story_303,"[11000,11001]","[""bubble_303_1"",""upgradeabletext_303_1"",""wildstrolltext_303_1""]",[11001],
28,304,story_304,"[11000,11001]","[""bubble_304_1"",""upgradeabletext_304_1"",""wildstrolltext_304_1""]",[11001],
29,305,story_305,"[11000,11001]","[""bubble_305_1"",""upgradeabletext_305_1"",""wildstrolltext_305_1""]",[11001],
30,306,story_306,"[11000,11001]","[""bubble_306_1"",""upgradeabletext_306_1"",""wildstrolltext_306_1""]",[11001],
31,401,,"[11000,11001]","[""bubble_401_1"",""upgradeabletext_401_1"",""wildstrolltext_401_1""]",[11001],
32,402,,"[11000,11001]","[""bubble_402_1"",""upgradeabletext_402_1"",""wildstrolltext_402_1""]",[11001],
