id,unlockLevel,unlockCondition,conditionParam1,conditionParam2,payLabel,shopId,energyMethod,energyNum,eventTime,nextId,OrdinaryId,midId,bigId,
1,10,-1,,,[],26,"[100,20]",2000,1440,,,,,
2,10,-1,,,[],27,"[100,56]",5600,1440,,,,,
3,10,-1,,,[],28,"[100,120]",12000,1440,,,,,
4,10,-1,,,[],29,"[100,28.8]",2880,1440,,,,,
5,10,-1,,,[],30,"[100,36.5]",3650,1440,,,,,
6,10,-1,,,[],31,"[100,76]",7600,1440,,,,,
100,10,1,2023-10-28 19:00:00,2023-10-30 19:00:00,"[1,2]",36,"[100,5]",500,1440,101,,,,
101,10,-1,,,[],37,"[204,5]",1020,1440,,,,,
102,10,1,2023-10-28 19:00:00,2023-10-30 19:00:00,"[3,4]",37,"[204,5]",1020,1440,103,,,,
103,10,-1,,,[],38,"[380,5]",1900,1440,,,,,
104,10,1,2023-10-28 19:00:00,2023-10-30 19:00:00,"[5,6]",38,"[380,5]",1900,1440,105,,,,
105,10,-1,,,[],39,"[500,5]",2500,1440,,,,,
106,10,1,2023-10-28 19:00:00,2023-10-30 19:00:00,[7],39,"[500,5]",2500,1440,107,,,,
107,10,-1,,,[],40,"[760,5]",3800,1440,,,,,
200,10,1,2023-10-31 19:00:00,2023-11-2 19:00:00,"[1,2]",36,"[100,5]",500,1440,201,,,,
201,10,-1,,,[],37,"[204,5]",1020,1440,,,,,
202,10,1,2023-10-31 19:00:00,2023-11-2 19:00:00,"[3,4]",37,"[204,5]",1020,1440,203,,,,
203,10,-1,,,[],38,"[380,5]",1900,1440,,,,,
204,10,1,2023-10-31 19:00:00,2023-11-2 19:00:00,"[5,6]",38,"[380,5]",1900,1440,205,,,,
205,10,-1,,,[],39,"[500,5]",2500,1440,,,,,
206,10,1,2023-10-31 19:00:00,2023-11-2 19:00:00,[7],39,"[500,5]",2500,1440,207,,,,
207,10,-1,,,[],40,"[760,5]",3800,1440,,,,,
300,10,1,2023-11-4 19:00:00,2023-11-6 19:00:00,"[1,2]",36,"[100,5]",500,1440,301,,,,
301,10,-1,,,[],37,"[204,5]",1020,1440,,,,,
302,10,1,2023-11-4 19:00:00,2023-11-6 19:00:00,"[3,4]",37,"[204,5]",1020,1440,303,,,,
303,10,-1,,,[],38,"[380,5]",1900,1440,,,,,
304,10,1,2023-11-4 19:00:00,2023-11-6 19:00:00,"[5,6]",38,"[380,5]",1900,1440,305,,,,
305,10,-1,,,[],39,"[500,5]",2500,1440,,,,,
306,10,1,2023-11-4 19:00:00,2023-11-6 19:00:00,[7],39,"[500,5]",2500,1440,307,,,,
307,10,-1,,,[],40,"[760,5]",3800,1440,,,,,
400,10,1,2023-11-7 19:00:00,2023-11-9 19:00:00,"[1,2]",36,"[100,5]",500,1440,401,,,,
401,10,-1,,,[],37,"[204,5]",1020,1440,,,,,
402,10,1,2023-11-7 19:00:00,2023-11-9 19:00:00,"[3,4]",37,"[204,5]",1020,1440,403,,,,
403,10,-1,,,[],38,"[380,5]",1900,1440,,,,,
404,10,1,2023-11-7 19:00:00,2023-11-9 19:00:00,"[5,6]",38,"[380,5]",1900,1440,405,,,,
405,10,-1,,,[],39,"[500,5]",2500,1440,,,,,
406,10,1,2023-11-7 19:00:00,2023-11-9 19:00:00,[7],39,"[500,5]",2500,1440,407,,,,
407,10,-1,,,[],40,"[760,5]",3800,1440,,,,,
500,10,1,2023-11-11 19:00:00,2023-11-13 19:00:00,"[1,2]",36,"[100,5]",500,1440,501,,,,
501,10,-1,,,[],37,"[204,5]",1020,1440,,,,,
502,10,1,2023-11-11 19:00:00,2023-11-13 19:00:00,"[3,4]",37,"[204,5]",1020,1440,503,,,,
503,10,-1,,,[],38,"[380,5]",1900,1440,,,,,
504,10,1,2023-11-11 19:00:00,2023-11-13 19:00:00,"[5,6]",38,"[380,5]",1900,1440,505,,,,
505,10,-1,,,[],39,"[500,5]",2500,1440,,,,,
506,10,1,2023-11-11 19:00:00,2023-11-13 19:00:00,[7],39,"[500,5]",2500,1440,507,,,,
507,10,-1,,,[],40,"[760,5]",3800,1440,,,,,
600,10,1,2023-11-14 19:00:00,2023-11-16 19:00:00,"[1,2]",36,"[100,5]",500,1440,601,,,,
601,10,-1,,,[],37,"[204,5]",1020,1440,,,,,
602,10,1,2023-11-14 19:00:00,2023-11-16 19:00:00,"[3,4]",37,"[204,5]",1020,1440,603,,,,
603,10,-1,,,[],38,"[380,5]",1900,1440,,,,,
