id,upgradeCost,energyReward,minTimeGet,maxTimeGet,
1,"[[6004,1]]","[[2006,2,1800,],[2007,1,3600,],[1003,2,7200]]",1800,7200,
2,"[[6004,2]]","[[2006,3,1800,],[2007,1,3600,],[1003,2,7200]]",1800,7200,
3,"[[6004,3]]","[[2006,3,1800,],[2007,2,3600,],[1003,2,7200]]",1800,7200,
4,"[[6004,4]]","[[2006,3,1800,],[2007,2,3600,],[1003,3,7200]]",1800,7200,
5,"[[6004,5]]","[[2006,4,1800,],[2007,2,3600,],[1003,3,7200]]",1800,7200,
6,"[[6004,6]]","[[2006,4,1800,],[2007,3,3600,],[1003,3,7200]]",1800,7200,
7,"[[6004,7]]","[[2006,4,1800,],[2007,3,3600,],[1003,4,7200]]",1800,7200,
8,"[[6004,8]]","[[2006,5,1800,],[2007,3,3600,],[1003,4,7200]]",1800,7200,
9,"[[6004,9]]","[[2006,5,1800,],[2007,3,3600,],[1003,4,7200]]",1800,9000,
10,"[[6004,10]]","[[2006,5,1800,],[2007,4,3600,],[1003,4,7200]]",1800,9000,
11,"[[6004,11]]","[[2006,5,1800,],[2007,4,3600,],[1003,5,7200]]",1800,9000,
12,"[[6004,12]]","[[2006,6,1800,],[2007,4,3600,],[1003,5,7200]]",1800,9000,
13,"[[6004,13]]","[[2006,6,1800,],[2007,5,3600,],[1003,5,7200]]",1800,9000,
14,"[[6004,14]]","[[2006,6,1800,],[2007,5,3600,],[1003,6,7200]]",1800,9000,
15,"[[6004,15]]","[[2006,7,1800,],[2007,5,3600,],[1003,6,7200]]",1800,9000,
16,"[[6004,17]]","[[2006,7,1800,],[2007,6,3600,],[1003,6,7200]]",1800,9000,
17,"[[6004,18]]","[[2006,7,1800,],[2007,6,3600,],[1003,7,7200]]",1800,9000,
18,"[[6004,19]]","[[2006,8,1800,],[2007,6,3600,],[1003,7,7200]]",1800,9000,
19,"[[6004,20]]","[[2006,8,1800,],[2007,7,3600,],[1003,7,7200]]",1800,9000,
20,"[[6004,21]]","[[2006,8,1800,],[2007,7,3600,],[1003,7,7200]]",1800,10800,
21,"[[6004,22]]","[[2006,9,1800,],[2007,7,3600,],[1003,7,7200]]",1800,10800,
22,"[[6004,23]]","[[2006,9,1800,],[2007,8,3600,],[1003,7,7200]]",1800,10800,
23,"[[6004,24]]","[[2006,9,1800,],[2007,8,3600,],[1003,8,7200]]",1800,10800,
24,"[[6004,25]]","[[2006,10,1800,],[2007,8,3600,],[1003,8,7200]]",1800,10800,
25,"[[6004,26]]","[[2006,10,1800,],[2007,9,3600,],[1003,8,7200]]",1800,10800,
26,"[[6004,27]]","[[2006,10,1800,],[2007,9,3600,],[1003,9,7200]]",1800,10800,
27,"[[6004,28]]","[[2006,11,1800,],[2007,9,3600,],[1003,9,7200]]",1800,10800,
28,"[[6004,29]]","[[2006,11,1800,],[2007,10,3600,],[1003,9,7200]]",1800,10800,
29,"[[6004,30]]","[[2006,11,1800,],[2007,10,3600,],[1003,10,7200]]",1800,10800,
30,"[[6004,31]]","[[2006,11,1800,],[2007,10,3600,],[1003,10,7200]]",1800,12600,
31,"[[6004,32]]","[[2006,12,1800,],[2007,10,3600,],[1003,10,7200]]",1800,12600,
32,"[[6004,33]]","[[2006,12,1800,],[2007,11,3600,],[1003,10,7200]]",1800,12600,
33,"[[6004,34]]","[[2006,12,1800,],[2007,11,3600,],[1003,11,7200]]",1800,12600,
34,"[[6004,36]]","[[2006,13,1800,],[2007,11,3600,],[1003,11,7200]]",1800,12600,
35,[],"[[2006,13,1800,],[2007,11,3600,],[1003,11,7200]]",1800,14400,
