id,attribute,partnerEnergy,difficultyRange,reward,nextID,obstacleDurability1,obstacle1Drop,obstacleDurability2,obstacle2Drop,obstacleDurability3,cumulativeRewards
1,1,15,"[12,14]","[[1003,20],[2006,5]]",2,4,"[1,1]",5,"[2,1]",6,[]
2,2,15,"[12,14]","[[1003,20],[2006,5]]",3,4,"[1,1]",5,"[2,1]",6,[]
3,3,15,"[12,14]","[[1003,20],[2006,5]]",4,4,"[1,1]",5,"[2,1]",6,[]
4,4,15,"[12,14]","[[1003,20],[2006,5]]",5,4,"[1,1]",5,"[2,1]",6,[]
5,-1,25,"[22,24]","[[1003,50],[2006,5]]",6,7,"[1,1]",8,"[2,1]",10,[]
6,1,20,"[16,19]","[[1003,25],[2006,8]]",7,6,"[2,1]",7,"[2,1]",7,[]
7,2,20,"[16,19]","[[1003,25],[2006,8]]",8,6,"[2,1]",7,"[2,1]",7,[]
8,3,20,"[16,19]","[[1003,25],[2006,8]]",9,6,"[2,1]",7,"[2,1]",7,[]
9,4,20,"[16,19]","[[1003,25],[2006,8]]",10,6,"[2,1]",7,"[2,1]",7,[]
10,-1,40,"[34,39]","[[1003,60],[2006,8]]",11,12,"[3,1]",14,"[3,1]",14,"[[1003,50],[2007,10],[1002,5000]]"
11,1,28,"[22,27]","[[1003,30],[2006,10]]",12,8,"[3,1]",9,"[3,1]",11,[]
12,2,28,"[22,27]","[[1003,30],[2006,10]]",13,8,"[3,1]",9,"[3,1]",11,[]
13,3,28,"[22,27]","[[1003,30],[2006,10]]",14,8,"[3,1]",9,"[3,1]",11,[]
14,4,28,"[22,27]","[[1003,30],[2006,10]]",15,8,"[3,1]",9,"[3,1]",11,[]
15,-1,50,"[44,49]","[[1003,70],[2006,10]]",16,15,"[3,1]",17,"[3,1]",18,[]
16,1,39,"[33,38]","[[1003,35],[2006,13]]",17,11,"[3,1]",13,"[3,1]",15,[]
17,2,39,"[33,38]","[[1003,35],[2006,13]]",18,11,"[3,1]",13,"[3,1]",15,[]
18,3,39,"[33,38]","[[1003,35],[2006,13]]",19,11,"[3,1]",13,"[3,1]",15,[]
19,4,39,"[33,38]","[[1003,35],[2006,13]]",20,11,"[3,1]",13,"[3,1]",15,[]
20,-1,65,"[59,64]","[[1003,80],[2006,13]]",21,19,"[3,1]",22,"[3,1]",24,"[[1003,50],[2007,10],[1002,5000]]"
21,1,53,"[47,52]","[[1003,40],[2006,15]]",22,15,"[3,1]",18,"[3,1]",20,[]
22,2,53,"[47,52]","[[1003,40],[2006,15]]",23,15,"[3,1]",18,"[3,1]",20,[]
23,3,53,"[47,52]","[[1003,40],[2006,15]]",24,15,"[3,1]",18,"[3,1]",20,[]
24,4,53,"[47,52]","[[1003,40],[2006,15]]",25,15,"[3,1]",18,"[3,1]",20,[]
25,-1,80,"[68,79]","[[1003,90],[2006,15]]",26,24,"[3,2]",28,"[3,2]",28,[]
26,1,70,"[58,69]","[[1003,45],[2006,20]]",27,21,"[3,2]",24,"[3,2]",25,[]
27,2,70,"[58,69]","[[1003,45],[2006,20]]",28,21,"[3,2]",24,"[3,2]",25,[]
28,3,70,"[58,69]","[[1003,45],[2006,20]]",29,21,"[3,2]",24,"[3,2]",25,[]
29,4,70,"[58,69]","[[1003,45],[2006,20]]",30,21,"[3,2]",24,"[3,2]",25,[]
30,-1,100,"[88,99]","[[1003,100],[2006,20]]",31,30,"[3,2]",35,"[3,2]",35,"[[1003,50],[2007,20],[1002,10000]]"
31,1,90,"[78,89]","[[1003,50],[2006,25]]",32,27,"[3,2]",31,"[3,2]",32,[]
32,2,90,"[78,89]","[[1003,50],[2006,25]]",33,27,"[3,2]",31,"[3,2]",32,[]
33,3,90,"[78,89]","[[1003,50],[2006,25]]",34,27,"[3,2]",31,"[3,2]",32,[]
34,4,90,"[78,89]","[[1003,50],[2006,25]]",35,27,"[3,2]",31,"[3,2]",32,[]
35,-1,120,"[108,119]","[[1003,110],[2006,25]]",36,36,"[3,2]",42,"[3,2]",42,[]
36,1,110,"[98,109]","[[1003,55],[2006,30]]",37,33,"[3,2]",38,"[3,2]",39,[]
37,2,110,"[98,109]","[[1003,55],[2006,30]]",38,33,"[3,2]",38,"[3,2]",39,[]
38,3,110,"[98,109]","[[1003,55],[2006,30]]",39,33,"[3,2]",38,"[3,2]",39,[]
39,4,110,"[98,109]","[[1003,55],[2006,30]]",40,33,"[3,2]",38,"[3,2]",39,[]
40,-1,145,"[133,144]","[[1003,120],[2006,30]]",41,43,"[3,2]",50,"[3,2]",52,"[[1003,80],[2007,30],[1002,20000]]"
41,1,130,"[118,129]","[[1003,60],[2007,10]]",42,39,"[3,2]",45,"[3,2]",46,[]
42,2,130,"[118,129]","[[1003,60],[2007,10]]",43,39,"[3,2]",45,"[3,2]",46,[]
43,3,130,"[118,129]","[[1003,60],[2007,10]]",44,39,"[3,2]",45,"[3,2]",46,[]
44,4,130,"[118,129]","[[1003,60],[2007,10]]",45,39,"[3,2]",45,"[3,2]",46,[]
45,-1,170,"[158,169]","[[1003,130],[2007,10]]",46,51,"[3,2]",59,"[3,2]",60,[]
46,1,150,"[138,149]","[[1003,65],[2007,13]]",47,45,"[3,2]",52,"[3,2]",53,[]
47,2,150,"[138,149]","[[1003,65],[2007,13]]",48,45,"[3,2]",52,"[3,2]",53,[]
48,3,150,"[138,149]","[[1003,65],[2007,13]]",49,45,"[3,2]",52,"[3,2]",53,[]
