id,randomType,itemRandom,numRandom,
1001,1,"[[1003,100]]","[[20,20]]",
1002,1,"[[2100,1000]]","[[8,8]]",
1003,1,"[[16000,800]]","[[3,3]]",
1004,1,"[[2100,1000]]","[[12,12]]",
1005,1,"[[1001,1000]]","[[2,2]]",
1006,1,"[[2100,1000]]","[[20,20]]",
2001,2,"[[1003,780],[1002,200],[1001,20]]","[[1,2],[10,15],[1,1]]",
3011,3,"[[2002,500],[2005,500]]","[[2,5],[2,5]]",
3012,3,"[[7004,800],[7005,200]]","[[1,1],[1,1]]",
3013,3,"[[13001,100],[15000,100],[16000,100],[22000,100]]","[[1,2],[1,2],[1,2],[1,2]]",
3021,3,"[[2002,500],[2005,500]]","[[2,5],[2,5]]",
3022,3,"[[7004,800],[7005,200]]","[[1,1],[1,1]]",
3023,3,"[[13001,100],[15000,100],[16000,100],[22000,100]]","[[1,2],[1,2],[1,2],[1,2]]",
3031,3,"[[2002,500],[2005,500]]","[[2,5],[2,5]]",
3032,3,"[[7004,800],[7005,200]]","[[1,1],[1,1]]",
3033,3,"[[13001,100],[15000,100],[16000,100],[22000,100]]","[[1,2],[1,2],[1,2],[1,2]]",
4000,4,"[[30001,23],[30002,23],[30003,23],[30004,23],[30005,23],[30006,23],[30007,23],[30008,23],[30009,23],[30010,23],[30011,23],[30012,23],[30013,23],[30014,23],[30015,23],[30016,23],[30017,23],[30018,23],[30019,23],[30020,23],[30021,23],[30022,23],[30023,25],[30024,25],[30025,25],[30026,25],[30027,25],[30029,25],[30030,25],[30031,25],[30032,25],[30034,25],[30028,37],[30033,37],[30035,37],[30036,37],[30039,50],[30037,50]]","[[5,5],[5,5],[5,5],[5,5],[5,5],[5,5],[5,5],[5,5],[5,5],[5,5],[5,5],[5,5],[5,5],[5,5],[5,5],[5,5],[5,5],[5,5],[5,5],[5,5],[5,5],[5,5],[4,4],[4,4],[4,4],[4,4],[4,4],[4,4],[4,4],[4,4],[4,4],[4,4],[3,3],[3,3],[3,3],[3,3],[5,5],[5,5]]",
