id,playertype,giftType,giftReward
1,1,0,"[[1003,10]]"
2,1,0,"[[30000,5]]"
3,1,0,"[[1003,20]]"
4,1,1,[701]
5,1,0,"[[1001,10]]"
6,1,0,"[[1002,3000]]"
7,1,0,"[[1003,100]]"
8,1,1,[702]
9,1,0,"[[1002,4000]]"
10,1,0,"[[1003,100]]"
11,1,0,"[[30000,10]]"
12,1,0,"[[11001,1]]"
13,1,1,[703]
14,1,0,"[[1002,5000]]"
15,1,0,"[[1001,15]]"
16,1,0,"[[22000,3]]"
17,1,0,"[[1003,200]]"
100,2,0,"[[1003,20]]"
101,2,0,"[[30000,5]]"
102,2,0,"[[1003,30]]"
103,2,1,[704]
104,2,0,"[[1001,10]]"
105,2,0,"[[1002,3000]]"
106,2,0,"[[1003,100]]"
107,2,1,[705]
108,2,0,"[[11001,1]]"
109,2,0,"[[1001,10]]"
110,2,0,"[[1003,100]]"
111,2,0,"[[11001,1]]"
112,2,1,[706]
113,2,0,"[[1002,5000]]"
114,2,0,"[[1001,20]]"
115,2,0,"[[30000,10]]"
116,2,0,"[[1003,120]]"
117,2,1,[707]
118,2,0,"[[1002,8000]]"
119,2,0,"[[11001,1]]"
120,2,0,"[[1001,20]]"
121,2,0,"[[2100,10]]"
122,2,0,"[[1003,200]]"
