id,triggerWay,sceneID,triggerWayParam,probability,dropModel,timesLimit,eventType,eventParam,reward,
301,1,3,70877,10000,event_red_fruit,1,3,[9201],"[[1003,20],[1003,20]]",
302,1,3,70969,10000,event_letter,1,4,[9301],"[[1002,300]]",
401,1,4,70143,10000,event_medal,1,1,"[9001,""event_102_1""]","[[1001,5]]",
402,1,4,68530,10000,event_witheredbark,1,3,[9202],"[[20010,1],[1002,50]]",
403,1,4,30892,10000,event_bag,1,3,[9205],"[[1002,500]]",
404,1,4,69991,10000,event_bag,1,3,[9208],"[[1001,2]]",
501,1,5,96089,10000,event_yumao,1,1,"[9002,""event_101_1""]","[[1001,5]]",
502,1,5,57550,10000,event_cowboyhat,1,2,[91003],[],
503,1,5,96097,10000,event_red_fruit,1,3,[9201],"[[20010,1],[1003,20]]",
504,1,5,82127,10000,event_angled,1,2,[91007],[],
601,1,6,77059,10000,event_necklace,1,1,"[9003,""event_103_1""]","[[1001,5]]",
602,1,6,76281,5000,event_witheredbark,1,3,[9202],"[[1003,20],[1002,100]]",
603,1,6,76009,5000,event_witheredbark,1,3,[9202],"[[1003,20],[1002,100]]",
604,1,6,76004,5000,event_witheredbark,1,3,[9202],"[[1003,20],[1002,100]]",
605,1,6,76504,5000,event_witheredbark,1,3,[9202],"[[1003,20],[1002,100]]",
606,2,6,400,10000,event_bag,2,3,[9205],"[[1002,500]]",
607,2,6,500,10000,event_bag,1,3,[9208],"[[1001,2]]",
701,1,7,79300,10000,event_seed,1,1,"[9004,""event_104_1""]","[[1001,5]]",
702,2,7,500,10000,event_salad,1,3,[9203],"[[1003,30],[1002,200]]",
703,2,7,600,10000,event_eggs,2,3,[9204],"[[1003,30],[1002,100]]",
801,1,8,72167,10000,event_cowboyhat,1,2,[91003],[],
802,1,8,76417,10000,event_angled,1,2,[91007],[],
803,2,8,600,10000,event_bag,2,3,[9205],"[[1002,500]]",
804,2,8,600,10000,event_bag,1,3,[9208],"[[1001,2]]",
901,1,9,90289,10000,event_headband,1,1,"[9005,""event_110_1""]","[[10004,4]]",
902,1,9,90232,10000,event_cowboyhat,1,2,[91003],[],
903,1,9,90248,10000,event_letter,1,4,[9301],"[[1002,300]]",
904,2,9,600,10000,event_red_fruit,3,3,[9201],"[[20010,1],[1003,20]]",
1001,1,10,68350,10000,event_orecrystal,1,1,"[9006,""event_105_1""]","[[2100,3]]",
1002,1,10,68431,10000,event_eggs,1,3,[9204],"[[1003,20],[1002,100]]",
1003,1,10,68667,10000,event_bag,1,3,[9205],"[[1001,2]]",
1004,1,10,68439,10000,event_angled,1,2,[91007],[],
1103,2,11,600,10000,event_rejuvenationsoup,1,3,[9206],"[[1001,2],[91011,1]]",
1104,2,11,1000,10000,event_witheredbark,2,3,[9202],"[[1003,20],[1002,100]]",
1105,2,11,1200,10000,event_red_fruit,1,3,[9201],"[[20010,1],[1003,20]]",
1202,2,12,600,10000,event_poisonmushroom,1,3,[9207],"[[20010,1],[7002,3]]",
1203,2,12,1200,10000,event_salad,1,3,[9203],"[[1003,30],[1002,200]]",
1204,2,12,1800,10000,event_poisonmushroom,1,3,[9207],"[[20010,1],[7002,3]]",
1303,2,13,700,10000,event_letter,1,4,[9301],"[[1002,300]]",
1304,2,13,1500,10000,event_bag,1,3,[9205],"[[1002,500]]",
1305,2,13,2100,10000,event_cowboyhat,1,2,[91003],[],
1403,2,14,600,10000,event_rejuvenationsoup,1,3,[9206],"[[1001,2],[91011,1]]",
1404,2,14,1000,10000,event_witheredbark,2,3,[9202],"[[1003,20],[1002,100]]",
1405,2,14,1200,10000,event_red_fruit,1,3,[9201],"[[20010,1],[1003,20]]",
1502,2,15,600,10000,event_poisonmushroom,1,3,[9207],"[[20010,1],[7002,3]]",
1503,2,15,1200,10000,event_salad,1,3,[9203],"[[1003,30],[1002,200]]",
1504,2,15,1800,10000,event_poisonmushroom,1,3,[9207],"[[20010,1],[7002,3]]",
1603,2,16,700,10000,event_letter,1,4,[9301],"[[1002,300]]",
1604,2,16,1500,10000,event_bag,1,3,[9205],"[[1002,500]]",
1605,2,16,2100,10000,event_cowboyhat,1,2,[91003],[],
1703,2,17,600,10000,event_rejuvenationsoup,1,3,[9206],"[[1001,2],[91011,1]]",
1704,2,17,1000,10000,event_witheredbark,2,3,[9202],"[[1003,20],[1002,100]]",
1705,2,17,1200,10000,event_red_fruit,1,3,[9201],"[[20010,1],[1003,20]]",
40001,4,4richman,17,10000,,1,4,[9101],"[[1002,300]]",
40002,4,4richman,18,10000,,1,4,[9102],"[[1002,300]]",
40003,4,4richman,19,10000,,1,3,[9103],"[[1001,3]]",
40004,4,4richman,20,10000,,1,3,[9104],"[[1002,500]]",
40005,4,4richman,21,10000,,2,3,[9105],"[[1002,500]]",
40006,4,4richman,22,10000,,1,3,[9106],"[[1003,30]]",
40007,4,4richman,23,10000,,1,3,[9107],"[[1003,20],[1002,100]]",
40008,4,4richman,24,10000,,1,3,[9108],"[[6200,1],[1002,100]]",
40009,4,4richman,25,10000,,1,3,[9109],"[[1003,30],[1002,200]]",
40010,4,4richman,26,10000,,1,3,[9110],"[[1003,30],[1002,200]]",
40011,4,4richman,39,10000,,1,3,[9111],"[[2007,3],[1002,150]]",
40012,4,4richman,38,10000,,1,3,[9112],"[[1003,20],[1002,150]]",
40013,4,4richman,37,10000,,1,3,[9113],"[[6200,1]]",
40014,4,4richman,40,10000,,1,4,[9114],"[[1002,300]]",
40015,4,4richman,41,10000,,1,2,[91006],[],
