id,type,unlockCondition,param,times,lastScene,chapter,accomplishStar1,star1ward,accomplishStar2,star2ward,accomplishStar3,star3ward,timeLimited,timeLimitedReward,backSceneItem,commissionID,activityLink,completeReward,completeskinReward,lastTask,
city,0,0,0,-1,,,[],[],[],[],[],[],,[],[],,,[],,,
1,1,1,Missioncity_014magiccircle1,-1,,1,[101],"[[16000,5]]","[102,103]","[[1003,30]]",[105],"[[1002,300]]",12,"[[11001,1],[1001,3],[1003,30]]","[1002,100]",1,,[],,,
2,1,10,"[""Mission1_12Lookingformultilace"",6]",-1,1,1,[201],"[[16000,5]]","[202,203]","[[1003,30]]","[204,205]","[[1002,300]]",24,"[[11001,1],[1001,5],[1003,30]]","[1002,100]",2,,[],,,
3,1,10,"[""Mission2_13activatemagictree"",7]",-1,2,1,[301],"[[16000,5]]","[302,303]","[[1003,30]]","[304,305]","[[1002,500]]",36,"[[11001,1],[1001,5],[1003,50]]","[1002,100]",3,,[],,,
4,1,10,"[""Mission3_011FindExport"",9]",-1,3,1,[401],"[[16000,5]]","[402,403]","[[1003,30]]","[404,405]","[[11001,1]]",48,"[[11001,1],[1001,5],[1003,50]]","[1002,100]",4,,"[[6200,2]]",,,
4richman,23,10,"[""Mission4_012ReadyToGo"",10]",-1,4,1,[40001],"[[16000,5]]","[40002,40003]","[[1003,50]]","[40004,40005]","[[1002,300]]",48,"[[11001,1],[1001,5],[1003,100]]","[1002,100]",4richman,,"[[6200,2]]",,,
5,1,10,"[""Mission4richman_009journeyend"",11]",-1,4richman,1,[501],"[[16000,5]]","[502,503]","[[1003,50]]","[504,505]","[[11001,1]]",48,"[[11001,1],[1001,5],[1003,100]]","[1002,100]",5,,"[[6200,2]]","[[100001,1]]",,
6,1,10,"[""Mission5_015UsetheMoon"",12]",-1,5,2,[601],"[[16000,5]]","[602,603]","[[1003,50]]","[604,605]","[[11001,1],[1003,50]]",72,"[[11001,1],[1001,5],[1003,100]]","[1002,100]",6,,"[[6200,2]]",,,
7,1,10,"[""Mission6_016Activateexitb"",13]",-1,6,2,[701],"[[16000,5]]","[702,703]","[[1003,50]]","[704,705]","[[11001,1],[1003,50]]",72,"[[11001,1],[1001,5],[1003,100]]","[1002,100]",7,,"[[6200,2]]",,,
8,1,10,"[""Mission7_013Entrance"",14]",-1,7,2,[801],"[[16000,5]]","[802,803]","[[1003,50]]","[804,805]","[[11001,1],[1003,50]]",72,"[[11001,1],[1001,5],[1003,100]]","[1002,100]",8,,"[[6200,2]]",,,
9,1,10,"[""Mission8_011backintime"",15]",-1,8,2,[901],"[[16000,5]]","[902,903]","[[1003,100]]","[904,905]","[[1002,1500],[1003,50]]",72,"[[11001,1],[1001,5],[1003,100]]","[1002,100]",9,,"[[6200,2]]",,,
10,1,10,"[""Mission9_014BackFuture"",16]",-1,9,2,[1001],"[[16000,5]]","[1002,1003]","[[1003,100]]","[1004,1005]","[[1002,1500],[1003,50]]",72,"[[11001,1],[1001,5],[1003,100]]","[1002,100]",10,,"[[6200,2]]","[[100002,1]]",,
