id,googleId,iosId,name,proType,shopType,shopSubType,userGroup,price,itemIds,areaId,subscribeDuration,firstRate,firstReset,extraRate,chargeLottery,reissueMailTitle,reissueMailContent,
1,fairyscapes.diamond1,fairyscapes.diamond1,40 Diamonds,0,1,0,0,0.99,"[[1001,40]]",0,0,0,,0,0,ui_mail_budan_title,ui_mail_budan_desc_2,
100,fairyscapes.diamond7,fairyscapes.diamond7,120 Diamonds,0,1,0,0,2.99,"[[1001,120]]",0,0,0,,0,0,ui_mail_budan_title,ui_mail_budan_desc_2,
2,fairyscapes.diamond2,fairyscapes.diamond2,220 Diamonds,0,1,0,0,4.99,"[[1001,220]]",0,0,0,,0,0,ui_mail_budan_title,ui_mail_budan_desc_2,
3,fairyscapes.diamond3,fairyscapes.diamond3,480 Diamonds,0,1,0,0,9.99,"[[1001,480]]",0,0,0,,0,0,ui_mail_budan_title,ui_mail_budan_desc_2,
4,fairyscapes.diamond4,fairyscapes.diamond4,1000 Diamonds,0,1,0,0,19.99,"[[1001,1000]]",0,0,0,,0,0,ui_mail_budan_title,ui_mail_budan_desc_2,
5,fairyscapes.diamond5,fairyscapes.diamond5,2200 Diamonds,0,1,0,0,39.99,"[[1001,2200]]",0,0,0,,0,0,ui_mail_budan_title,ui_mail_budan_desc_2,
6,fairyscapes.diamond6,fairyscapes.diamond6,6000 Diamonds,0,1,0,0,99.99,"[[1001,6000]]",0,0,0,,0,0,ui_mail_budan_title,ui_mail_budan_desc_2,
7,fairyscapes.shoppack1,fairyscapes.shoppack1,Shop Pack1,0,4,0,0,4.99,"[[1001,220],[1003,100],[13001,5],[15000,5],[16000,5]]",0,0,0,,0,0,ui_mail_budan_title,ui_mail_budan_desc_2,
8,fairyscapes.shoppack2,fairyscapes.shoppack2,Shop Pack2,0,4,0,0,12.99,"[[1001,550],[1003,500],[16000,8],[42000,8]]",0,0,0,,0,0,ui_mail_budan_title,ui_mail_budan_desc_2,
9,fairyscapes.shoppack3,fairyscapes.shoppack3,Shop Pack3,0,4,0,0,29.99,"[[1001,1400],[1003,800],[11001,3],[16000,10],[42000,16]]",0,0,0,,0,0,ui_mail_budan_title,ui_mail_budan_desc_2,
10,fairyscapes.shoppack4,fairyscapes.shoppack4,Shop Pack4,0,4,0,0,79.99,"[[1001,4000],[1003,1500],[11001,10],[16000,20],[42000,16]]",0,0,0,,0,0,ui_mail_budan_title,ui_mail_budan_desc_2,
101,fairyscapes.shoppack5,fairyscapes.shoppack5,Shop Pack5,0,4,0,0,59.99,"[[1001,800],[2100,300],[13001,6],[15000,6],[16000,6]]",0,0,0,,0,0,ui_mail_budan_title,ui_mail_budan_desc_2,
102,fairyscapes.shoppack6,fairyscapes.shoppack6,Shop Pack6,0,4,0,0,99.99,"[[1001,5400],[1003,2800],[11001,20],[30000,400],[22000,30]]",0,0,0,,0,0,ui_mail_budan_title,ui_mail_budan_desc_2,
11,beginner.pack1,beginner.pack1,Beginner Pack1,0,5,11,0,0.99,"[[1003,1000],[1001,40]]",0,0,0,,0,0,ui_mail_budan_title,ui_mail_budan_desc_2,
