id,type,user,getWay,time,quality,attribute,dragonEnergyLimit,skill,canProduct,productNeedItem,needEquipQuelity,awardWeight,successRate,increaseSuccessRate,reimburse,sell,taskDrawingGetWay,drawingID,
27100,1,Petdragon,0,,0,0,[],[],0,[],[],,100,0,[],[],,,
27200,2,Femaleplayer,0,,0,0,[],[],0,[],[],,100,0,[],[],,,
27201,2,Femaleplayer,1,,0,0,[],[],0,[],[],,100,0,[],[],,,
27202,2,Femaleplayer,1,,0,0,[],[],0,[],[],,100,0,[],[],,,
27203,2,Femaleplayer,1,,0,0,[],[],0,[],[],,100,0,[],[],,,
27204,2,Femaleplayer,1,,0,0,[],[],0,[],[],,100,0,[],[],,,
27205,2,Femaleplayer,1,,0,0,[],[],0,[],[],,100,0,[],[],,,
27206,2,Femaleplayer,1,,0,0,[],[],0,[],[],,100,0,[],[],,,
27207,2,Femaleplayer,1,,0,0,[],[],0,[],[],,100,0,[],[],,,
27208,2,Femaleplayer,1,,0,0,[],[],0,[],[],,100,0,[],[],,,
27209,2,Femaleplayer,1,,0,0,[],[],0,[],[],,100,0,[],[],,,
27210,2,Femaleplayer,1,,0,0,[],[],0,[],[],,100,0,[],[],,,
27211,2,Femaleplayer,1,,0,0,[],[],0,[],[],,100,0,[],[],,,
27212,2,Femaleplayer,1,,0,0,[],[],0,[],[],,100,0,[],[],,,
27213,2,Femaleplayer,1,,0,0,[],[],0,[],[],,100,0,[],[],,,
27214,2,Femaleplayer,1,,0,0,[],[],0,[],[],,100,0,[],[],,,
27215,2,Femaleplayer,1,,0,0,[],[],0,[],[],,100,0,[],[],,,
27218,2,Femaleplayer,1,,0,0,[],[],0,[],[],,100,0,[],[],,,
27219,2,Femaleplayer,1,,0,0,[],[],0,[],[],,100,0,[],[],,,
27220,2,Femaleplayer,1,,0,0,[],[],0,[],[],,100,0,[],[],,,
27221,2,Femaleplayer,1,,0,0,[],[],0,[],[],,100,0,[],[],,,
27222,2,Femaleplayer,1,,0,0,[],[],0,[],[],,100,0,[],[],,,
27223,2,Femaleplayer,1,,0,0,[],[],0,[],[],,100,0,[],[],,,
27225,2,Femaleplayer,1,,0,0,[],[],0,[],[],,100,0,[],[],,,
27226,2,Femaleplayer,1,,0,0,[],[],0,[],[],,100,0,[],[],,,
27227,2,Femaleplayer,1,,0,0,[],[],0,[],[],,100,0,[],[],,,
27228,2,Femaleplayer,1,,0,0,[],[],0,[],[],,100,0,[],[],,,
27303,10,Femaleplayer,2,,0,0,[],[],0,[],[],,100,0,[],[],,,
27304,10,Femaleplayer,1,,0,0,[],[],0,[],[],,100,0,[],[],,,
27305,11,Femaleplayer,1,,0,0,[],[],0,[],[],,100,0,[],[],,,
27306,12,Femaleplayer,1,,0,0,[],[],0,[],[],,100,0,[],[],,,
27307,13,Femaleplayer,1,,0,0,[],[],0,[],[],,100,0,[],[],,,
27308,11,Femaleplayer,1,,0,0,[],[],0,[],[],,100,0,[],[],,,
27309,12,Femaleplayer,1,,0,0,[],[],0,[],[],,100,0,[],[],,,
27310,10,Femaleplayer,1,,0,0,[],[],0,[],[],,100,0,[],[],,,
27311,11,Femaleplayer,1,,0,0,[],[],0,[],[],,100,0,[],[],,,
27312,12,Femaleplayer,1,,0,0,[],[],0,[],[],,100,0,[],[],,,
27313,13,Femaleplayer,1,,0,0,[],[],0,[],[],,100,0,[],[],,,
27314,10,Femaleplayer,1,,0,0,[],[],0,[],[],,100,0,[],[],,,
27315,11,Femaleplayer,1,,0,0,[],[],0,[],[],,100,0,[],[],,,
27316,12,Femaleplayer,1,,0,0,[],[],0,[],[],,100,0,[],[],,,
27317,13,Femaleplayer,1,,0,0,[],[],0,[],[],,100,0,[],[],,,
27318,10,Femaleplayer,1,,0,0,[],[],0,[],[],,100,0,[],[],,,
27319,11,Femaleplayer,1,,0,0,[],[],0,[],[],,100,0,[],[],,,
27320,12,Femaleplayer,1,,0,0,[],[],0,[],[],,100,0,[],[],,,
27321,13,Femaleplayer,1,,0,0,[],[],0,[],[],,100,0,[],[],,,
27322,10,Femaleplayer,1,,0,0,[],[],0,[],[],,100,0,[],[],,,
27323,11,Femaleplayer,1,,0,0,[],[],0,[],[],,100,0,[],[],,,
27324,12,Femaleplayer,1,,0,0,[],[],0,[],[],,100,0,[],[],,,
27325,13,Femaleplayer,1,,0,0,[],[],0,[],[],,100,0,[],[],,,
27326,10,Femaleplayer,1,,0,0,[],[],0,[],[],,100,0,[],[],,,
27327,11,Femaleplayer,1,,0,0,[],[],0,[],[],,100,0,[],[],,,
27328,12,Femaleplayer,1,,0,0,[],[],0,[],[],,100,0,[],[],,,
27329,13,Femaleplayer,1,,0,0,[],[],0,[],[],,100,0,[],[],,,
27330,10,Femaleplayer,1,,0,0,[],[],0,[],[],,100,0,[],[],,,
27331,11,Femaleplayer,1,,0,0,[],[],0,[],[],,100,0,[],[],,,
27332,12,Femaleplayer,1,,0,0,[],[],0,[],[],,100,0,[],[],,,
27333,13,Femaleplayer,1,,0,0,[],[],0,[],[],,100,0,[],[],,,
27334,10,Femaleplayer,1,,0,0,[],[],0,[],[],,100,0,[],[],,,
27335,11,Femaleplayer,1,,0,0,[],[],0,[],[],,100,0,[],[],,,
27336,12,Femaleplayer,1,,0,0,[],[],0,[],[],,100,0,[],[],,,
27337,13,Femaleplayer,1,,0,0,[],[],0,[],[],,100,0,[],[],,,
27342,10,Femaleplayer,1,,0,0,[],[],0,[],[],,100,0,[],[],,,
27343,11,Femaleplayer,1,,0,0,[],[],0,[],[],,100,0,[],[],,,
27344,12,Femaleplayer,1,,0,0,[],[],0,[],[],,100,0,[],[],,,
27345,13,Femaleplayer,1,,0,0,[],[],0,[],[],,100,0,[],[],,,
27346,10,Femaleplayer,1,,0,0,[],[],0,[],[],,100,0,[],[],,,
27347,11,Femaleplayer,1,,0,0,[],[],0,[],[],,100,0,[],[],,,
27348,12,Femaleplayer,1,,0,0,[],[],0,[],[],,100,0,[],[],,,
27349,13,Femaleplayer,1,,0,0,[],[],0,[],[],,100,0,[],[],,,
27350,10,Femaleplayer,0,,0,0,[],[],0,[],[],,100,0,[],[],,,
27351,11,Femaleplayer,0,,0,0,[],[],1,[],[],,100,0,[],[],,,
27352,12,Femaleplayer,0,,0,0,[],[],2,[],[],,100,0,[],[],,,
27353,13,Femaleplayer,0,,0,0,[],[],3,[],[],,100,0,[],[],,,
27354,10,Femaleplayer,1,,0,0,[],[],0,[],[],,100,0,[],[],,,
27355,11,Femaleplayer,1,,0,0,[],[],0,[],[],,100,0,[],[],,,
27356,12,Femaleplayer,1,,0,0,[],[],0,[],[],,100,0,[],[],,,
27357,13,Femaleplayer,1,,0,0,[],[],0,[],[],,100,0,[],[],,,
27358,10,Femaleplayer,1,,0,0,[],[],0,[],[],,100,0,[],[],,,
27359,11,Femaleplayer,1,,0,0,[],[],0,[],[],,100,0,[],[],,,
27360,12,Femaleplayer,1,,0,0,[],[],0,[],[],,100,0,[],[],,,
27361,13,Femaleplayer,1,,0,0,[],[],0,[],[],,100,0,[],[],,,
27362,10,Femaleplayer,1,,0,0,[],[],0,[],[],,100,0,[],[],,,
27363,11,Femaleplayer,1,,0,0,[],[],0,[],[],,100,0,[],[],,,
27364,12,Femaleplayer,1,,0,0,[],[],0,[],[],,100,0,[],[],,,
27365,13,Femaleplayer,1,,0,0,[],[],0,[],[],,100,0,[],[],,,
27371,10,Femaleplayer,1,,0,0,[],[],0,[],[],,100,0,[],[],,,
27372,11,Femaleplayer,1,,0,0,[],[],0,[],[],,100,0,[],[],,,
27373,12,Femaleplayer,1,,0,0,[],[],0,[],[],,100,0,[],[],,,
27374,13,Femaleplayer,1,,0,0,[],[],0,[],[],,100,0,[],[],,,
27375,10,Femaleplayer,1,,0,0,[],[],0,[],[],,100,0,[],[],,,
27376,11,Femaleplayer,1,,0,0,[],[],0,[],[],,100,0,[],[],,,
27377,12,Femaleplayer,1,,0,0,[],[],0,[],[],,100,0,[],[],,,
27378,13,Femaleplayer,1,,0,0,[],[],0,[],[],,100,0,[],[],,,
27379,10,Femaleplayer,1,,0,0,[],[],0,[],[],,100,0,[],[],,,
27380,11,Femaleplayer,1,,0,0,[],[],0,[],[],,100,0,[],[],,,
27381,12,Femaleplayer,1,,0,0,[],[],0,[],[],,100,0,[],[],,,
27382,13,Femaleplayer,1,,0,0,[],[],0,[],[],,100,0,[],[],,,
27383,12,Femaleplayer,1,,0,0,[],[],0,[],[],,100,0,[],[],,,
27384,10,Femaleplayer,1,,0,0,[],[],0,[],[],,100,0,[],[],,,
27385,11,Femaleplayer,1,,0,0,[],[],0,[],[],,100,0,[],[],,,
27386,12,Femaleplayer,1,,0,0,[],[],0,[],[],,100,0,[],[],,,
27387,13,Femaleplayer,1,,0,0,[],[],0,[],[],,100,0,[],[],,,
