id,level,smallBpId,exp,normalType,normalReward,vipType,vipReward,
100,0,1,10,0,[],0,[],
101,1,1,20,0,"[34001,10]",0,"[34001,20]",
102,2,1,20,0,"[16000,5]",0,"[16000,10]",
103,3,1,40,0,"[42000,5]",0,"[42000,10]",
104,4,1,40,0,"[34001,20]",0,"[34001,40]",
105,5,1,60,0,"[22000,5]",0,"[22000,10]",
106,6,1,60,0,"[30000,3]",0,"[30000,6]",
107,7,1,80,0,"[2100,3]",0,"[2100,6]",
108,8,1,80,0,"[25000,2]",0,"[25000,4]",
109,9,1,100,0,"[11001,1]",0,"[11001,2]",
110,10,1,-1,0,"[34001,30]",0,"[34001,60]",
200,0,2,10,0,[],0,[],
201,1,2,20,0,"[34002,10]",0,"[34002,20]",
202,2,2,20,0,"[16000,5]",0,"[16000,10]",
203,3,2,40,0,"[42000,5]",0,"[42000,10]",
204,4,2,40,0,"[34002,20]",0,"[34002,40]",
205,5,2,60,0,"[22000,5]",0,"[22000,10]",
206,6,2,60,0,"[30000,3]",0,"[30000,6]",
207,7,2,80,0,"[2100,3]",0,"[2100,6]",
208,8,2,80,0,"[25000,2]",0,"[25000,4]",
209,9,2,100,0,"[11001,1]",0,"[11001,2]",
210,10,2,-1,0,"[34002,30]",0,"[34002,60]",
300,0,3,10,0,[],0,[],
301,1,3,20,0,"[34003,10]",0,"[34003,20]",
302,2,3,20,0,"[16000,5]",0,"[16000,10]",
303,3,3,40,0,"[42000,5]",0,"[42000,10]",
304,4,3,40,0,"[34003,20]",0,"[34003,40]",
305,5,3,60,0,"[22000,5]",0,"[22000,10]",
306,6,3,60,0,"[30000,3]",0,"[30000,6]",
307,7,3,80,0,"[2100,3]",0,"[2100,6]",
308,8,3,80,0,"[25000,2]",0,"[25000,4]",
309,9,3,100,0,"[11001,1]",0,"[11001,2]",
310,10,3,-1,0,"[34003,30]",0,"[34003,60]",
400,0,4,10,0,[],0,[],
401,1,4,20,0,"[34004,10]",0,"[34004,20]",
402,2,4,20,0,"[16000,5]",0,"[16000,10]",
403,3,4,40,0,"[42000,5]",0,"[42000,10]",
404,4,4,40,0,"[34004,20]",0,"[34004,40]",
405,5,4,60,0,"[22000,5]",0,"[22000,10]",
406,6,4,60,0,"[30000,3]",0,"[30000,6]",
407,7,4,80,0,"[2100,3]",0,"[2100,6]",
408,8,4,80,0,"[25000,2]",0,"[25000,4]",
409,9,4,100,0,"[11001,1]",0,"[11001,2]",
410,10,4,-1,0,"[34004,30]",0,"[34004,60]",
500,0,5,10,0,[],0,[],
501,1,5,20,0,"[34005,10]",0,"[34005,20]",
502,2,5,20,0,"[16000,5]",0,"[16000,10]",
503,3,5,40,0,"[42000,5]",0,"[42000,10]",
504,4,5,40,0,"[34005,20]",0,"[34005,40]",
505,5,5,60,0,"[22000,5]",0,"[22000,10]",
506,6,5,60,0,"[30000,3]",0,"[30000,6]",
507,7,5,80,0,"[2100,3]",0,"[2100,6]",
508,8,5,80,0,"[25000,2]",0,"[25000,4]",
509,9,5,100,0,"[11001,1]",0,"[11001,2]",
510,10,5,-1,0,"[34005,30]",0,"[34005,60]",
