id,MissionType,taskNeed,reward,slot,unlockLevel,unlockTask,smallBpId
1101,22,100,"[[50001,10]]",1,6,,1
1102,22,200,"[[50001,10]]",1,6,,1
1103,22,300,"[[50001,10]]",1,6,,1
1104,22,400,"[[50001,10]]",1,6,,1
1105,22,500,"[[50001,10]]",1,6,,1
1106,22,600,"[[50001,10]]",1,6,,1
1107,22,700,"[[50001,10]]",1,6,,1
1108,22,800,"[[50001,10]]",1,6,,1
1109,22,900,"[[50001,10]]",1,6,,1
1110,22,1000,"[[50001,10]]",1,6,,1
1111,22,1100,"[[50001,10]]",1,6,,1
1112,22,1200,"[[50001,10]]",1,6,,1
1113,22,1300,"[[50001,10]]",1,6,,1
1114,22,1400,"[[50001,10]]",1,6,,1
1115,22,1500,"[[50001,10]]",1,6,,1
1116,22,1600,"[[50001,10]]",1,6,,1
1201,3,3,"[[50001,10]]",2,6,,1
1202,3,6,"[[50001,10]]",2,6,,1
1203,3,9,"[[50001,10]]",2,6,,1
1204,3,12,"[[50001,10]]",2,6,,1
1205,3,15,"[[50001,10]]",2,6,,1
1206,3,18,"[[50001,10]]",2,6,,1
1207,3,21,"[[50001,10]]",2,6,,1
1208,3,24,"[[50001,10]]",2,6,,1
1209,3,27,"[[50001,10]]",2,6,,1
1210,3,30,"[[50001,10]]",2,6,,1
1301,59,10,"[[50001,10]]",3,6,,1
1302,59,30,"[[50001,10]]",3,6,,1
1303,59,50,"[[50001,10]]",3,6,,1
1304,59,70,"[[50001,10]]",3,6,,1
1305,59,90,"[[50001,10]]",3,6,,1
1306,59,110,"[[50001,10]]",3,6,,1
1307,59,130,"[[50001,10]]",3,6,,1
1308,59,150,"[[50001,10]]",3,6,,1
1401,58,5,"[[50001,10]]",4,6,,1
1402,58,10,"[[50001,10]]",4,6,,1
1403,58,15,"[[50001,10]]",4,6,,1
1404,58,20,"[[50001,10]]",4,6,,1
1405,58,25,"[[50001,10]]",4,6,,1
1406,58,30,"[[50001,10]]",4,6,,1
1501,60,10,"[[50001,10]]",5,6,,1
1502,60,20,"[[50001,10]]",5,6,,1
1503,60,30,"[[50001,10]]",5,6,,1
1504,60,40,"[[50001,10]]",5,6,,1
1505,60,50,"[[50001,10]]",5,6,,1
1506,60,60,"[[50001,10]]",5,6,,1
1601,24,1,"[[50001,20]]",6,6,,1
1602,24,2,"[[50001,20]]",6,6,,1
1603,24,3,"[[50001,20]]",6,6,,1
1604,24,4,"[[50001,20]]",6,6,,1
1605,24,5,"[[50001,20]]",6,6,,1
2101,22,100,"[[50001,10]]",1,6,,2
2102,22,200,"[[50001,10]]",1,6,,2
2103,22,300,"[[50001,10]]",1,6,,2
2104,22,400,"[[50001,10]]",1,6,,2
2105,22,500,"[[50001,10]]",1,6,,2
2106,22,600,"[[50001,10]]",1,6,,2
2107,22,700,"[[50001,10]]",1,6,,2
2108,22,800,"[[50001,10]]",1,6,,2
2109,22,900,"[[50001,10]]",1,6,,2
2110,22,1000,"[[50001,10]]",1,6,,2
2111,22,1100,"[[50001,10]]",1,6,,2
2112,22,1200,"[[50001,10]]",1,6,,2
2113,22,1300,"[[50001,10]]",1,6,,2
2114,22,1400,"[[50001,10]]",1,6,,2
2115,22,1500,"[[50001,10]]",1,6,,2
2116,22,1600,"[[50001,10]]",1,6,,2
2201,3,3,"[[50001,10]]",2,6,,2
2202,3,6,"[[50001,10]]",2,6,,2
2203,3,9,"[[50001,10]]",2,6,,2
2204,3,12,"[[50001,10]]",2,6,,2
2205,3,15,"[[50001,10]]",2,6,,2
2206,3,18,"[[50001,10]]",2,6,,2
2207,3,21,"[[50001,10]]",2,6,,2
2208,3,24,"[[50001,10]]",2,6,,2
2209,3,27,"[[50001,10]]",2,6,,2
2210,3,30,"[[50001,10]]",2,6,,2
2301,59,10,"[[50001,10]]",3,6,,2
2302,59,30,"[[50001,10]]",3,6,,2
2303,59,50,"[[50001,10]]",3,6,,2
2304,59,70,"[[50001,10]]",3,6,,2
2305,59,90,"[[50001,10]]",3,6,,2
2306,59,110,"[[50001,10]]",3,6,,2
2307,59,130,"[[50001,10]]",3,6,,2
2308,59,150,"[[50001,10]]",3,6,,2
2401,58,5,"[[50001,10]]",4,6,,2
2402,58,10,"[[50001,10]]",4,6,,2
2403,58,15,"[[50001,10]]",4,6,,2
2404,58,20,"[[50001,10]]",4,6,,2
2405,58,25,"[[50001,10]]",4,6,,2
2406,58,30,"[[50001,10]]",4,6,,2
2501,60,10,"[[50001,10]]",5,6,,2
2502,60,20,"[[50001,10]]",5,6,,2
2503,60,30,"[[50001,10]]",5,6,,2
2504,60,40,"[[50001,10]]",5,6,,2
2505,60,50,"[[50001,10]]",5,6,,2
2506,60,60,"[[50001,10]]",5,6,,2
2601,24,1,"[[50001,20]]",6,6,,2
2602,24,2,"[[50001,20]]",6,6,,2
2603,24,3,"[[50001,20]]",6,6,,2
2604,24,4,"[[50001,20]]",6,6,,2
2605,24,5,"[[50001,20]]",6,6,,2
3101,22,100,"[[50001,10]]",1,6,,3
3102,22,200,"[[50001,10]]",1,6,,3
3103,22,300,"[[50001,10]]",1,6,,3
3104,22,400,"[[50001,10]]",1,6,,3
3105,22,500,"[[50001,10]]",1,6,,3
3106,22,600,"[[50001,10]]",1,6,,3
3107,22,700,"[[50001,10]]",1,6,,3
3108,22,800,"[[50001,10]]",1,6,,3
3109,22,900,"[[50001,10]]",1,6,,3
3110,22,1000,"[[50001,10]]",1,6,,3
3111,22,1100,"[[50001,10]]",1,6,,3
3112,22,1200,"[[50001,10]]",1,6,,3
3113,22,1300,"[[50001,10]]",1,6,,3
3114,22,1400,"[[50001,10]]",1,6,,3
3115,22,1500,"[[50001,10]]",1,6,,3
