id,cleared,collectrewards,taskunlock,levelmax,CleanOnDramaBegin,levelitem1,rewarditem1,levelitem2,rewarditem2,levelitem3,rewarditem3,levelitem4,rewarditem4,levelitem5,rewarditem5,levelitem6,rewarditem6,levelitem7,rewarditem7,levelitem8,rewarditem8,levelitem9,rewarditem9,levelitem10,rewarditem10,levelitem11,rewarditem11,levelitem12,rewarditem12,ispaylabel,
1,0,[],Mission1_01Becarefulmove,1,,[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],0,
2,0,[],Mission1_07Whereistheprince,2,,"[[1003,15]]","[['1000',80]]",[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],0,
3,0,[],Mission1_03Keepgoing,2,,"[[4103,1]]","[['1000',80]]",[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],0,
4,0,[],Mission1_03Keepgoing,2,,"[[4103,1]]","[['1000',80]]",[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],0,
5,0,[],,2,,"[[1003,10]]","[['1000',80]]",[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],0,
6,0,[],Mission1_08Enterthecastle,2,,"[[4104,1]]","[['1000',80]]",[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],0,
7,0,[],Mission1_10ObserveCinderella2,2,,"[[1003,10]]","[['1000',80]]",[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],0,
8,0,[],Mission1_11Discoversecrets,2,,"[[1003,10]]","[['1000',80]]",[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],0,
9,0,[],Mission1_10ObserveCinderella3,2,,"[[1003,15]]","[['1000',80]]",[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],0,
10,0,[],Mission1_11Discoversecrets,1,,[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],0,
25,0,[],Missioncity_011finishorder,2,,"[[2001,8]]","[['1000',180]]",[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],0,
300076,0,[],Missioncity_008receiveproduct,2,,"[[5016,3],[2002,2]]","[['1002',80]]",[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],0,
9106,0,[],Missioncity_005finddiningtableA,2,,"[[2001,3],[2002,3]]","[['1002',50]]",[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],0,
9105,0,[],,2,,"[[2001,15]]","[['1000',40],['1002',50]]",[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],0,
9124,0,[],Missioncity_004harvestberries,2,,"[[1003,5]]",[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],0,
22,0,[],Mission2_08followthesound,2,,"[[1003,7]]",[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],0,
26,0,[],Mission2_01Forwarddirection,2,,"[[2001,5],[2004,5]]","[['1000',80]]",[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],0,
