id,type,monsterHp,turntableAttackWeight,turntableEnergy,turntableEnergyID,monsterReward,
700101,1,100,"[[1,10,300],[2,20,200],[3,30,200],[4,40,150],[5,50,100],[6,100,50]]",10,1003,[],
700201,1,100,"[[1,10,300],[2,20,200],[3,30,200],[4,40,150],[5,50,100],[6,100,50]]",10,1003,[],
700202,1,200,"[[1,10,300],[2,20,200],[3,30,200],[4,40,150],[5,50,100],[6,100,50]]",20,1003,[],
700301,1,100,"[[1,10,300],[2,20,200],[3,30,200],[4,40,150],[5,50,100],[6,100,50]]",10,1003,[],
700302,1,200,"[[1,10,300],[2,20,200],[3,30,200],[4,40,150],[5,50,100],[6,100,50]]",20,1003,[],
700303,1,300,"[[1,10,300],[2,20,200],[3,30,200],[4,40,150],[5,50,100],[6,100,50]]",30,1003,[],
112,2,100,"[[1,25,1000],[2,25,0],[3,25,0],[4,25,0],[5,25,0],[6,25,0]]",1,4161,[],
169,1,200,"[[1,20,100],[2,30,300],[3,40,250],[4,50,200],[5,70,100],[6,100,50]]",15,1003,[],
218,1,300,"[[1,20,300],[2,30,200],[3,40,200],[4,50,150],[5,70,100],[6,100,50]]",20,1003,[],
224,1,300,"[[1,20,300],[2,30,200],[3,40,200],[4,50,150],[5,70,100],[6,100,50]]",100,1002,[],
227,1,300,"[[1,20,300],[2,30,200],[3,40,200],[4,50,150],[5,70,100],[6,100,50]]",100,1002,[],
231,1,300,"[[1,20,300],[2,30,200],[3,40,200],[4,50,150],[5,70,100],[6,100,50]]",20,1003,[],
275,1,300,"[[1,20,300],[2,30,200],[3,40,200],[4,50,150],[5,70,100],[6,100,50]]",20,1003,[],
303,1,300,"[[1,20,300],[2,30,200],[3,40,200],[4,50,150],[5,70,100],[6,100,50]]",20,1003,[],
354,1,100,"[[1,10,100],[2,20,250],[3,30,250],[4,40,220],[5,50,150],[6,100,30]]",10,1003,[],
355,1,100,"[[1,10,100],[2,20,250],[3,30,250],[4,40,220],[5,50,150],[6,100,30]]",10,1003,[],
356,1,100,"[[1,10,100],[2,20,250],[3,30,250],[4,40,220],[5,50,150],[6,100,30]]",10,1003,[],
384,1,300,"[[1,20,300],[2,30,200],[3,40,200],[4,50,150],[5,70,100],[6,100,50]]",20,1003,[],
428,1,300,"[[1,20,300],[2,30,200],[3,40,200],[4,50,150],[5,70,100],[6,100,50]]",20,1003,[],
82,2,100,"[[1,15,200],[2,15,200],[3,15,200],[4,15,200],[5,15,200],[6,15,0]]",1,4048,[],
646,1,300,"[[1,20,300],[2,30,200],[3,40,200],[4,50,150],[5,70,100],[6,100,50]]",20,1003,[],
735,1,200,"[[1,20,300],[2,30,200],[3,40,200],[4,50,150],[5,70,100],[6,100,50]]",20,1003,[],
784,1,300,"[[1,20,300],[2,30,200],[3,40,200],[4,50,150],[5,70,100],[6,100,50]]",20,1003,[],
10000,3,500,"[[1,10,100],[2,20,250],[3,30,250],[4,40,220],[5,50,150],[6,100,30]]",30,1003,[],
1310,1,300,"[[1,20,300],[2,30,200],[3,40,200],[4,50,150],[5,70,100],[6,100,50]]",20,1003,[],
1498,1,200,"[[1,20,300],[2,30,200],[3,40,200],[4,50,150],[5,70,100],[6,100,50]]",20,1003,[],
1798,1,300,"[[1,20,300],[2,30,200],[3,40,200],[4,50,150],[5,70,100],[6,100,50]]",20,1003,[],
199,1,200,"[[1,20,100],[2,30,300],[3,40,250],[4,50,200],[5,70,100],[6,100,50]]",20,1003,[],
380,1,200,"[[1,20,100],[2,30,300],[3,40,250],[4,50,200],[5,70,100],[6,100,50]]",20,1003,[],
294,1,200,"[[1,20,100],[2,30,300],[3,40,250],[4,50,200],[5,70,100],[6,100,50]]",20,1003,[],
405,1,200,"[[1,20,100],[2,30,300],[3,40,250],[4,50,200],[5,70,100],[6,100,50]]",20,1003,[],
453,1,200,"[[1,20,100],[2,30,300],[3,40,250],[4,50,200],[5,70,100],[6,100,50]]",20,1003,[],
584,1,200,"[[1,20,100],[2,30,300],[3,40,250],[4,50,200],[5,70,100],[6,100,50]]",20,1003,[],
585,1,200,"[[1,20,100],[2,30,300],[3,40,250],[4,50,200],[5,70,100],[6,100,50]]",20,1003,[],
586,1,200,"[[1,20,100],[2,30,300],[3,40,250],[4,50,200],[5,70,100],[6,100,50]]",20,1003,[],
590,1,100,"[[1,10,300],[2,20,200],[3,30,200],[4,40,150],[5,50,100],[6,100,50]]",10,1003,[],
591,1,100,"[[1,10,100],[2,20,250],[3,30,250],[4,40,220],[5,50,150],[6,100,30]]",10,1003,[],
592,1,100,"[[1,10,100],[2,20,250],[3,30,250],[4,40,220],[5,50,150],[6,100,30]]",10,1003,[],
593,1,100,"[[1,10,300],[2,20,200],[3,30,200],[4,40,150],[5,50,100],[6,100,50]]",10,1003,[],
3727,1,300,"[[1,20,300],[2,30,200],[3,40,200],[4,50,150],[5,70,100],[6,100,50]]",777,1002,[],
3874,1,200,"[[1,20,300],[2,30,200],[3,40,200],[4,50,150],[5,70,100],[6,100,50]]",20,1003,[],
605,1,300,"[[1,20,150],[2,30,350],[3,40,200],[4,50,150],[5,70,100],[6,100,50]]",28,1003,[],
662,1,300,"[[1,20,150],[2,30,350],[3,40,200],[4,50,150],[5,70,100],[6,100,50]]",35,1003,[],
32233,1,200,"[[1,20,100],[2,30,100],[3,40,1],[4,50,100],[5,70,1],[6,100,1]]",25,1003,[],
33813,1,200,"[[1,20,100],[2,30,100],[3,40,1],[4,50,100],[5,70,1],[6,100,1]]",10,1003,[],
694,1,300,"[[1,20,150],[2,30,350],[3,40,200],[4,50,150],[5,70,100],[6,100,50]]",35,1003,[],
