id,group,vegetablegroup,numbers,actid,
1,1,"[[1,1,3,2,1,4,5,1,3,8],[2,3,4,5,1,2,3,4,5,9],[3,4,5,8],[1,2,3,4,5,8],[4,5,8],[2,3,4,8],[1,3,4,9]]",120,111,
2,2,"[[3,4,6,2,3,8],[2,6,8],[1,3,6,5,1,2,3,4,5,8],[1,3,4,9],[2,4,6,5,1,2,3,4,5,8],[1,2,3,5,6,8],[5,5,8],[5,1,3,8],[1,4,4,9]]",150,111,
3,3,"[[4,5,1,2,3,8],[5,5,8],[3,4,5,1,2,3,4,5,7,8],[1,3,7,9],[2,3,5,1,2,3,4,5,4,8],[1,2,3,6,7,8],[3,4,8],[2,3,4,8],[3,4,5,9]]",150,111,
4,4,"[[3,4,7,2,3,8],[4,6,8],[3,4,5,8],[5,5,1,2,3,4,5,3,2,9],[6,7,1,8],[3,4,6,7,5,8],[2,5,1,2,3,4,5,1,8],[5,6,7,8],[2,5,7,9]]",150,111,
5,5,"[[3,1,3,2,3,8],[4,1,8],[2,5,1,2,3,4,5,5,4,8],[1,1,4,9],[3,4,5,8],[1,5,1,2,3,4,5,2,3,4,5,8],[4,5,8],[2,3,4,8],[1,3,4,9]]",150,111,
6,6,"[[1,4,6,2,3,8],[2,5,1,2,3,4,5,6,8],[1,3,6,8],[1,3,4,9],[2,5,1,2,3,4,5,4,6,8],[1,2,3,5,6,8],[5,5,8],[5,1,3,8],[1,4,4,9]]",150,111,
7,7,"[[2,1,1,2,3,8],[1,5,5,1,2,3,4,5,8],[3,3,7,8],[4,3,7,9],[4,3,4,8],[6,2,5,1,2,3,4,5,3,6,7,8],[2,4,8],[4,3,4,8],[7,4,5,9]]",150,111,
8,8,"[[1,3,5,2,3,8],[2,4,8],[3,5,1,2,3,4,5,3,7,8],[4,6,7,9],[2,3,7,8],[1,2,3,6,5,8],[2,5,1,2,3,4,5,5,8],[3,3,4,8],[1,3,4,9]]",150,111,
9,9,"[[3,4,6,2,3,8],[3,5,1,2,3,4,5,6,8],[4,3,6,8],[1,7,4,9],[2,5,6,8],[6,2,3,5,6,8],[7,5,8],[3,5,1,2,3,4,5,1,3,8],[4,2,4,9]]",150,111,
10,10,"[[5,3,4,2,3,8],[3,5,8],[2,5,1,2,3,4,5,4,6,8],[7,2,6,9],[5,3,7,8],[2,3,4,5,6,8],[7,5,1,2,3,4,5,5,8],[5,4,3,8],[1,3,4,9]]",150,111,
11,11,"[[1,6,1,2,3,8],[4,5,1,2,3,4,5,2,8],[5,6,7,8],[3,4,6,9],[1,5,1,2,3,4,5,3,5,8],[4,3,2,1,3,8],[2,3,8],[3,4,5,8],[1,4,6,9]]",150,111,
12,12,"[[3,6,7,2,3,8],[4,5,1,2,3,4,5,5,8],[3,2,7,8],[2,3,7,9],[2,5,1,2,3,4,5,7,4,8],[3,2,3,6,7,8],[5,4,8],[2,7,4,8],[4,4,5,9]]",150,111,
13,13,"[[3,1,3,2,3,8],[4,5,1,2,3,4,5,1,8],[2,5,4,8],[1,1,4,9],[3,4,5,8],[1,2,3,4,5,8],[4,5,1,2,3,4,5,5,8],[2,3,4,8],[1,3,4,9]]",150,111,
14,14,"[[1,4,6,2,3,8],[2,6,8],[1,3,5,1,2,3,4,5,6,8],[1,3,4,9],[2,4,6,8],[1,2,3,5,6,8],[5,5,8],[5,5,1,2,3,4,5,1,3,8],[1,4,4,9]]",150,111,
15,15,"[[2,1,1,2,3,8],[1,5,1,2,3,4,5,5,8],[3,3,7,8],[4,3,7,9],[4,3,4,8],[6,2,3,6,7,8],[2,4,8],[4,3,4,8],[7,5,1,2,3,4,5,4,5,9]]",150,111,
16,16,"[[1,3,5,2,3,8],[2,5,1,2,3,4,5,4,8],[3,3,7,8],[4,6,7,9],[2,3,7,8],[1,2,3,6,5,8],[2,5,1,2,3,4,5,5,8],[3,3,4,8],[1,3,4,9]]",150,111,
17,17,"[[3,4,6,2,3,8],[3,5,1,2,3,4,5,6,8],[4,3,6,8],[1,7,4,9],[2,5,1,2,3,4,5,5,6,8],[6,2,3,5,6,8],[7,5,8],[3,1,3,8],[4,2,4,9]]",150,111,
18,18,"[[4,5,1,8],[2,5,1,2,3,4,5,5,8],[3,4,2,8],[1,3,4,9],[3,3,4,8],[1,5,3,5,7,8],[4,5,1,2,3,4,5,4,8],[3,3,4,8],[2,4,5,9]]",150,111,
19,19,"[[5,3,4,8],[3,5,1,2,3,4,5,5,8],[2,4,6,8],[7,2,6,9],[5,3,7,8],[2,3,4,5,6,8],[7,5,1,2,3,4,5,5,8],[5,4,3,8],[1,3,4,9]]",150,111,
20,20,"[[1,6,1,8],[4,5,1,2,3,4,5,2,8],[5,6,7,8],[3,4,6,9],[1,3,5,8],[4,3,2,1,3,8],[2,5,1,2,3,4,5,3,8],[3,4,5,8],[1,4,6,9]]",150,111,
21,1,"[[1,1,3,2,1,4,5,1,3,8],[2,3,4,5,1,2,3,4,5,9],[3,4,5,8],[1,2,3,4,5,8],[4,5,8],[2,3,4,8],[1,3,4,9]]",120,114,
22,2,"[[3,4,6,2,3,8],[2,6,8],[1,3,6,5,1,2,3,4,5,8],[1,3,4,9],[2,4,6,5,1,2,3,4,5,8],[1,2,3,5,6,8],[5,5,8],[5,1,3,8],[1,4,4,9]]",150,114,
23,3,"[[4,5,1,2,3,8],[5,5,8],[3,4,5,1,2,3,4,5,7,8],[1,3,7,9],[2,3,5,1,2,3,4,5,4,8],[1,2,3,6,7,8],[3,4,8],[2,3,4,8],[3,4,5,9]]",150,114,
24,4,"[[3,4,7,2,3,8],[4,6,8],[3,4,5,8],[5,5,1,2,3,4,5,3,2,9],[6,7,1,8],[3,4,6,7,5,8],[2,5,1,2,3,4,5,1,8],[5,6,7,8],[2,5,7,9]]",150,114,
25,5,"[[3,1,3,2,3,8],[4,1,8],[2,5,1,2,3,4,5,5,4,8],[1,1,4,9],[3,4,5,8],[1,5,1,2,3,4,5,2,3,4,5,8],[4,5,8],[2,3,4,8],[1,3,4,9]]",150,114,
26,6,"[[1,4,6,2,3,8],[2,5,1,2,3,4,5,6,8],[1,3,6,8],[1,3,4,9],[2,5,1,2,3,4,5,4,6,8],[1,2,3,5,6,8],[5,5,8],[5,1,3,8],[1,4,4,9]]",150,114,
27,7,"[[2,1,1,2,3,8],[1,5,5,1,2,3,4,5,8],[3,3,7,8],[4,3,7,9],[4,3,4,8],[6,2,5,1,2,3,4,5,3,6,7,8],[2,4,8],[4,3,4,8],[7,4,5,9]]",150,114,
28,8,"[[1,3,5,2,3,8],[2,4,8],[3,5,1,2,3,4,5,3,7,8],[4,6,7,9],[2,3,7,8],[1,2,3,6,5,8],[2,5,1,2,3,4,5,5,8],[3,3,4,8],[1,3,4,9]]",150,114,
29,9,"[[3,4,6,2,3,8],[3,5,1,2,3,4,5,6,8],[4,3,6,8],[1,7,4,9],[2,5,6,8],[6,2,3,5,6,8],[7,5,8],[3,5,1,2,3,4,5,1,3,8],[4,2,4,9]]",150,114,
30,10,"[[5,3,4,2,3,8],[3,5,8],[2,5,1,2,3,4,5,4,6,8],[7,2,6,9],[5,3,7,8],[2,3,4,5,6,8],[7,5,1,2,3,4,5,5,8],[5,4,3,8],[1,3,4,9]]",150,114,
31,11,"[[1,6,1,2,3,8],[4,5,1,2,3,4,5,2,8],[5,6,7,8],[3,4,6,9],[1,5,1,2,3,4,5,3,5,8],[4,3,2,1,3,8],[2,3,8],[3,4,5,8],[1,4,6,9]]",150,114,
32,12,"[[3,6,7,2,3,8],[4,5,1,2,3,4,5,5,8],[3,2,7,8],[2,3,7,9],[2,5,1,2,3,4,5,7,4,8],[3,2,3,6,7,8],[5,4,8],[2,7,4,8],[4,4,5,9]]",150,114,
33,13,"[[3,1,3,2,3,8],[4,5,1,2,3,4,5,1,8],[2,5,4,8],[1,1,4,9],[3,4,5,8],[1,2,3,4,5,8],[4,5,1,2,3,4,5,5,8],[2,3,4,8],[1,3,4,9]]",150,114,
34,14,"[[1,4,6,2,3,8],[2,6,8],[1,3,5,1,2,3,4,5,6,8],[1,3,4,9],[2,4,6,8],[1,2,3,5,6,8],[5,5,8],[5,5,1,2,3,4,5,1,3,8],[1,4,4,9]]",150,114,
35,15,"[[2,1,1,2,3,8],[1,5,1,2,3,4,5,5,8],[3,3,7,8],[4,3,7,9],[4,3,4,8],[6,2,3,6,7,8],[2,4,8],[4,3,4,8],[7,5,1,2,3,4,5,4,5,9]]",150,114,
36,16,"[[1,3,5,2,3,8],[2,5,1,2,3,4,5,4,8],[3,3,7,8],[4,6,7,9],[2,3,7,8],[1,2,3,6,5,8],[2,5,1,2,3,4,5,5,8],[3,3,4,8],[1,3,4,9]]",150,114,
37,17,"[[3,4,6,2,3,8],[3,5,1,2,3,4,5,6,8],[4,3,6,8],[1,7,4,9],[2,5,1,2,3,4,5,5,6,8],[6,2,3,5,6,8],[7,5,8],[3,1,3,8],[4,2,4,9]]",150,114,
38,18,"[[4,5,1,8],[2,5,1,2,3,4,5,5,8],[3,4,2,8],[1,3,4,9],[3,3,4,8],[1,5,3,5,7,8],[4,5,1,2,3,4,5,4,8],[3,3,4,8],[2,4,5,9]]",150,114,
39,19,"[[5,3,4,8],[3,5,1,2,3,4,5,5,8],[2,4,6,8],[7,2,6,9],[5,3,7,8],[2,3,4,5,6,8],[7,5,1,2,3,4,5,5,8],[5,4,3,8],[1,3,4,9]]",150,114,
40,20,"[[1,6,1,8],[4,5,1,2,3,4,5,2,8],[5,6,7,8],[3,4,6,9],[1,3,5,8],[4,3,2,1,3,8],[2,5,1,2,3,4,5,3,8],[3,4,5,8],[1,4,6,9]]",150,114,
