id,type,unlockLevel,startTime,endTime,consume,mustReward,rewardPool
1,1,8,,,"[[1001,40],[1001,380]]","[404001,1,100]","[[1003,100,2000],[11001,1,800],[30000,8,2200],[30000,12,1000],[42000,2,1500],[22000,2,1500],[101001,1,50],[102001,1,50],[103001,1,50],[104001,1,50],[105001,1,50],[106001,1,50],[107001,1,50],[108001,1,50],[109001,1,50],[110001,1,50],[111001,1,50],[201001,1,42],[202001,1,43],[203001,1,43],[204001,1,43],[205001,1,43],[206001,1,43],[207001,1,43],[301001,1,43],[302001,1,43],[303001,1,44],[404001,1,20]]"
2,1,8,2023-2-1 19:00:00,2023-3-1 19:00:00,"[[1001,40],[1001,380]]","[404001,1,100]","[[1003,100,2000],[11001,1,800],[30000,8,2200],[30000,12,1000],[2020,10,750],[2021,10,750],[2022,10,750],[2023,10,750],[101001,1,50],[102001,1,50],[103001,1,50],[104001,1,50],[105001,1,50],[106001,1,50],[107001,1,50],[108001,1,50],[109001,1,50],[110001,1,50],[111001,1,50],[201001,1,42],[202001,1,43],[203001,1,43],[204001,1,43],[205001,1,43],[206001,1,43],[207001,1,43],[301001,1,43],[302001,1,43],[303001,1,44],[404001,1,20]]"
3,1,8,2023-3-1 19:00:00,2023-4-1 19:00:00,"[[1001,40],[1001,380]]","[402001,1,100]","[[1003,100,2000],[11001,1,800],[30000,8,2200],[30000,12,1000],[42000,2,1500],[22000,2,1500],[101001,1,50],[102001,1,50],[103001,1,50],[104001,1,50],[105001,1,50],[106001,1,50],[107001,1,50],[108001,1,50],[109001,1,50],[110001,1,50],[111001,1,50],[201001,1,42],[202001,1,43],[203001,1,43],[204001,1,43],[205001,1,43],[206001,1,43],[207001,1,43],[301001,1,43],[302001,1,43],[303001,1,44],[404001,1,10],[402001,1,10]]"
4,1,8,2023-4-1 19:00:00,2023-5-1 19:00:00,"[[1001,40],[1001,380]]","[405001,1,100]","[[1003,100,2000],[11001,1,800],[30000,8,2200],[30000,12,1000],[42000,2,1500],[22000,2,1500],[101001,1,50],[102001,1,50],[103001,1,50],[104001,1,50],[105001,1,50],[106001,1,50],[107001,1,50],[108001,1,50],[109001,1,50],[110001,1,50],[111001,1,50],[201001,1,42],[202001,1,43],[203001,1,43],[204001,1,43],[205001,1,43],[206001,1,43],[207001,1,43],[301001,1,43],[302001,1,43],[303001,1,44],[404001,1,5],[402001,1,5],[405001,1,10]]"
5,1,8,2023-5-1 19:00:00,2023-6-1 19:00:00,"[[1001,40],[1001,380]]","[408001,1,100]","[[1003,100,2000],[11001,1,800],[30000,8,2200],[30000,12,1000],[42000,2,1500],[22000,2,1500],[101001,1,50],[102001,1,50],[103001,1,50],[104001,1,50],[105001,1,50],[106001,1,50],[107001,1,50],[108001,1,50],[109001,1,50],[110001,1,50],[111001,1,25],[112001,1,25],[201001,1,42],[202001,1,43],[203001,1,43],[204001,1,43],[205001,1,43],[206001,1,43],[207001,1,43],[301001,1,35],[302001,1,35],[303001,1,30],[305001,1,30],[404001,1,5],[402001,1,5],[405001,1,5],[408001,1,5]]"
6,1,8,2023-6-1 19:00:00,2023-7-1 19:00:00,"[[1001,40],[1001,380]]","[410001,1,100]","[[1003,100,2000],[11001,1,800],[30000,8,2200],[30000,12,1000],[42000,2,1500],[22000,2,1500],[101001,1,50],[102001,1,50],[103001,1,50],[104001,1,50],[105001,1,50],[106001,1,50],[107001,1,50],[108001,1,50],[109001,1,25],[110001,1,25],[111001,1,25],[112001,1,25],[113001,1,25],[114001,1,25],[201001,1,42],[202001,1,43],[203001,1,43],[204001,1,43],[205001,1,43],[206001,1,43],[207001,1,43],[301001,1,35],[302001,1,35],[303001,1,30],[305001,1,30],[404001,1,4],[402001,1,4],[405001,1,4],[408001,1,4],[410001,1,4]]"
7,1,9,2023-7-1 19:00:00,2023-8-1 19:00:00,"[[1001,40],[1001,380]]","[404001,1,100]","[[1003,100,2000],[11001,1,850],[30000,8,2200],[30000,12,1040],[42000,2,1500],[22000,2,1500],[101001,1,50],[102001,1,50],[103001,1,50],[104001,1,50],[105001,1,50],[106001,1,25],[107001,1,25],[108001,1,25],[109001,1,25],[110001,1,25],[111001,1,25],[112001,1,25],[113001,1,25],[114001,1,25],[115001,1,25],[116001,1,25],[117001,1,25],[201001,1,30],[202001,1,30],[203001,1,30],[204001,1,30],[205001,1,30],[206001,1,30],[207001,1,30],[208001,1,30],[209001,1,30],[210001,1,30],[301001,1,7],[302001,1,7],[303001,1,7],[305001,1,7],[306001,1,7],[307001,1,7],[308001,1,8],[404001,1,1],[402001,1,4],[405001,1,1],[408001,1,2],[410001,1,2]]"
8,1,9,2023-8-1 19:00:00,2023-9-1 19:00:00,"[[1001,40],[1001,380]]","[411001,1,100]","[[1003,100,2000],[11001,1,850],[30000,8,2200],[30000,12,1040],[42000,2,1500],[22000,2,1500],[101001,1,50],[102001,1,50],[103001,1,50],[104001,1,50],[105001,1,50],[106001,1,25],[107001,1,25],[108001,1,25],[109001,1,25],[110001,1,25],[111001,1,25],[112001,1,25],[113001,1,25],[114001,1,25],[115001,1,25],[116001,1,25],[117001,1,25],[201001,1,30],[202001,1,30],[203001,1,30],[204001,1,30],[205001,1,30],[206001,1,30],[207001,1,30],[208001,1,30],[209001,1,30],[210001,1,30],[301001,1,7],[302001,1,7],[303001,1,7],[305001,1,7],[306001,1,7],[307001,1,7],[308001,1,8],[404001,1,1],[402001,1,2],[405001,1,1],[408001,1,2],[410001,1,2],[411001,1,2]]"
9,1,10,2023-9-1 19:00:00,2023-10-1 19:00:00,"[[1001,40],[1001,380]]","[413001,1,100]","[[1003,100,2000],[11001,1,850],[30000,8,2200],[30000,12,1040],[42000,2,1500],[22000,2,1500],[101001,1,50],[102001,1,50],[103001,1,50],[104001,1,50],[105001,1,50],[106001,1,25],[107001,1,25],[108001,1,25],[109001,1,25],[110001,1,25],[111001,1,25],[112001,1,25],[113001,1,25],[114001,1,25],[115001,1,25],[116001,1,25],[117001,1,25],[201001,1,30],[202001,1,30],[203001,1,30],[204001,1,30],[205001,1,30],[206001,1,30],[207001,1,30],[208001,1,30],[209001,1,30],[210001,1,30],[301001,1,7],[302001,1,7],[303001,1,7],[305001,1,7],[306001,1,7],[307001,1,7],[308001,1,8],[404001,1,1],[402001,1,2],[405001,1,1],[408001,1,2],[410001,1,2],[411001,1,1],[413001,1,1]]"
10,1,10,2023-10-1 19:00:00,2023-11-1 19:00:00,"[[1001,40],[1001,380]]","[414001,1,100]","[[1003,100,2000],[11001,1,850],[30000,8,2200],[30000,12,1040],[42000,2,1500],[22000,2,1500],[101001,1,50],[102001,1,50],[103001,1,50],[104001,1,50],[105001,1,50],[106001,1,25],[107001,1,25],[108001,1,25],[109001,1,25],[110001,1,25],[111001,1,25],[112001,1,25],[113001,1,25],[114001,1,25],[115001,1,25],[116001,1,25],[117001,1,25],[201001,1,30],[202001,1,30],[203001,1,30],[204001,1,30],[205001,1,30],[206001,1,30],[207001,1,30],[208001,1,30],[209001,1,30],[210001,1,30],[301001,1,7],[302001,1,7],[303001,1,7],[305001,1,7],[306001,1,7],[307001,1,7],[308001,1,8],[404001,1,1],[402001,1,2],[405001,1,1],[408001,1,2],[410001,1,2],[411001,1,1],[413001,1,1],[414001,1,1]]"
